"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.428547249253052,0.286209105890308,0.134653179069483,0.152304609218437
-7,"rel::-7:treated",0.188896874957956,0.275515057684006,0.493129890915901,0.478957915831663
-6,"rel::-6:treated",0.515127769817312,0.292716469580914,0.0787716694458835,0.064128256513026
-5,"rel::-5:treated",0.275678446302571,0.293755107283679,0.34825310822236,0.362725450901804
-4,"rel::-4:treated",0.38593283843083,0.254091229476604,0.129138248975139,0.12625250501002
-3,"rel::-3:treated",0.0671963804674584,0.250669325007987,0.788707334271106,0.789579158316633
-2,"rel::-2:treated",-0.137146006649731,0.332468144791926,0.68006291145163,0.685370741482966
0,"rel::0:treated",0.342660528052995,0.27235897669944,0.208667930726201,0.222444889779559
1,"rel::1:treated",-0.289159165526466,0.333500763765226,0.386145574227661,0.394789579158317
2,"rel::2:treated",-0.231067555349113,0.295227855277603,0.434019647222019,0.448897795591182
3,"rel::3:treated",-0.193379337554963,0.289378625496704,0.504137437905542,0.517034068136273
4,"rel::4:treated",0.0902503980393405,0.286889639813604,0.753150315048309,0.75751503006012
5,"rel::5:treated",0.015866589392272,0.269808539229875,0.95311875341871,0.949899799599198
6,"rel::6:treated",0.417651120839148,0.291805417120025,0.152694380217848,0.128256513026052
7,"rel::7:treated",0.141576189730847,0.317795896507459,0.656067775007824,0.691382765531062
8,"rel::8:treated",-0.140704773027988,0.301147702902851,0.640447322723809,0.635270541082164
