"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0244189994554885,0.0328239618090385,0.457104225904483,0.468937875751503
-7,"rel::-7:treated",-0.0200686447952015,0.0318034885099744,0.528184365216234,0.511022044088176
-6,"rel::-6:treated",0.0301149029579315,0.030040227821306,0.316373170087575,0.316633266533066
-5,"rel::-5:treated",0.0434621022606585,0.0305751898036801,0.15551610957962,0.182364729458918
-4,"rel::-4:treated",0.037933267063565,0.0355751795786872,0.286575344175966,0.296593186372746
-3,"rel::-3:treated",0.00533565548113921,0.0259458557129594,0.837113215489651,0.82565130260521
-2,"rel::-2:treated",-0.00367611536329175,0.0282040060667932,0.896325843385594,0.88376753507014
0,"rel::0:treated",-0.0220552975238837,0.0329238418474486,0.503097439681273,0.525050100200401
1,"rel::1:treated",-0.106627409797648,0.0276301914853713,0.000121772514614072,0
2,"rel::2:treated",-0.0482124766229918,0.040652763492428,0.235945688155633,0.284569138276553
3,"rel::3:treated",-0.0210683066355791,0.0319253197210238,0.5094676925341,0.549098196392786
4,"rel::4:treated",-0.0198064354732186,0.0337077169106806,0.556949673131912,0.579158316633267
5,"rel::5:treated",-0.040017176583846,0.0365564051221899,0.273948644687785,0.264529058116232
6,"rel::6:treated",-0.0179902226203794,0.0329050108079512,0.584695725082199,0.64128256513026
7,"rel::7:treated",-0.0386758837371577,0.0340328050577026,0.256073425098957,0.270541082164329
8,"rel::8:treated",-0.0285039999032279,0.0329018414362808,0.386533125382011,0.386773547094188
