"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0850809070890009,0.077433916370693,0.272163001499254,0.290581162324649
-7,"rel::-7:treated",-0.0282317214182613,0.0828104346175129,0.733241924589206,0.715430861723447
-6,"rel::-6:treated",-2.4143552058974e-05,0.0811410411199753,0.99976265375115,1
-5,"rel::-5:treated",-0.0104009150651515,0.0604537357920695,0.863438093509102,0.851703406813627
-4,"rel::-4:treated",-0.00829150507185477,0.0599082015822217,0.88995188041991,0.909819639278557
-3,"rel::-3:treated",-0.0673498801069816,0.0506870310681939,0.184263980719837,0.180360721442886
-2,"rel::-2:treated",-0.0688938598070808,0.0485814569954828,0.15649795355487,0.156312625250501
0,"rel::0:treated",-0.0572704265506058,0.0527337601755572,0.277750972854785,0.298597194388778
1,"rel::1:treated",-0.159800670161253,0.0551173810643503,0.00382934662309333,0.00601202404809619
2,"rel::2:treated",-0.0953372932464249,0.071912203638089,0.18525374964173,0.168336673346693
3,"rel::3:treated",-0.0763510192434083,0.0616324558108985,0.215731825163622,0.218436873747495
4,"rel::4:treated",-0.0247066038126704,0.0642564594095573,0.700697003922989,0.743486973947896
5,"rel::5:treated",-0.100992768568176,0.0693736484648101,0.14579534173051,0.162324649298597
6,"rel::6:treated",0.00310517045674721,0.0622633566325608,0.960235592872529,0.961923847695391
7,"rel::7:treated",-0.027173330554095,0.083082697261012,0.743694302429903,0.773547094188377
8,"rel::8:treated",-0.0523797129485978,0.0709289514099245,0.460410703125292,0.482965931863727
