"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.113978708106368,0.0768238211534114,0.138248333271886,0.148296593186373
-7,"rel::-7:treated",0.0486200916297904,0.0881692922768621,0.581466147935168,0.595190380761523
-6,"rel::-6:treated",0.0784990418823524,0.0847648260647926,0.354647601343309,0.354709418837675
-5,"rel::-5:treated",0.0948508890248823,0.0815573670268871,0.24513335930734,0.266533066132265
-4,"rel::-4:treated",0.0904913572101194,0.0667189290734467,0.1753349583092,0.152304609218437
-3,"rel::-3:treated",-0.0400134553282652,0.0535529319607917,0.455148773169815,0.478957915831663
-2,"rel::-2:treated",-0.0857969359393405,0.065210377573024,0.188605074518058,0.212424849699399
0,"rel::0:treated",0.013793040637595,0.0624421536114509,0.825224792551516,0.819639278557114
1,"rel::1:treated",-0.15201759906957,0.0842279049552902,0.0714278544323168,0.0741482965931864
2,"rel::2:treated",-0.103555262194667,0.0744908266446808,0.164812802000966,0.158316633266533
3,"rel::3:treated",-0.0570024643207589,0.0741699107798518,0.44236473003431,0.482965931863727
4,"rel::4:treated",-0.0558564678098534,0.0716166385340707,0.435628982282297,0.396793587174349
5,"rel::5:treated",-0.082518597034212,0.0788044982565742,0.295314993571575,0.284569138276553
6,"rel::6:treated",0.039872457024697,0.0704439040925362,0.571520460349746,0.595190380761523
7,"rel::7:treated",-0.0155068069203313,0.0913303644625674,0.865214212461632,0.87374749498998
8,"rel::8:treated",0.000295722388245497,0.0891903652928449,0.997355233987333,0.995991983967936
