"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.111637699498761,0.129008002735258,0.387070142450993,0.406813627254509
-7,"rel::-7:treated",0.112725123979899,0.140903307926352,0.423907579811321,0.464929859719439
-6,"rel::-6:treated",0.223726962626792,0.129426036383501,0.0842153990265352,0.100200400801603
-5,"rel::-5:treated",0.134904683771572,0.12406536501181,0.277159703451008,0.230460921843687
-4,"rel::-4:treated",0.154929931421552,0.129473190517344,0.231764481136716,0.24248496993988
-3,"rel::-3:treated",-0.0725170395892898,0.150287096862592,0.629549220586782,0.615230460921844
-2,"rel::-2:treated",0.0442114532106268,0.125201780809538,0.724078348751204,0.687374749498998
0,"rel::0:treated",0.128360258449444,0.111005404766432,0.247841956659232,0.266533066132265
1,"rel::1:treated",0.04144870259117,0.122837108951848,0.735871277947336,0.765531062124248
2,"rel::2:treated",-0.0526157492241402,0.172270877088049,0.760112091892491,0.75751503006012
3,"rel::3:treated",0.164019125345569,0.126367482854341,0.194629307979003,0.186372745490982
4,"rel::4:treated",-0.0173918574583392,0.130589861797614,0.894080822815411,0.869739478957916
5,"rel::5:treated",0.173344065027024,0.115552093950212,0.133922537411428,0.124248496993988
6,"rel::6:treated",0.127594643791654,0.123416581153503,0.301477008560823,0.342685370741483
7,"rel::7:treated",0.0882380750854842,0.132163510375612,0.504529146625337,0.533066132264529
8,"rel::8:treated",0.180308897250811,0.134792733701295,0.181333633797158,0.182364729458918
