"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.64934220740544,0.569433220740821,0.254445953314202,0.348697394789579
-7,"rel::-7:treated",-0.619647139708568,0.559113599902483,0.268036807127926,0.324649298597194
-6,"rel::-6:treated",-0.644407548333192,0.56438608235109,0.25384114278603,0.286573146292585
-5,"rel::-5:treated",-0.0477180125093696,0.150786155387203,0.751724189904392,0.759519038076152
-4,"rel::-4:treated",-0.350230472732114,0.374612366748662,0.350078303231664,0.472945891783567
-3,"rel::-3:treated",-0.100133388461128,0.13438726114455,0.456395508165481,0.490981963927856
-2,"rel::-2:treated",-0.369974342575298,0.359596800022304,0.303817019760528,0.430861723446894
0,"rel::0:treated",-0.0111862588583126,0.0704340818418899,0.873846540330565,0.865731462925852
1,"rel::1:treated",-0.330354900827567,0.366131751119917,0.367142582223621,0.541082164328657
2,"rel::2:treated",-0.769040355074224,0.595790403901804,0.197101449178639,0.0681362725450902
3,"rel::3:treated",-0.679548036809391,0.565133635711113,0.229497164504148,0.246492985971944
4,"rel::4:treated",-0.456409979451162,0.551509017089233,0.408131538527874,0.81563126252505
5,"rel::5:treated",-0.497414047944261,0.565248788072627,0.379094295334637,0.617234468937876
6,"rel::6:treated",-0.243719096543373,0.369148915647359,0.509278973946031,0.785571142284569
7,"rel::7:treated",-0.51111747555666,0.382923021283771,0.182279740382185,0.154308617234469
8,"rel::8:treated",-0.341261842182393,0.369443601525747,0.35587569135427,0.529058116232465
