"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0520823239487586,0.0452671268375276,0.250214922271941,0.276553106212425
-7,"rel::-7:treated",-0.00712584444474454,0.0516092543409902,0.890213005682824,0.891783567134269
-6,"rel::-6:treated",0.0424203335780907,0.0452946073621492,0.349240150420643,0.348697394789579
-5,"rel::-5:treated",0.0495794531833033,0.0436755753037535,0.256597992516685,0.234468937875752
-4,"rel::-4:treated",0.0106379880966674,0.0451707157997356,0.813868316914016,0.777555110220441
-3,"rel::-3:treated",-0.0157974937629844,0.0365191906871272,0.665421079980558,0.687374749498998
-2,"rel::-2:treated",-0.0521731018384003,0.0431976339723718,0.227444175580814,0.250501002004008
0,"rel::0:treated",-0.0148911849212546,0.0460586665252511,0.746534813625638,0.771543086172345
1,"rel::1:treated",-0.0961831926282056,0.0492365771836616,0.0510649160001031,0.0440881763527054
2,"rel::2:treated",-0.0931917101592107,0.0461578447819713,0.043779696679142,0.0460921843687375
3,"rel::3:treated",-0.018871040722794,0.048723056458901,0.698614771257127,0.723446893787575
4,"rel::4:treated",-0.0353834529886647,0.0430557181506271,0.411400629425415,0.406813627254509
5,"rel::5:treated",-0.068368156811518,0.0522210404756599,0.190791806002734,0.176352705410822
6,"rel::6:treated",0.0378511499600131,0.0451168160668617,0.401710835744293,0.398797595190381
7,"rel::7:treated",-0.0486956353475835,0.0509285288197115,0.339244981041686,0.330661322645291
8,"rel::8:treated",-0.00663525729198809,0.0477247114693689,0.88945543525855,0.891783567134269
