"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.562374701238068,0.340235887495845,0.0986528831247905,0.108216432865731
-7,"rel::-7:treated",0.214071944169264,0.342665559039602,0.532287810036729,0.543086172344689
-6,"rel::-6:treated",0.446903153908266,0.361772651650232,0.216991504874706,0.210420841683367
-5,"rel::-5:treated",0.37630382834844,0.362476617122723,0.299442467914787,0.326653306613226
-4,"rel::-4:treated",0.478749276328039,0.307263910866734,0.1195118434685,0.104208416833667
-3,"rel::-3:treated",0.017285546006763,0.289717214914227,0.952435063957281,0.929859719438878
-2,"rel::-2:treated",-0.0394670857314183,0.369218400704475,0.914893943365768,0.911823647294589
0,"rel::0:treated",0.432137050750559,0.325760486392197,0.18494848945882,0.160320641282565
1,"rel::1:treated",-0.135744670236954,0.366015827199475,0.710808898143812,0.695390781563126
2,"rel::2:treated",-0.156300043079078,0.385244623566736,0.68503423997658,0.703406813627255
3,"rel::3:treated",-0.194593476953473,0.34127466958699,0.568667520853294,0.62124248496994
4,"rel::4:treated",0.131758444054863,0.329907784049294,0.689695274731385,0.669338677354709
5,"rel::5:treated",0.0171227884362743,0.352311292657321,0.961246335020382,0.965931863727455
6,"rel::6:treated",0.416854572216889,0.363836549272985,0.252174102619867,0.274549098196393
7,"rel::7:treated",0.239458553887019,0.372060835204941,0.519975985258779,0.527054108216433
8,"rel::8:treated",0.00394013070036871,0.338150724016373,0.990705491388882,0.987975951903808
