"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0278120142065863,0.0392464118421611,0.478699349105095,0.49498997995992
-7,"rel::-7:treated",-0.0282174325240914,0.0337575360211487,0.403410806279299,0.438877755511022
-6,"rel::-6:treated",0.0361564209049658,0.0329948778478174,0.273410862714207,0.282565130260521
-5,"rel::-5:treated",0.0413877759352587,0.0335241975943726,0.217270786146652,0.226452905811623
-4,"rel::-4:treated",0.023455653159701,0.0374120366402023,0.530826120617299,0.513026052104208
-3,"rel::-3:treated",-0.00743963688805174,0.0251903556130689,0.767795452679774,0.777555110220441
-2,"rel::-2:treated",0.0142004984036533,0.0319101947927194,0.656401634544082,0.669338677354709
0,"rel::0:treated",-0.0223154343660409,0.0363322266715223,0.539213832713733,0.523046092184369
1,"rel::1:treated",-0.0921544981506894,0.0299477442136226,0.00214423621447407,0
2,"rel::2:treated",-0.0253308656670424,0.0421354217422913,0.547852426291529,0.577154308617234
3,"rel::3:treated",-0.01199875808464,0.0338875090884976,0.72335339599233,0.735470941883767
4,"rel::4:treated",-0.00678109844829137,0.035919677607605,0.850298009145618,0.855711422845691
5,"rel::5:treated",-0.0461135822108003,0.0416844278412219,0.268871506591357,0.2625250501002
6,"rel::6:treated",-0.0190616575615566,0.03688342251819,0.605399575015393,0.6312625250501
7,"rel::7:treated",-0.0269185596185466,0.0350846550816661,0.443108936419829,0.42685370741483
8,"rel::8:treated",-0.0194825385252671,0.0321768389615136,0.544989643260826,0.571142284569138
