"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0636429756344751,0.113163806038329,0.573966467368082,0.647294589178357
-7,"rel::-7:treated",-0.051099932319362,0.101621427619127,0.615178682083976,0.629258517034068
-6,"rel::-6:treated",0.0179941712650626,0.0898049884481557,0.841230754482185,0.855711422845691
-5,"rel::-5:treated",-0.0303682988498552,0.0748592200819959,0.685066730099897,0.729458917835671
-4,"rel::-4:treated",-0.0397930207777679,0.0657595197785882,0.545224633710045,0.490981963927856
-3,"rel::-3:treated",-0.0749679163230815,0.0631227694129347,0.235240727727273,0.24248496993988
-2,"rel::-2:treated",-0.038746712952378,0.0592881132158432,0.51355704497626,0.531062124248497
0,"rel::0:treated",-0.0488241802704432,0.0644468174316939,0.448868371744026,0.434869739478958
1,"rel::1:treated",-0.129851051341391,0.0661138702451097,0.049789374901757,0.0420841683366733
2,"rel::2:treated",-0.0878315525729346,0.0835733409854562,0.293524164759411,0.32064128256513
3,"rel::3:treated",-0.0541301465804858,0.0654012218773258,0.408050922312078,0.428857715430862
4,"rel::4:treated",-0.0114628114379053,0.0664803390483944,0.86313759184075,0.843687374749499
5,"rel::5:treated",-0.133075261007778,0.0793765012896534,0.0939385959853242,0.0881763527054108
6,"rel::6:treated",0.00539342288496007,0.0701091821613082,0.93869485376479,0.947895791583166
7,"rel::7:treated",-0.00444430107371761,0.0820697151758385,0.956823832966607,0.973947895791583
8,"rel::8:treated",-0.0219138639993959,0.070417984581598,0.755713065933527,0.759519038076152
