"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.103231225254115,0.0940811039319675,0.272781969128238,0.302605210420842
-7,"rel::-7:treated",0.0180003624608904,0.0886789757688632,0.839187575888102,0.861723446893788
-6,"rel::-6:treated",0.0819730612998469,0.0812009680262521,0.312964997145931,0.318637274549098
-5,"rel::-5:treated",0.0838822962727912,0.0825409471290711,0.309745689654462,0.32064128256513
-4,"rel::-4:treated",0.102100244374687,0.0671625526418356,0.128764795057513,0.110220440881764
-3,"rel::-3:treated",-0.043798022815522,0.0572942330947729,0.444777787825294,0.418837675350701
-2,"rel::-2:treated",-0.0231284899108199,0.0725100584865498,0.74981358313987,0.769539078156313
0,"rel::0:treated",0.0363530794187764,0.0668504461154209,0.586697312350097,0.565130260521042
1,"rel::1:treated",-0.123744193211331,0.0950092133005177,0.193052118401175,0.224448897795591
2,"rel::2:treated",-0.0826519328192804,0.0786022006693239,0.293262530169807,0.32064128256513
3,"rel::3:treated",-0.0156929563024087,0.0796677668616849,0.843881569916689,0.865731462925852
4,"rel::4:treated",-0.0304463873048863,0.0753735807786813,0.686339812509501,0.709418837675351
5,"rel::5:treated",-0.0657463610692496,0.0885177482820537,0.457801643918296,0.462925851703407
6,"rel::6:treated",0.0169829080838677,0.069897275273127,0.808076775368028,0.813627254509018
7,"rel::7:treated",-0.0184270600688649,0.0827080090130959,0.823737466339086,0.831663326653307
8,"rel::8:treated",0.0366228234062959,0.0945737460759589,0.698656868762338,0.723446893787575
