"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.805394528359373,3.10292037794227,0.795254289315867,0.775551102204409
-7,"rel::-7:treated",1.25712402297962,3.38701407817176,0.710593767179867,0.721442885771543
-6,"rel::-6:treated",-4.19770047801014,3.81436862883959,0.271369641802467,0.290581162324649
-5,"rel::-5:treated",-3.52263361327049,4.05727581774266,0.385470177506132,0.422845691382766
-4,"rel::-4:treated",-2.75206880506054,3.39887533266111,0.418297393807963,0.434869739478958
-3,"rel::-3:treated",-1.33858927328971,3.38049824451133,0.692205225510178,0.733466933867735
-2,"rel::-2:treated",-1.32901498922271,3.30432114715014,0.68761546018722,0.7374749498998
0,"rel::0:treated",-3.26942323673276,3.12071202234563,0.295041230648407,0.294589178356713
1,"rel::1:treated",0.0724792476827031,2.70055115234983,0.978593530450778,0.983967935871743
2,"rel::2:treated",-1.25121276501756,3.49766789704835,0.720619462723732,0.749498997995992
3,"rel::3:treated",1.91105088591359,2.84966280690681,0.502608865284294,0.49498997995992
4,"rel::4:treated",-0.0764842678050501,2.80729292567027,0.97826965760688,0.967935871743487
5,"rel::5:treated",-4.64020062099235,3.52283203618198,0.188067903548174,0.190380761523046
6,"rel::6:treated",-0.822837387458704,3.10770393617687,0.791236331146314,0.823647294589178
7,"rel::7:treated",-0.325716049911523,2.46098458956036,0.894731465361184,0.901803607214429
8,"rel::8:treated",0.726813181211522,2.57664858303811,0.777940465101924,0.79559118236473
