"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.208772853176651,0.165123969238898,0.206390449285479,0.212424849699399
-7,"rel::-7:treated",0.198421108675185,0.170838958963688,0.245724198227405,0.2625250501002
-6,"rel::-6:treated",0.336773636350538,0.150937453304274,0.025878933222589,0.0180360721442886
-5,"rel::-5:treated",0.254767828313008,0.142924828645871,0.0749536096772504,0.0741482965931864
-4,"rel::-4:treated",0.247847905142247,0.143198055582224,0.0837823097983427,0.102204408817635
-3,"rel::-3:treated",0.00629485271850755,0.163407504381784,0.969278527072222,0.969939879759519
-2,"rel::-2:treated",0.105165669934408,0.13441165337257,0.434148418800792,0.472945891783567
0,"rel::0:treated",0.146432436289313,0.15033244486295,0.330253868044779,0.338677354709419
1,"rel::1:treated",0.120495512141843,0.167182008803572,0.471228237793382,0.531062124248497
2,"rel::2:treated",0.107517474336553,0.181361229056613,0.553419392362997,0.613226452905812
3,"rel::3:treated",0.233656280950981,0.165817851797441,0.15909948012179,0.202404809619238
4,"rel::4:treated",0.0367587752811322,0.154255298094055,0.811696547715286,0.801603206412826
5,"rel::5:treated",0.261738017368633,0.149177454516449,0.0796314103982753,0.0801603206412826
6,"rel::6:treated",0.138190521030137,0.15772420668065,0.381148654361395,0.424849699398798
7,"rel::7:treated",0.146080411088356,0.146948982021025,0.32040995734265,0.342685370741483
8,"rel::8:treated",0.287976364788878,0.184687827759776,0.1192381843195,0.128256513026052
