"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.503801776558606,0.478156245997812,0.292294442293737,0.340681362725451
-7,"rel::-7:treated",-0.560565593663249,0.468345926760882,0.231615550377206,0.280561122244489
-6,"rel::-6:treated",-0.573695783167797,0.470297882472753,0.222795152410546,0.256513026052104
-5,"rel::-5:treated",-0.0443777057245257,0.161349813787077,0.783339728152491,0.773547094188377
-4,"rel::-4:treated",-0.279364523149194,0.314837824521974,0.375106715079776,0.488977955911824
-3,"rel::-3:treated",-0.0845844901439702,0.137216649537704,0.5377451245823,0.579158316633267
-2,"rel::-2:treated",-0.280282011077697,0.297794320826019,0.346823756674788,0.48496993987976
0,"rel::0:treated",-0.00901046286473983,0.0651013333145085,0.889945692589478,0.893787575150301
1,"rel::1:treated",-0.283129485937944,0.297970097218014,0.342233658624089,0.470941883767535
2,"rel::2:treated",-0.70102119496982,0.486396370418374,0.149812808896895,0.0541082164328657
3,"rel::3:treated",-0.64085167288176,0.463002689358464,0.166617539874572,0.0881763527054108
4,"rel::4:treated",-0.422741431862555,0.44559018359903,0.342981532645667,0.565130260521042
5,"rel::5:treated",-0.420322972304293,0.471874544763638,0.373267907431704,0.537074148296593
6,"rel::6:treated",-0.222082641459147,0.313335871483464,0.47862644043288,0.609218436873748
7,"rel::7:treated",-0.409604465408154,0.317395498101072,0.197157021844721,0.200400801603206
8,"rel::8:treated",-0.23187328601724,0.30781920201395,0.451453158993738,0.687374749498998
