"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0672782905380105,0.0491589799313392,0.17142343064856,0.152304609218437
-7,"rel::-7:treated",-0.00401845719215794,0.0479153737462374,0.933179290356208,0.943887775551102
-6,"rel::-6:treated",0.053633062926419,0.0444926465508238,0.228308219475991,0.218436873747495
-5,"rel::-5:treated",0.0513250633711379,0.044984478019838,0.254152417474697,0.274549098196393
-4,"rel::-4:treated",0.0115449338816373,0.0448698259636573,0.796999187619032,0.763527054108216
-3,"rel::-3:treated",-0.0218842278883273,0.0359223127819274,0.542518004153498,0.55310621242485
-2,"rel::-2:treated",-0.00394664474183816,0.0469190014800664,0.932980243331704,0.919839679358717
0,"rel::0:treated",0.000212051805058053,0.0512770653506996,0.996701218603539,0.995991983967936
1,"rel::1:treated",-0.0687801554891382,0.0513777838141934,0.180955528162047,0.182364729458918
2,"rel::2:treated",-0.0834298819093405,0.045302628640494,0.0658156685891562,0.0801603206412826
3,"rel::3:treated",0.00543692798237916,0.0515079250162482,0.915955588256905,0.933867735470942
4,"rel::4:treated",-0.0203549235222159,0.0447994586198815,0.649666821875109,0.615230460921844
5,"rel::5:treated",-0.0593329642993251,0.0514780615135166,0.24934387573782,0.24248496993988
6,"rel::6:treated",0.0234270211811449,0.0458955112018414,0.609849471495952,0.583166332665331
7,"rel::7:treated",-0.0368692229224176,0.0523311030562696,0.48125540452316,0.462925851703407
8,"rel::8:treated",0.0176864593775653,0.0472813289464608,0.708429326563401,0.695390781563126
