"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",0.42984889893479,0.32291275056184,0.183430561171241,0.201201201201201
-11,"rel::-11:treated",0.456249319968131,0.345419932408557,0.18684340927197,0.189189189189189
-10,"rel::-10:treated",0.221691289279147,0.319485808146605,0.487901213596121,0.478478478478478
-9,"rel::-9:treated",0.640900729378572,0.351435651145971,0.0684924897254854,0.0830830830830831
-8,"rel::-8:treated",0.609450958313675,0.308114850259983,0.0481949581596803,0.05005005005005
-7,"rel::-7:treated",0.173796114629673,0.307082467090736,0.571544865250171,0.562562562562563
-6,"rel::-6:treated",0.426474545029137,0.312691548463531,0.172902506673808,0.179179179179179
-5,"rel::-5:treated",0.323077917855731,0.315035427799549,0.305354504808289,0.293293293293293
-4,"rel::-4:treated",0.413057037375807,0.275988361510956,0.134791592223755,0.141141141141141
-3,"rel::-3:treated",0.0251407500192468,0.267448298667449,0.925125627366923,0.934934934934935
-2,"rel::-2:treated",-0.178521023247693,0.342068859281528,0.601861761872098,0.594594594594595
0,"rel::0:treated",0.368801281984567,0.290346737262431,0.204296751008645,0.19019019019019
1,"rel::1:treated",-0.219800584997905,0.332713772062705,0.508997565250953,0.497497497497497
2,"rel::2:treated",-0.210451153247455,0.333479929357134,0.528130894249996,0.524524524524524
3,"rel::3:treated",-0.231522011217727,0.312739787477369,0.459285244780863,0.448448448448448
4,"rel::4:treated",0.0608793491043439,0.299507699251412,0.838968275771467,0.830830830830831
5,"rel::5:treated",-0.00103568037715757,0.309332417972796,0.99732924438884,0.998998998998999
6,"rel::6:treated",0.437185130129113,0.309843484218477,0.158550406138234,0.176176176176176
7,"rel::7:treated",0.164989178122316,0.335226995395738,0.622702980791906,0.611611611611612
8,"rel::8:treated",-0.0564129882226737,0.31547403658063,0.858114403915955,0.853853853853854
9,"rel::9:treated",0.376780602915805,0.271227677401332,0.165082151978536,0.168168168168168
10,"rel::10:treated",0.146436800359491,0.306391028010827,0.632793692091031,0.654654654654655
11,"rel::11:treated",0.129054125058261,0.32770550178709,0.693801881100761,0.675675675675676
12,"rel::12:treated",0.295820827828188,0.310187276047614,0.340467072079289,0.353353353353353
