"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.00609353180809627,0.0393777145756843,0.877052121407312,0.868868868868869
-11,"rel::-11:treated",-0.0234160203274479,0.0350002391491368,0.503629718241755,0.503503503503503
-10,"rel::-10:treated",-0.00603138548890928,0.0341975314850289,0.860038703475873,0.864864864864865
-9,"rel::-9:treated",0.0332949896329514,0.0343843340289961,0.333112599841205,0.352352352352352
-8,"rel::-8:treated",0.032995419682038,0.0360254387228728,0.359937796839781,0.383383383383383
-7,"rel::-7:treated",-0.0301256886184789,0.0348708171119087,0.387831519806594,0.411411411411411
-6,"rel::-6:treated",0.0301950236409723,0.031821080596636,0.342894051049572,0.323323323323323
-5,"rel::-5:treated",0.0407648035292371,0.0324127656108844,0.208793503457153,0.202202202202202
-4,"rel::-4:treated",0.0228341679828325,0.0375554909139852,0.543313926131677,0.548548548548549
-3,"rel::-3:treated",-0.000351300098006463,0.0257178995467618,0.989104079976687,0.991991991991992
-2,"rel::-2:treated",0.00412218782698546,0.0299941439230391,0.890715338559222,0.905905905905906
0,"rel::0:treated",-0.0281534111542066,0.0353995570637883,0.426619886998743,0.443443443443443
1,"rel::1:treated",-0.0972805739493864,0.028160499420308,0.000573757406719858,0
2,"rel::2:treated",-0.0368711857820825,0.0416140885345711,0.375810050294707,0.372372372372372
3,"rel::3:treated",-0.00970773504936853,0.0342039777816182,0.776606216862291,0.778778778778779
4,"rel::4:treated",-0.0191338338459647,0.0341839989240611,0.575784833103256,0.584584584584585
5,"rel::5:treated",-0.0401638969009969,0.0391650933562157,0.305366973295911,0.311311311311311
6,"rel::6:treated",-0.0259540319831305,0.0341582337340797,0.447537406550583,0.482482482482482
7,"rel::7:treated",-0.0336491776150875,0.0334445579687317,0.314595025261594,0.318318318318318
8,"rel::8:treated",-0.025421436489242,0.0310444810067181,0.413049227005567,0.406406406406406
9,"rel::9:treated",-0.063002566403874,0.0272819618893488,0.021123383065753,0.02002002002002
10,"rel::10:treated",-0.0618751137245883,0.0410965306475287,0.132475372801556,0.145145145145145
11,"rel::11:treated",-0.0420950171633126,0.036358846584302,0.247228153316552,0.251251251251251
12,"rel::12:treated",-0.0368248704687013,0.0396829989000262,0.353637423183102,0.382382382382382
