"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.0515004487680127,0.0908828536429087,0.571062894186672,0.592592592592593
-11,"rel::-11:treated",-0.0159025936193136,0.0785810794259916,0.839666046023188,0.847847847847848
-10,"rel::-10:treated",-0.012180224159267,0.0916859231208213,0.894340121468187,0.893893893893894
-9,"rel::-9:treated",-0.0500138532175164,0.0829279249399725,0.546574764213093,0.557557557557558
-8,"rel::-8:treated",0.0931071293410571,0.0906020731694176,0.304356234549061,0.323323323323323
-7,"rel::-7:treated",-0.0468534134575761,0.0863732427286257,0.58762390987345,0.594594594594595
-6,"rel::-6:treated",0.0114831354141644,0.0823349525750909,0.889107181603026,0.904904904904905
-5,"rel::-5:treated",-0.0327901097905599,0.0677730302565504,0.628614764149265,0.620620620620621
-4,"rel::-4:treated",-0.0327246020476387,0.064277370452823,0.610780350904907,0.632632632632633
-3,"rel::-3:treated",-0.0692761131171861,0.0542553135420656,0.20194158251005,0.223223223223223
-2,"rel::-2:treated",-0.0726703520385014,0.0525471864444374,0.166978629768304,0.193193193193193
0,"rel::0:treated",-0.0627773562391339,0.0584562807363424,0.283110156956727,0.283283283283283
1,"rel::1:treated",-0.148880294513673,0.0598754573847693,0.0130582038938163,0.018018018018018
2,"rel::2:treated",-0.0939147263635822,0.0803622290391446,0.24281805019179,0.265265265265265
3,"rel::3:treated",-0.0416376612979644,0.0696750071049857,0.550239398374949,0.538538538538539
4,"rel::4:treated",-0.0227901103759284,0.0667456157065059,0.732836514903054,0.738738738738739
5,"rel::5:treated",-0.114601426553579,0.0711388195444633,0.107495941875605,0.119119119119119
6,"rel::6:treated",0.00149950951398286,0.0673073162578063,0.982230073070134,0.985985985985986
7,"rel::7:treated",-0.0252785716613275,0.0816283340095475,0.756867798332291,0.76976976976977
8,"rel::8:treated",-0.0324151820578018,0.0717811912450157,0.651664323178794,0.645645645645646
9,"rel::9:treated",-0.0172382924870158,0.066166848896217,0.794508877638803,0.76976976976977
10,"rel::10:treated",-0.0831455246983271,0.0755817390539098,0.271556809604585,0.278278278278278
11,"rel::11:treated",-0.0457018694402505,0.075760141030454,0.546479023364713,0.557557557557558
12,"rel::12:treated",-0.072570118414672,0.0889259688686962,0.414646836605725,0.451451451451451
