"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.026081173767517,0.091742727995535,0.77624834982328,0.797797797797798
-11,"rel::-11:treated",0.019515602118996,0.0821106482171962,0.81218087978251,0.824824824824825
-10,"rel::-10:treated",-0.0467816280227493,0.0932865377844985,0.616138288849869,0.603603603603604
-9,"rel::-9:treated",0.00956747664259329,0.0893056842000542,0.914705300610454,0.915915915915916
-8,"rel::-8:treated",0.131626906183833,0.0823175009864976,0.110123988235463,0.112112112112112
-7,"rel::-7:treated",0.02675706818928,0.0836267171207752,0.749064778023844,0.754754754754755
-6,"rel::-6:treated",0.0791549833846487,0.0807067043820449,0.326934840627048,0.334334334334334
-5,"rel::-5:treated",0.0737986421179573,0.079396878953327,0.35285274306639,0.356356356356356
-4,"rel::-4:treated",0.0835145532048268,0.0648342731428396,0.197992261759606,0.196196196196196
-3,"rel::-3:treated",-0.0421243446496782,0.0567319088834802,0.457944116133489,0.46946946946947
-2,"rel::-2:treated",-0.06988295177216,0.068478918419291,0.307729527378854,0.344344344344344
0,"rel::0:treated",0.0122891113487974,0.0662891204389866,0.852962355873093,0.853853853853854
1,"rel::1:treated",-0.149643712368006,0.0868499142332904,0.0851859355359682,0.0820820820820821
2,"rel::2:treated",-0.100525727716515,0.0795724188644483,0.206758729020198,0.226226226226226
3,"rel::3:treated",-0.0105070656931062,0.0842306296777342,0.900752442489503,0.905905905905906
4,"rel::4:treated",-0.0568638813023828,0.0731730432912815,0.437269266710346,0.414414414414414
5,"rel::5:treated",-0.0696916004564843,0.08947801821783,0.436236142158846,0.462462462462462
6,"rel::6:treated",0.0157887786153435,0.0707724945740267,0.823508125006021,0.828828828828829
7,"rel::7:treated",-0.0269029007931252,0.0859394531703537,0.754309983851053,0.760760760760761
8,"rel::8:treated",0.0182324928336406,0.0968395987899016,0.85069802760536,0.872872872872873
9,"rel::9:treated",-0.00217764829025596,0.0770171389823068,0.977448414171521,0.976976976976977
10,"rel::10:treated",-0.105136226118321,0.0758386289503365,0.165950758271826,0.168168168168168
11,"rel::11:treated",-0.0437887428195414,0.0960867116142024,0.648686598400419,0.647647647647648
12,"rel::12:treated",-0.0442891625893168,0.0967640400141399,0.647262579379912,0.658658658658659
