"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.338739085924246,0.167102974784061,0.0429065003756874,0.044044044044044
-11,"rel::-11:treated",-0.290812030000408,0.184386767283514,0.115060038949712,0.11011011011011
-10,"rel::-10:treated",-0.0576021352171441,0.168959951715051,0.733231960595731,0.723723723723724
-9,"rel::-9:treated",-0.070713283613896,0.167616111540032,0.673203263809245,0.672672672672673
-8,"rel::-8:treated",-0.0438592689010504,0.142430539640956,0.75819447498132,0.774774774774775
-7,"rel::-7:treated",-0.0310291641703963,0.131800030588443,0.81392484692091,0.817817817817818
-6,"rel::-6:treated",0.0227349624223287,0.134427694825507,0.865732238848185,0.862862862862863
-5,"rel::-5:treated",0.215482140082312,0.0936061681315508,0.0215334885025361,0.02002002002002
-4,"rel::-4:treated",0.087821491038353,0.0964426635773932,0.362714838311749,0.382382382382382
-3,"rel::-3:treated",-0.0950427565805436,0.110190132017478,0.388594401958153,0.395395395395395
-2,"rel::-2:treated",0.0587941666854777,0.0970957630826163,0.544961873011265,0.532532532532533
0,"rel::0:treated",-0.12564232714467,0.0895023315541696,0.160683317266089,0.149149149149149
1,"rel::1:treated",-0.264162209136543,0.0977729987193778,0.0070100131081909,0.004004004004004
2,"rel::2:treated",-0.324263719212889,0.104699229763642,0.00200714005779554,0.003003003003003
3,"rel::3:treated",0.00253583308468909,0.150435532171802,0.986554272647554,0.986986986986987
4,"rel::4:treated",-0.132633855594148,0.0975064013600567,0.174045935805268,0.175175175175175
5,"rel::5:treated",-0.0340570193609298,0.10990866402595,0.756725115057206,0.766766766766767
6,"rel::6:treated",0.0781594531942204,0.108914492986906,0.47315301196296,0.482482482482482
7,"rel::7:treated",0.0433825648092165,0.117654689629805,0.712406337883346,0.725725725725726
8,"rel::8:treated",-0.0387416130869912,0.131881476925357,0.76899984462647,0.764764764764765
9,"rel::9:treated",-0.127625218962471,0.132518347500542,0.33573550770112,0.342342342342342
10,"rel::10:treated",-0.0545171377437719,0.127952220444204,0.670142813266917,0.66966966966967
11,"rel::11:treated",-0.038905364348362,0.128189267557417,0.761570606000468,0.766766766766767
12,"rel::12:treated",-0.0268708992007144,0.130638668830706,0.83707472358128,0.822822822822823
