"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-2.63304555948511e-05,2.63512013666644e-05,0.317926336282036,0.494494494494495
-11,"rel::-11:treated",-2.70719262835034e-05,2.70933197177703e-05,0.317927469212447,0.500500500500501
-10,"rel::-10:treated",-2.49642500713164e-05,2.49834382968206e-05,0.317917021511124,0.518518518518518
-9,"rel::-9:treated",-2.09931659444474e-05,2.10095648067578e-05,0.317923074884475,0.493493493493493
-8,"rel::-8:treated",-1.6231599931719e-05,1.62419381776646e-05,0.317853358632412,0.496496496496497
-7,"rel::-7:treated",-2.13727268994223e-05,2.13863326685269e-05,0.317853201027007,0.46946946946947
-6,"rel::-6:treated",-1.3666910401792e-05,1.3674034554338e-05,0.317797449976892,0.47947947947948
-5,"rel::-5:treated",-1.44931689634426e-05,1.45042283588647e-05,0.317914338154005,0.507507507507508
-4,"rel::-4:treated",-8.90349138931422e-06,8.90661407080456e-06,0.317714992364728,0.47947947947948
-3,"rel::-3:treated",-6.91661698174829e-06,6.92104271098632e-06,0.317854783747646,0.482482482482482
-2,"rel::-2:treated",-7.1445930566976e-06,7.14890208179866e-06,0.317837017550023,0.496496496496497
0,"rel::0:treated",-7.22091344513042e-06,7.2247091114761e-06,0.317799566970713,0.477477477477477
1,"rel::1:treated",-2.01226987885001e-05,2.01428916862847e-05,0.318030524378391,0.47047047047047
2,"rel::2:treated",-1.24572061956296e-05,1.24667117967722e-05,0.317914330428631,0.501501501501502
3,"rel::3:treated",-3.68483977325149e-06,3.69068922359712e-06,0.318312618111406,0.511511511511512
4,"rel::4:treated",8.23430996384217e-07,8.28187194815714e-07,0.320331230433179,0.492492492492492
5,"rel::5:treated",-4.86781686291307e-06,4.86823910683418e-06,0.317587329702261,0.493493493493493
6,"rel::6:treated",8.87002034836478e-06,8.87458594244787e-06,0.317794284201231,0.498498498498498
7,"rel::7:treated",-9.67596091526793e-06,9.6891093358289e-06,0.31820222406931,0.508508508508508
8,"rel::8:treated",3.9277411178666e-06,3.92851269730817e-06,0.317640385583755,0.502502502502503
9,"rel::9:treated",1.17765298710937e-05,1.17903384888379e-05,0.318112213503059,0.485485485485485
10,"rel::10:treated",2.19152718831703e-05,2.19376252568607e-05,0.3180384985068,0.464464464464464
11,"rel::11:treated",3.38768422095926e-05,3.39073585602274e-05,0.31798090184252,0.485485485485485
12,"rel::12:treated",1.7925231689791e-05,1.79399327523797e-05,0.317941914645717,0.502502502502503
