"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-3.57234660445412,3.86124954728645,0.355089562284026,0.364364364364364
-11,"rel::-11:treated",-3.27005062714379,4.16514879657508,0.432576564295972,0.425425425425425
-10,"rel::-10:treated",-3.00313375017131,3.6857247197861,0.415374336634998,0.429429429429429
-9,"rel::-9:treated",1.60266440343567,2.79001861603347,0.56580373824389,0.57957957957958
-8,"rel::-8:treated",0.567830285066383,2.70354752732253,0.833684584321103,0.820820820820821
-7,"rel::-7:treated",0.2188295875886,3.00735064892413,0.942007324952153,0.944944944944945
-6,"rel::-6:treated",-4.54565180430646,3.58716254920555,0.205370275630395,0.23023023023023
-5,"rel::-5:treated",-3.0820769865546,3.88586951249804,0.427873159807849,0.455455455455455
-4,"rel::-4:treated",-0.502642684412026,2.9314473864135,0.863891276307743,0.886886886886887
-3,"rel::-3:treated",-1.04915125908888,3.46390786399476,0.762041845903502,0.787787787787788
-2,"rel::-2:treated",-1.5498887392285,3.2805242471324,0.636704606981208,0.673673673673674
0,"rel::0:treated",-2.34830888530561,2.63421212917652,0.372887760385307,0.382382382382382
1,"rel::1:treated",-0.323259973456876,2.50880302614113,0.897501273869129,0.905905905905906
2,"rel::2:treated",-0.969718466995252,2.82455797207182,0.731430134408899,0.72972972972973
3,"rel::3:treated",2.04562775293193,2.81368675726977,0.467374290455695,0.483483483483483
4,"rel::4:treated",0.108762975825912,2.43749081753955,0.964418151363473,0.964964964964965
5,"rel::5:treated",-3.96438977343061,3.33555917942153,0.234901265183028,0.24024024024024
6,"rel::6:treated",-1.86419834810993,2.59279057976853,0.472308296753607,0.462462462462462
7,"rel::7:treated",-0.976943802164383,2.37194158243282,0.68051663005807,0.673673673673674
8,"rel::8:treated",0.0803825654961114,2.40123525648345,0.973301883926641,0.977977977977978
9,"rel::9:treated",-2.11096476271267,3.08104497067862,0.493406130419597,0.555555555555556
10,"rel::10:treated",-1.1952549387767,3.07575559326906,0.697648454194976,0.748748748748749
11,"rel::11:treated",-2.97599979769753,3.84746736406974,0.439406502550961,0.465465465465465
12,"rel::12:treated",1.46151190915733,2.60371358353274,0.574702713910843,0.581581581581582
