"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",0.0285026625610343,0.172702479216617,0.86894558704832,0.843843843843844
-11,"rel::-11:treated",0.259168759220714,0.154267654601497,0.0932616920169,0.0790790790790791
-10,"rel::-10:treated",-0.114825443785644,0.160170802316581,0.473602197959334,0.454454454454454
-9,"rel::-9:treated",-0.0575789970313253,0.199601021866072,0.773044686082216,0.720720720720721
-8,"rel::-8:treated",0.150178271620115,0.144440486589783,0.298712046152734,0.312312312312312
-7,"rel::-7:treated",0.120650655050887,0.153885542553974,0.43320363222544,0.44044044044044
-6,"rel::-6:treated",0.287898418313253,0.140313542276103,0.040439360140605,0.057057057057057
-5,"rel::-5:treated",0.181396214348326,0.135501227516585,0.180962015494524,0.193193193193193
-4,"rel::-4:treated",0.193654374981836,0.136938412528855,0.157613798371495,0.175175175175175
-3,"rel::-3:treated",-0.0436574984775971,0.15561803871169,0.779117538703403,0.778778778778779
-2,"rel::-2:treated",0.0402352824260313,0.128344008905064,0.753967633987377,0.751751751751752
0,"rel::0:treated",0.140056404997608,0.128261641899465,0.27510663928751,0.301301301301301
1,"rel::1:treated",0.0293725390214285,0.138487756335288,0.832075004769794,0.830830830830831
2,"rel::2:treated",0.014887085238564,0.174991531218022,0.932219748522573,0.943943943943944
3,"rel::3:treated",0.165446204580736,0.154291741567591,0.283838892650276,0.282282282282282
4,"rel::4:treated",0.0144708812597769,0.145221423668018,0.92064395814285,0.924924924924925
5,"rel::5:treated",0.216918078923872,0.134385417988816,0.106801410929173,0.113113113113113
6,"rel::6:treated",0.102688304505839,0.143181099806353,0.473418390039356,0.486486486486487
7,"rel::7:treated",0.0953281933072974,0.14069252562915,0.498200327678519,0.506506506506507
8,"rel::8:treated",0.24320701029927,0.157929275238333,0.123873782581851,0.143143143143143
9,"rel::9:treated",0.127211288377897,0.131892817595647,0.335019168635539,0.327327327327327
10,"rel::10:treated",0.108091723407577,0.147713839661039,0.464478860818372,0.465465465465465
11,"rel::11:treated",-0.117930544806225,0.161110210168858,0.464343147649699,0.486486486486487
12,"rel::12:treated",0.237660108958598,0.124904802993825,0.0573544389876399,0.0670670670670671
