"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-1.00638442603983,0.578798809087291,0.0823781488046688,0.0563056305630563
-11,"rel::-11:treated",-0.9111505290248,0.574368514237715,0.112966457429599,0.105710571057106
-10,"rel::-10:treated",0.0116593901849608,0.197101918113812,0.952840828342193,0.95019501950195
-9,"rel::-9:treated",-0.638012480760878,0.518935576475746,0.219178754383439,0.22962296229623
-8,"rel::-8:treated",-0.56518087990997,0.515797308420032,0.273447744957002,0.336933693369337
-7,"rel::-7:treated",-0.585166283904278,0.508247866498989,0.249859426475496,0.27972797279728
-6,"rel::-6:treated",-0.603117209807655,0.512460702199704,0.239505599381418,0.271127112711271
-5,"rel::-5:treated",-0.0656201639616627,0.154830261684268,0.671785571059469,0.678767876787679
-4,"rel::-4:treated",-0.346336581713278,0.35495144617849,0.329427650503031,0.437343734373437
-3,"rel::-3:treated",-0.0770110034653757,0.137525645540948,0.575617853044355,0.594059405940594
-2,"rel::-2:treated",-0.340764552690616,0.337674307293061,0.313138960594633,0.432843284328433
0,"rel::0:treated",-0.00722688065162941,0.066705832901104,0.91374744280345,0.918291829182918
1,"rel::1:treated",-0.28852395094062,0.342427302834633,0.399656447836041,0.612861286128613
2,"rel::2:treated",-0.73369583410651,0.53183452931113,0.168022629445124,0.052005200520052
3,"rel::3:treated",-0.145261161071165,0.720930186284766,0.840354215195479,0.668966896689669
4,"rel::4:treated",-0.445701711291146,0.494285780217939,0.367422512813312,0.66026602660266
5,"rel::5:treated",-0.442274833376139,0.507719019289033,0.383901682722085,0.625662566256626
6,"rel::6:treated",-0.229522898001452,0.350309951354947,0.512485627925275,0.745174517451745
7,"rel::7:treated",-0.472431797744222,0.358787606586301,0.188216998311725,0.176517651765177
8,"rel::8:treated",-0.264267455766849,0.348271729904212,0.448147751672918,0.661166116611661
9,"rel::9:treated",-0.259833575110331,0.350418716843386,0.458562651136063,0.676567656765677
10,"rel::10:treated",-0.333409185740476,0.371407404594759,0.369559944426827,0.468646864686469
11,"rel::11:treated",-0.296144123986767,0.356108871190123,0.405821188664727,0.574957495749575
12,"rel::12:treated",-0.336854907903609,0.356993932273555,0.345601904810798,0.458845884588459
