"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.0225494690644734,0.0550754127728337,0.682310016091153,0.695695695695696
-11,"rel::-11:treated",0.00498655293943635,0.0477210374763239,0.916797825178726,0.904904904904905
-10,"rel::-10:treated",-0.0299333776185513,0.0500965268182051,0.550295577672386,0.548548548548549
-9,"rel::-9:treated",0.00975315429730266,0.0504080777133744,0.846618117277054,0.852852852852853
-8,"rel::-8:treated",0.0710726837447383,0.0488605843963922,0.146084252511424,0.173173173173173
-7,"rel::-7:treated",-0.00667068323085283,0.0502220792588494,0.894358740816026,0.893893893893894
-6,"rel::-6:treated",0.0448572385737215,0.0453448569125904,0.32277490613907,0.321321321321321
-5,"rel::-5:treated",0.0443785128131525,0.0451810773556047,0.326213904352043,0.336336336336336
-4,"rel::-4:treated",0.00530579006874345,0.0457479629210187,0.907692016272368,0.896896896896897
-3,"rel::-3:treated",-0.0208915795734159,0.035818158597123,0.559840700513848,0.578578578578579
-2,"rel::-2:treated",-0.0366445246025481,0.0445529839840159,0.410986642980497,0.416416416416416
0,"rel::0:treated",-0.00848188686947244,0.0502060740908044,0.86587586702004,0.870870870870871
1,"rel::1:treated",-0.0867141682582083,0.0471756957131981,0.0663338826615915,0.0660660660660661
2,"rel::2:treated",-0.0937876249676975,0.0466476974423963,0.0446330579930825,0.0540540540540541
3,"rel::3:treated",0.00714177004105823,0.0522792145015565,0.891367180628878,0.877877877877878
4,"rel::4:treated",-0.038232006691906,0.0422292838412893,0.365495169466194,0.348348348348348
5,"rel::5:treated",-0.0641243307726849,0.0519451488548542,0.217312224932357,0.217217217217217
6,"rel::6:treated",0.0220550119404995,0.0450868793473625,0.624827642027987,0.608608608608609
7,"rel::7:treated",-0.0434254788358776,0.0509892033922352,0.394600639785195,0.402402402402402
8,"rel::8:treated",0.00514798487323397,0.047107711869543,0.913000784234732,0.908908908908909
9,"rel::9:treated",-0.0249168920816845,0.0462856308972842,0.590466322616851,0.585585585585586
10,"rel::10:treated",-0.0691043413645486,0.0442106837746134,0.11834358110796,0.122122122122122
11,"rel::11:treated",-0.0589344900477482,0.0534640164811234,0.270579789527163,0.26026026026026
12,"rel::12:treated",-0.0284644332894892,0.0544937029211761,0.601543485088794,0.624624624624625
