"rel","coef","beta","se","crv1_p","wcr_p"
-12,"rel::-12:treated",-0.677314256367556,0.244319236320336,0.00566738554924122,0.003003003003003
-11,"rel::-11:treated",-0.263651142833875,0.246628712667422,0.285310908512375,0.305305305305305
-10,"rel::-10:treated",0.180317660644005,0.316679351859717,0.5692079294592,0.57957957957958
-9,"rel::-9:treated",0.0795440221185513,0.234922458152002,0.734982408573461,0.745745745745746
-8,"rel::-8:treated",0.0320167958016539,0.238424950553185,0.893203775170186,0.883883883883884
-7,"rel::-7:treated",0.0787114994933514,0.200680158270301,0.694974132296208,0.671671671671672
-6,"rel::-6:treated",0.0905271957855718,0.21896154680024,0.679371224914077,0.685685685685686
-5,"rel::-5:treated",0.464577900076471,0.289266553134826,0.108568410135919,0.103103103103103
-4,"rel::-4:treated",0.155710115954321,0.213566065712163,0.466108829569234,0.502502502502503
-3,"rel::-3:treated",0.31667317148411,0.279327238963367,0.257184387794719,0.294294294294294
-2,"rel::-2:treated",-0.0842377188193939,0.163718527315815,0.606993474763502,0.605605605605606
0,"rel::0:treated",-0.100310531722705,0.195676496940543,0.608316898612901,0.597597597597598
1,"rel::1:treated",-0.0487791086366609,0.301887072135198,0.871667786506416,0.872872872872873
2,"rel::2:treated",-0.51737869490102,0.211585750548617,0.0146420443422328,0.02002002002002
3,"rel::3:treated",0.142093743214301,0.276729418992025,0.60772895108661,0.646646646646647
4,"rel::4:treated",0.0431232269503604,0.286883765730819,0.880544721576963,0.888888888888889
5,"rel::5:treated",0.145021436230434,0.287366593073645,0.613908022006623,0.675675675675676
6,"rel::6:treated",-0.0206427392687823,0.22144487036735,0.925748175541022,0.920920920920921
7,"rel::7:treated",0.204845482072287,0.318347338372652,0.520065424571353,0.567567567567568
8,"rel::8:treated",0.164467817562749,0.304805658528547,0.589601570257592,0.634634634634635
9,"rel::9:treated",-0.00652143967533456,0.299832727599338,0.982651384508827,0.982982982982983
10,"rel::10:treated",0.193031836583039,0.315930558302391,0.541338022222823,0.570570570570571
11,"rel::11:treated",-0.314146826666565,0.211004510904347,0.136842012713228,0.136136136136136
12,"rel::12:treated",-0.416013138496287,0.235143935057584,0.0771588739629334,0.0830830830830831
