"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.0641608095751804,0.146305589231048,0.66108869618241,NA
-7,"rel::-7:treated",-0.0504607648083123,0.132742965728356,0.703922078736813,NA
-6,"rel::-6:treated",0.00400706398935077,0.13669048449655,0.976619246150963,NA
-5,"rel::-5:treated",0.201816389946541,0.0960883834686074,0.035947667147144,NA
-4,"rel::-4:treated",0.080104300683512,0.0963969748344051,0.406178929060548,NA
-3,"rel::-3:treated",-0.0960793867248028,0.110619191974718,0.38529386132152,NA
-2,"rel::-2:treated",0.0663473861702343,0.0985869650953732,0.501111526514481,NA
0,"rel::0:treated",-0.101142379759077,0.0873735967721729,0.247306498697828,NA
1,"rel::1:treated",-0.235703382239578,0.0952860775526979,0.0135376698946873,NA
2,"rel::2:treated",-0.276071281594442,0.104365426812129,0.00828987870193531,NA
3,"rel::3:treated",-0.115591014587808,0.0991759234348556,0.244085269019312,NA
4,"rel::4:treated",-0.133945723400275,0.0985362612789818,0.17433706037658,NA
5,"rel::5:treated",-0.0174854942510379,0.111063724229769,0.874932181889133,NA
6,"rel::6:treated",0.0835513036890831,0.108982625552613,0.44346967105021,NA
7,"rel::7:treated",0.0493415991217675,0.113903520734086,0.664970757194531,NA
8,"rel::8:treated",-0.0250616306427918,0.12662674547735,0.843149472245024,NA
