"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.0079059371744892,0.206047677144192,0.96940068150764,NA
-7,"rel::-7:treated",-0.130686814983614,0.19101038353858,0.494013751565522,NA
-6,"rel::-6:treated",0.0382173172247906,0.205424559383744,0.852450171984512,NA
-5,"rel::-5:treated",0.293330933331764,0.151653570765182,0.0533649492506074,NA
-4,"rel::-4:treated",0.150188299422032,0.150560026607157,0.31874526816896,NA
-3,"rel::-3:treated",-0.0958343420986484,0.156476153578191,0.540375451563711,NA
-2,"rel::-2:treated",0.120050538784887,0.153558339404125,0.434520233739554,NA
0,"rel::0:treated",-0.0912812566887689,0.133631403674468,0.494711136271111,NA
1,"rel::1:treated",-0.285256864335536,0.159028576248539,0.0731521812572855,NA
2,"rel::2:treated",-0.38058427195455,0.171030581927168,0.0262848279430332,NA
3,"rel::3:treated",-0.0229419405441074,0.154395922125377,0.881905486636356,NA
4,"rel::4:treated",-0.168503005842057,0.1524037431348,0.269147041188094,NA
5,"rel::5:treated",0.0298416553847841,0.168295894606829,0.85929519678582,NA
6,"rel::6:treated",0.115903860865938,0.170596744546074,0.497038203616922,NA
7,"rel::7:treated",0.0253426064887484,0.170502539162262,0.881871442924885,NA
8,"rel::8:treated",0.0954324601101643,0.213512588169499,0.654996624039587,NA
