"rel","coef","beta","se","crv1_p","wcr_p"
-6,"rel::-6:treated",0.0538586864429524,0.199708625042453,0.787456994315257,0.773547094188377
-5,"rel::-5:treated",0.284717479799074,0.146617217789598,0.0524273924456518,0.064128256513026
-4,"rel::-4:treated",0.15186379145906,0.148784701684855,0.307644874047308,0.308617234468938
-3,"rel::-3:treated",-0.104833092633888,0.155073270079053,0.499181748039298,0.460921843687375
-2,"rel::-2:treated",0.11680296968691,0.147346604027807,0.428134695714836,0.418837675350701
0,"rel::0:treated",-0.116801417066431,0.137282929910607,0.395078870623738,0.410821643286573
1,"rel::1:treated",-0.316231187433823,0.161037284598896,0.0498388881171886,0.0501002004008016
2,"rel::2:treated",-0.386136873879386,0.169537848242618,0.0229608590901125,0.0280561122244489
3,"rel::3:treated",-0.0183113088256722,0.154521494871171,0.90569257587345,0.919839679358717
4,"rel::4:treated",-0.160013772397952,0.153848828557753,0.298557108567838,0.2625250501002
5,"rel::5:treated",0.0180473466279896,0.170402380285035,0.915674773902893,0.903807615230461
6,"rel::6:treated",0.0966354479740838,0.173212354802183,0.577035961148604,0.555110220440882
