"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.576631643450978,0.306599585749809,0.0602953492603971,0.0581162324649299
-7,"rel::-7:treated",0.160307270141053,0.306316971782895,0.600853724903908,0.623246492985972
-6,"rel::-6:treated",0.429090227968874,0.31468514373455,0.173011174405721,0.182364729458918
-5,"rel::-5:treated",0.329201747696228,0.312901957553134,0.2930083396055,0.316633266533066
-4,"rel::-4:treated",0.411211449896946,0.274821373461977,0.134890855654111,0.132264529058116
-3,"rel::-3:treated",0.0248875176235972,0.268830792444857,0.926258030039885,0.939879759519038
-2,"rel::-2:treated",-0.174481462031173,0.34188075731929,0.609912212240032,0.643286573146293
0,"rel::0:treated",0.368165607285857,0.29023678488356,0.204910861402635,0.218436873747495
1,"rel::1:treated",-0.218505724305475,0.332541887052478,0.51128061651948,0.474949899799599
2,"rel::2:treated",-0.187893854322021,0.333102347336854,0.572829814065384,0.57314629258517
3,"rel::3:treated",-0.215666998962768,0.313856744005783,0.492144965934868,0.533066132264529
4,"rel::4:treated",0.0621982630136853,0.299491827499896,0.835521139659197,0.833667334669339
5,"rel::5:treated",0.000394023807351873,0.309589493068359,0.998984759561377,0.997995991983968
6,"rel::6:treated",0.437713297375905,0.310061204182556,0.158345795739822,0.168336673346693
7,"rel::7:treated",0.16651751405263,0.33544302820361,0.619712468345285,0.595190380761523
8,"rel::8:treated",-0.0559137312086164,0.315421502041983,0.859334371993669,0.869739478957916
