"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0333244124145257,0.0360086145338916,0.354949042498962,0.356713426853707
-7,"rel::-7:treated",-0.0291437590077402,0.0349218380121931,0.404172285882662,0.432865731462926
-6,"rel::-6:treated",0.031166861314101,0.031797489413854,0.327237769024238,0.3687374749499
-5,"rel::-5:treated",0.0415840565050977,0.0323840826497347,0.199404580500845,0.222444889779559
-4,"rel::-4:treated",0.0236650297504592,0.0375911649111879,0.529139635866875,0.539078156312625
-3,"rel::-3:treated",0.000289564876318888,0.025715266919317,0.99101788867431,0.995991983967936
-2,"rel::-2:treated",0.00443491683278548,0.0299941185102399,0.882483066200219,0.893787575150301
0,"rel::0:treated",-0.02807283521747,0.0354013116348537,0.427970354348815,0.434869739478958
1,"rel::1:treated",-0.0970333835563842,0.0281529001037929,0.0005908989150702,0
2,"rel::2:treated",-0.0367991064065665,0.0416172325465153,0.376783372300895,0.376753507014028
3,"rel::3:treated",-0.0175370623310077,0.0334574286170468,0.60028169366044,0.62124248496994
4,"rel::4:treated",-0.0189148234906373,0.0341872677656062,0.580200063875472,0.577154308617234
5,"rel::5:treated",-0.0399793968356028,0.0392035663677185,0.308071889190425,0.318637274549098
6,"rel::6:treated",-0.0256754881353946,0.0341719131875912,0.452609317513842,0.488977955911824
7,"rel::7:treated",-0.0333855958795139,0.0334633116018302,0.318674212930887,0.308617234468938
8,"rel::8:treated",-0.0253349001955827,0.031080260379973,0.41518145118753,0.404809619238477
