"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.0938996374844979,0.0905082744810137,0.299764599377945,0.298597194388778
-7,"rel::-7:treated",-0.0447841452061704,0.0863689631570719,0.604207970120615,0.613226452905812
-6,"rel::-6:treated",0.0132843630282702,0.0822842185519014,0.871775271889742,0.869739478957916
-5,"rel::-5:treated",-0.0313996805465739,0.0677542708073114,0.643152457837771,0.639278557114228
-4,"rel::-4:treated",-0.0313686456446007,0.0642504589339493,0.625496625496232,0.623246492985972
-3,"rel::-3:treated",-0.0678369474353568,0.0541985702598975,0.210991315131705,0.198396793587174
-2,"rel::-2:treated",-0.0720272536977682,0.0525154379719552,0.170509326034917,0.188376753507014
0,"rel::0:treated",-0.0624723005987941,0.0584659115960823,0.285538472131313,0.288577154308617
1,"rel::1:treated",-0.14822719639533,0.0598682319970769,0.0134531276141835,0.00801603206412826
2,"rel::2:treated",-0.091938513447207,0.0807680528218273,0.255263400333762,0.288577154308617
3,"rel::3:treated",-0.0689804399701303,0.0644325177072573,0.284611660686127,0.308617234468938
4,"rel::4:treated",-0.0222934569795495,0.0667697434622369,0.738535046085551,0.755511022044088
5,"rel::5:treated",-0.114126074344295,0.0712451322436614,0.109494460906314,0.124248496993988
6,"rel::6:treated",0.00152091693950563,0.0673834656491213,0.981996869984264,0.987975951903808
7,"rel::7:treated",-0.0248940448533929,0.0817169175608411,0.76070482182623,0.75751503006012
8,"rel::8:treated",-0.0327589990972119,0.0718717614289022,0.648633087825927,0.6312625250501
