"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.129527358916004,0.0821343411807719,0.115103836187675,0.112224448897796
-7,"rel::-7:treated",0.0271435702800163,0.0834897690071131,0.74516310230785,0.745490981963928
-6,"rel::-6:treated",0.08082634553972,0.0807297135051688,0.316970913564328,0.318637274549098
-5,"rel::-5:treated",0.0753799844214716,0.0792354080217231,0.341657858847349,0.340681362725451
-4,"rel::-4:treated",0.0843215449172771,0.0648067115849362,0.19351228760743,0.212424849699399
-3,"rel::-3:treated",-0.0408468023577528,0.0567215620189073,0.47161228716911,0.527054108216433
-2,"rel::-2:treated",-0.0694787885904336,0.0684554923133498,0.310373039373821,0.344689378757515
0,"rel::0:treated",0.0123612475639643,0.0662812819860077,0.852092558912173,0.839679358717435
1,"rel::1:treated",-0.149446188237057,0.086889517023335,0.0857460817385933,0.0561122244488978
2,"rel::2:treated",-0.099810777459064,0.0792357828743682,0.208079592616166,0.226452905811623
3,"rel::3:treated",-0.0355801187546665,0.0811455908034068,0.661137307059052,0.671342685370741
4,"rel::4:treated",-0.0566195413539165,0.0731839855034591,0.439312407597218,0.432865731462926
5,"rel::5:treated",-0.0677427219786879,0.089549786864592,0.449536859400167,0.480961923847695
6,"rel::6:treated",0.0158685260609636,0.0708976159954495,0.822940109406674,0.835671342685371
7,"rel::7:treated",-0.0268774798855341,0.0860424725601543,0.754820230847452,0.775551102204409
8,"rel::8:treated",0.0181204496060533,0.0968858897728963,0.851675556891084,0.849699398797595
