"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.0567672772353867,0.146877813618335,0.699212679340538,0.705410821643287
-7,"rel::-7:treated",-0.0469938215489622,0.1305544138009,0.718955274403736,0.693386773547094
-6,"rel::-6:treated",0.00362492087054589,0.133706876820571,0.978376583668151,0.983967935871743
-5,"rel::-5:treated",0.193274116896201,0.0939577312575458,0.0399389415754916,0.0420841683366733
-4,"rel::-4:treated",0.0688776447131372,0.0957457473403864,0.472072457635639,0.474949899799599
-3,"rel::-3:treated",-0.105549530898612,0.109761495349464,0.336467104221151,0.360721442885772
-2,"rel::-2:treated",0.0550257463984723,0.0968799711224513,0.570175517258153,0.545090180360721
0,"rel::0:treated",-0.125150654335026,0.0895251348707358,0.162437781664634,0.146292585170341
1,"rel::1:treated",-0.26287144141601,0.0976696842390204,0.0072319060220451,0.00200400801603206
2,"rel::2:treated",-0.315873244230057,0.102128924607395,0.00203652142956997,0.00200400801603206
3,"rel::3:treated",-0.113908168979656,0.0982039542885361,0.246357283515014,0.292585170340681
4,"rel::4:treated",-0.132925312368596,0.0976627412385664,0.173796226825269,0.204408817635271
5,"rel::5:treated",-0.0341889402155726,0.110002156704767,0.756014806827495,0.75751503006012
6,"rel::6:treated",0.0648878811163386,0.106777764178843,0.543528802345727,0.535070140280561
7,"rel::7:treated",0.0319758847921431,0.113781490847433,0.778745695524785,0.787575150300601
8,"rel::8:treated",-0.049816763852516,0.127788469819713,0.696738588776222,0.697394789579158
