"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.142569514439202,0.144350178555967,0.323553172573959,0.330661322645291
-7,"rel::-7:treated",0.11522633075453,0.153735081841138,0.453722693508548,0.412825651302605
-6,"rel::-6:treated",0.284854354990191,0.140097669639239,0.0422872627267407,0.0440881763527054
-5,"rel::-5:treated",0.178435611866194,0.135315980923961,0.187581532531386,0.214428857715431
-4,"rel::-4:treated",0.189892512919255,0.13684841752804,0.165560666291803,0.172344689378758
-3,"rel::-3:treated",-0.0453424821475323,0.156541996670702,0.772142889466347,0.761523046092184
-2,"rel::-2:treated",0.040388710639766,0.128391438126171,0.753149359330804,0.76753507014028
0,"rel::0:treated",0.139223797194765,0.128095552523384,0.277351051972231,0.284569138276553
1,"rel::1:treated",0.0289793738651423,0.138386274825126,0.834170874180421,0.831663326653307
2,"rel::2:treated",0.0157579758256643,0.175735644010205,0.928568281495912,0.925851703406814
3,"rel::3:treated",0.209419709196204,0.148295218727777,0.158204054453697,0.162324649298597
4,"rel::4:treated",0.0142218111339096,0.145073982224645,0.921926741791632,0.939879759519038
5,"rel::5:treated",0.215858026251788,0.134360941041988,0.10846432318975,0.110220440881764
6,"rel::6:treated",0.10149889444141,0.143119152592088,0.478368960236602,0.456913827655311
7,"rel::7:treated",0.0942107097278847,0.140673225522402,0.503193434159257,0.541082164328657
8,"rel::8:treated",0.24323383615743,0.157978193563783,0.123954107849696,0.118236472945892
