"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.234411640463059,0.240571513149151,0.33009337882854,0.418837675350701
-7,"rel::-7:treated",0.337957210996769,0.222047613958269,0.128320630459487,0.0681362725450902
-6,"rel::-6:treated",0.137657435159101,0.0932518620168468,0.1402040588821,0.134268537074148
-5,"rel::-5:treated",0.177038624960569,0.103051058370416,0.0861079825041604,0.0821643286573146
-4,"rel::-4:treated",-0.0121580534891589,0.283383606810253,0.965787189387759,0.963927855711423
-3,"rel::-3:treated",0.0127531795995287,0.146899881416103,0.930835378923661,0.943887775551102
-2,"rel::-2:treated",0.198382904960752,0.152531175433819,0.193689566349181,0.198396793587174
0,"rel::0:treated",0.105803018966335,0.0863984350070136,0.221013147419667,0.222444889779559
1,"rel::1:treated",0.137747869511667,0.182163759703452,0.449719641464492,0.501002004008016
2,"rel::2:treated",0.332252819546476,0.237160421278401,0.161531894372174,0.0801603206412826
3,"rel::3:treated",0.369650352885155,0.227304054851641,0.104210489579714,0.0200400801603206
4,"rel::4:treated",0.265611292155023,0.228016217633721,0.24434250512115,0.286573146292585
5,"rel::5:treated",0.350213136122771,0.2223047396907,0.115482651880587,0.0220440881763527
6,"rel::6:treated",0.288164628872736,0.155527708087737,0.0641993334199255,0.0380761523046092
7,"rel::7:treated",0.153585055770569,0.191707445150763,0.423236982421572,0.430861723446894
8,"rel::8:treated",0.268009920177652,0.152754848965095,0.0796457693173612,0.0681362725450902
