"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.527998145804748,0.516134664161227,0.306559293192417,0.372745490981964
-7,"rel::-7:treated",-0.581133792616147,0.506046722524381,0.251083211830249,0.304609218436874
-6,"rel::-6:treated",-0.599054787215724,0.510276263526335,0.240678716927537,0.308617234468938
-5,"rel::-5:treated",-0.0454344956258491,0.148871664711862,0.760282403715436,0.801603206412826
-4,"rel::-4:treated",-0.318497913496013,0.339878547412421,0.348934136144042,0.464929859719439
-3,"rel::-3:treated",-0.0748609562729342,0.131262914719329,0.56859196970467,0.529058116232465
-2,"rel::-2:treated",-0.321081122675149,0.324524768236422,0.322709518040322,0.454909819639279
0,"rel::0:treated",-0.00485290080733891,0.0663363916310036,0.941696486624687,0.939879759519038
1,"rel::1:treated",-0.286793324599271,0.327809978810539,0.381848559280097,0.513026052104208
2,"rel::2:treated",-0.7166643106286,0.533594397709247,0.179544557682669,0.0460921843687375
3,"rel::3:treated",-0.662221188766489,0.508356357906373,0.19298338818717,0.13627254509018
4,"rel::4:treated",-0.442201909250036,0.494293741333934,0.371206388297932,0.663326653306613
5,"rel::5:treated",-0.469697694759534,0.507694255797781,0.355103980280492,0.539078156312625
6,"rel::6:treated",-0.21161878235203,0.337682207807987,0.531010166644033,0.769539078156313
7,"rel::7:treated",-0.444616175560072,0.346317900073185,0.199492409653341,0.190380761523046
8,"rel::8:treated",-0.270385159849226,0.336183965280846,0.421425685914741,0.6312625250501
