"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.067651798369935,0.0488808267736855,0.166658998599784,0.146292585170341
-7,"rel::-7:treated",-0.0083779132315582,0.0502101415470056,0.867515905987589,0.859719438877755
-6,"rel::-6:treated",0.0445080305740517,0.0454088806955132,0.327240726314369,0.336673346693387
-5,"rel::-5:treated",0.0439586306235191,0.0451660917665039,0.33065358587026,0.342685370741483
-4,"rel::-4:treated",0.00444600211799872,0.0457652555036225,0.922628114405934,0.939879759519038
-3,"rel::-3:treated",-0.0207836856674329,0.035910569874312,0.562878325262397,0.581162324649299
-2,"rel::-2:treated",-0.0365476474639044,0.0445641144795806,0.41234432455691,0.430861723446894
0,"rel::0:treated",-0.00836597796071689,0.0501976859948425,0.867670377465924,0.871743486973948
1,"rel::1:treated",-0.0866563336984067,0.0471901325141774,0.0666030736430686,0.0501002004008016
2,"rel::2:treated",-0.0934435621383352,0.046587587407464,0.0451475636651719,0.0601202404809619
3,"rel::3:treated",-0.00575907922650494,0.0510072002941739,0.910126535023917,0.923847695390782
4,"rel::4:treated",-0.038111348698673,0.0422283363433894,0.36700261579764,0.350701402805611
5,"rel::5:treated",-0.0630814560549428,0.0519767762965457,0.225165738778647,0.250501002004008
6,"rel::6:treated",0.0210805127161928,0.04516375163757,0.640773963492195,0.665330661322645
7,"rel::7:treated",-0.0442900061507845,0.0510495767608959,0.385825527497356,0.37875751503006
8,"rel::8:treated",0.00406130405200498,0.04717031359808,0.931404964906644,0.919839679358717
