"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.976552087005458,1.09913107690941,0.374491747862323,0.416833667334669
-7,"rel::-7:treated",0.540985929129688,0.786937677639807,0.491949311635526,0.498997995991984
-6,"rel::-6:treated",0.352539701271811,0.922758345709986,0.702503111170195,0.717434869739479
-5,"rel::-5:treated",-0.0202256575349895,0.795199304620716,0.979713153602505,0.979959919839679
-4,"rel::-4:treated",0.903526877648263,0.718835690284772,0.209063292358947,0.236472945891784
-3,"rel::-3:treated",0.00472610418770758,0.760853117947853,0.995045105364273,0.993987975951904
-2,"rel::-2:treated",0.420699845254131,0.800411000982513,0.59927585961257,0.569138276553106
0,"rel::0:treated",0.0710543320802823,0.908768671875648,0.937694092663127,0.945891783567134
1,"rel::1:treated",0.371111995319785,0.945957515280997,0.694907604403209,0.715430861723447
2,"rel::2:treated",-0.242135002737893,0.756948751951712,0.749121870810288,0.765531062124248
3,"rel::3:treated",-0.150568765472412,0.975000717108952,0.877301406359488,0.889779559118236
4,"rel::4:treated",0.636030976886791,0.992720186440252,0.521863160861177,0.57314629258517
5,"rel::5:treated",0.362851112446506,1.02204027267055,0.722642547419485,0.725450901803607
6,"rel::6:treated",-0.22696334360751,1.03117385206435,0.825835353259755,0.827655310621243
7,"rel::7:treated",1.04825978685943,1.15498751831137,0.364304827264838,0.394789579158317
8,"rel::8:treated",0.00612561725010385,0.878728418345934,0.994439339034268,0.993987975951904
