"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",0.145637824890196,0.161596091524556,0.36766803679073,0.350701402805611
-7,"rel::-7:treated",0.101831092787084,0.161424009257837,0.52829155576006,0.527054108216433
-6,"rel::-6:treated",0.0936312516547302,0.160909509835715,0.560769588019379,0.547094188376753
-5,"rel::-5:treated",0.145875765345989,0.143905820278297,0.310968941209054,0.344689378757515
-4,"rel::-4:treated",0.165542650749376,0.132029586920313,0.210188042185044,0.220440881763527
-3,"rel::-3:treated",0.103901091563919,0.111010571422522,0.349514639842911,0.382765531062124
-2,"rel::-2:treated",0.0353836947745179,0.0887049061081807,0.690055242129344,0.651302605210421
0,"rel::0:treated",0.109665762607998,0.0683786056736574,0.109063918425535,0.122244488977956
1,"rel::1:treated",0.061082208705397,0.0722928018153242,0.39834709452403,0.382765531062124
2,"rel::2:treated",0.199632027095853,0.117363129521667,0.0892487790195028,0.0881763527054108
3,"rel::3:treated",-0.0145852733523945,0.127420086977157,0.90889064904355,0.909819639278557
4,"rel::4:treated",0.144530347169363,0.154062356660073,0.348397889720366,0.342685370741483
5,"rel::5:treated",0.117787295599472,0.14439138199248,0.414831450290415,0.468937875751503
6,"rel::6:treated",0.0954358114779506,0.145907370620863,0.513202959405706,0.527054108216433
7,"rel::7:treated",0.178092158944899,0.147067804755843,0.226191030501562,0.268537074148297
8,"rel::8:treated",0.230949136434334,0.165666303669063,0.163599176773197,0.188376753507014
