pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1,100,weth-pair,1098855.63,377124.49,1309392,1,1
0xe0554a476a092703abdb3ef35c80e0d76d32939f,1,100,weth-pair,570194.25,147631.78,1187493,1,1
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,1,500,weth-pair,3510203.12,928574.32,443318,1,1
0x11b815efb8f581194ae79006d24e0d814b7697f6,1,500,weth-pair,1558416.93,457896.69,271184,1,1
0xc74f05c1e7b86fa42ab07ab4a1361286b9a90087,1,3000,other,488358.0,50965.91,56395,0,1
0x3416cf6c708da44db2624d63ea0aaef7113527c6,0,100,stable-stable,244642.65,77913.01,142988,1,1
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,1,500,weth-pair,581861.19,390708.93,137608,1,1
0x56534741cd8b152df6d48adf7ac51f75169a83b2,1,500,btc-pair,1109279.7,521776.43,125118,1,1
0xc6360a062ad0ceb937198a6e23fe33494f9c80a8,1,100,other,6628.19,1563.61,48387,0,1
0x2b1a1262d8a9886f949787d85c41344476d2b00e,1,10000,weth-pair,297281.12,112902.96,24805,0,1
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,1,3000,weth-pair,16110187.36,5161348.5,92407,1,1
0xfeb5eaba6e0b09414c58bcbf6c24fb21cd6a938f,1,10000,weth-pair,52165.52,653.24,9830,0,1
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,1,500,btc-pair,193278.68,91744.58,85781,1,1
0xc2c390c6cd3c4e6c2b70727d35a45e8a072f18ca,1,3000,weth-pair,200285.73,31257.01,41096,1,1
0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,1,3000,weth-pair,87772.32,25558.05,41784,1,1
0x60594a405d53811d3bc4766596efd80fd545a270,1,500,weth-pair,33937.53,13981.14,88871,1,1
0x99950bae3d0b79b8bee86a8a208ae1b087b9dcb0,1,500,weth-pair,1196303.95,453984.15,64623,1,1
0xd19393e02c3cc60c21a89b5e85656ff1122ebd51,1,10000,weth-pair,1165910.65,68662.99,82723,0,1
0x5ae13baaef0620fdae1d355495dc51a17adb4082,1,500,other,299437.77,157710.6,58885,0,1
0x5d4f3c6fa16908609bac31ff148bd002aa6b8c83,1,500,weth-pair,25471.18,8480.79,72775,1,1
0x76665642f513aaf2a00be05711a598f44e3970a7,1,100,other,3819.45,515.0,53769,0,1
0x5628f3bb1f352f86ea173184ffee2e34b8fc2dc8,1,10000,weth-pair,80803.73,11520.11,7450,1,1
