pool,unit_role,week,swaps,vol0,vol1,twl_active_liquidity,depth_1pct,depth_2pct,depth_5pct,lp_entry_count,lp_exit_count,unique_lp_count,jit_share_same_block,lp_fee_income_native1,lp_fee_income_per_active_liquidity,collect_amount1_native,position_duration_days,net_liq
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-01,9,1227.509146,0.536655,1870150269147392.0,1870150269147392.0,1869599633432667.8,1869599633432667.8,0,2,1,0.0,0.000268,0.0,11.828204,0.0,-1861601160141544
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-02,0,0,0,1870150269147392.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-03,3,35.09718,0.014079,34953825016058.3,6897201861675.0,6897201861675.0,6897201861675.0,0,0,0,0.0,7e-06,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-04,3,29.293353,0.012661,8251932330901.81,8549109005848.0,8549109005848.0,7998473291123.67,0,0,0,0.0,6e-06,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-05,0,0,0,8549109005848.0,0,0,0,0,1,1,0.0,0,0.0,0.101851,0.0,-4834272666275
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-06,0,0,0,8549109005848.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-07,1,10.0,0.004087,4064496935021.3,2062929195400.0,2062929195400.0,2062929195400.0,0,0,0,0.0,2e-06,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-08,0,0,0,2062929195400.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-09,0,0,0,2062929195400.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-10,1,20.031689,0.006278,2062929195400.0,2049881378616.0,2049881378616.0,2049881378616.0,0,0,0,0.0,3e-06,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-11,0,0,0,2062929195400.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-12,2,3.684541,0.001003,2062929195400.0,2062929195400.0,2062929195400.0,2062929195400.0,0,0,0,0.0,1e-06,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-13,0,0,0,2062929195400.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-14,1,0.085493,2.4e-05,2062929195400.0,2062929195400.0,2062929195400.0,2062929195400.0,0,0,0,0.0,0.0,0.0,0,0.0,0
0x35644fb61afbc458bf92b15add6abc1996be5014,crossvenue_fork,2024-15,6,11.833748,0.003674,2062929195400.0,2062929195400.0,2062929195400.0,2062929195400.0,0,0,0,0.0,2e-06,0.0,0,0.0,0
