elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,fixed_6bps,5000,6.0000,0.0000,6.0000,6.0000,0.3952,0.8088,0.0382,0.7706,0.4136,1272.1732,63.0304,1335.2036,1440,234,0.883454,0.269361,1.000000,0.0000,0.983827
E1_none,0,fixed_6bps,5001,6.0000,0.0000,6.0000,6.0000,0.4287,0.8158,0.0313,0.7845,0.3871,1265.9777,50.5835,1316.5611,1440,201,0.879151,0.251659,1.000000,0.0000,1.051250
E1_none,0,fixed_6bps,5002,6.0000,0.0000,6.0000,6.0000,0.3936,0.7863,0.0356,0.7506,0.3927,1290.5584,61.2972,1351.8556,1440,230,0.896221,0.266510,1.000000,0.0000,0.961971
E1_none,0,fixed_6bps,5003,6.0000,0.0000,6.0000,6.0000,0.3889,0.8039,0.0375,0.7663,0.4150,1296.7203,63.5317,1360.2520,1440,231,0.900500,0.275029,1.000000,0.0000,0.986914
E1_none,0,fixed_6bps,5004,6.0000,0.0000,6.0000,6.0000,0.4042,0.8050,0.0335,0.7715,0.4008,1302.4542,56.5971,1359.0513,1440,234,0.904482,0.241868,1.000000,0.0000,0.997765
E1_none,0,fixed_6bps,5005,6.0000,0.0000,6.0000,6.0000,0.3985,0.8035,0.0356,0.7678,0.4050,1300.5064,60.5816,1361.0879,1440,231,0.903129,0.262258,1.000000,0.0000,0.964613
E1_none,0,fixed_6bps,5006,6.0000,0.0000,6.0000,6.0000,0.4166,0.7986,0.0332,0.7654,0.3820,1281.5559,55.6495,1337.2054,1440,212,0.889969,0.262498,1.000000,0.0000,1.017455
E1_none,0,fixed_6bps,5007,6.0000,0.0000,6.0000,6.0000,0.4033,0.8005,0.0331,0.7674,0.3971,1295.8544,55.7529,1351.6072,1440,214,0.899899,0.260527,1.000000,0.0000,0.943726
E1_none,0,fixed_6bps,5008,6.0000,0.0000,6.0000,6.0000,0.4220,0.8140,0.0317,0.7823,0.3920,1295.0286,52.5009,1347.5295,1440,223,0.899325,0.235430,1.000000,0.0000,1.016892
E1_none,0,fixed_6bps,5009,6.0000,0.0000,6.0000,6.0000,0.4209,0.8040,0.0318,0.7722,0.3831,1269.1645,52.2987,1321.4633,1440,203,0.881364,0.257629,1.000000,0.0000,0.991477
E1_none,0,fixed_6bps,5010,6.0000,0.0000,6.0000,6.0000,0.4154,0.7990,0.0311,0.7679,0.3836,1299.7900,52.6303,1352.4203,1440,207,0.902632,0.254253,1.000000,0.0000,0.992961
E1_none,0,fixed_6bps,5011,6.0000,0.0000,6.0000,6.0000,0.4080,0.8100,0.0344,0.7756,0.4020,1282.3250,56.9716,1339.2966,1440,216,0.890504,0.263757,1.000000,0.0000,1.019242
E1_none,0,fixed_6bps,5012,6.0000,0.0000,6.0000,6.0000,0.4052,0.8171,0.0338,0.7833,0.4119,1297.6083,56.1015,1353.7098,1440,224,0.901117,0.250453,1.000000,0.0000,1.000221
E1_none,0,fixed_6bps,5013,6.0000,0.0000,6.0000,6.0000,0.4287,0.7978,0.0296,0.7681,0.3691,1280.7296,49.4544,1330.1841,1440,210,0.889396,0.235497,1.000000,0.0000,0.989538
E1_none,0,fixed_6bps,5014,6.0000,0.0000,6.0000,6.0000,0.4163,0.7941,0.0309,0.7631,0.3778,1295.8001,52.6388,1348.4388,1440,200,0.899861,0.263194,1.000000,0.0000,0.988141
E1_none,0,fixed_6bps,5015,6.0000,0.0000,6.0000,6.0000,0.4327,0.7871,0.0244,0.7626,0.3543,1306.5157,41.9509,1348.4666,1440,192,0.907303,0.218494,1.000000,0.0000,0.960374
E1_none,0,fixed_6bps,5016,6.0000,0.0000,6.0000,6.0000,0.3978,0.8036,0.0360,0.7676,0.4058,1290.6855,60.5911,1351.2765,1440,228,0.896309,0.265750,1.000000,0.0000,0.978609
E1_none,0,fixed_6bps,5017,6.0000,0.0000,6.0000,6.0000,0.4056,0.8148,0.0334,0.7813,0.4092,1298.4915,55.6473,1354.1388,1440,228,0.901730,0.244067,1.000000,0.0000,1.004941
E1_none,0,fixed_6bps,5018,6.0000,0.0000,6.0000,6.0000,0.4125,0.8173,0.0321,0.7852,0.4048,1290.6416,52.8670,1343.5086,1440,225,0.896279,0.234964,1.000000,0.0000,0.983510
E1_none,0,fixed_6bps,5019,6.0000,0.0000,6.0000,6.0000,0.4017,0.7745,0.0308,0.7437,0.3728,1308.6364,54.2111,1362.8475,1440,216,0.908775,0.250977,1.000000,0.0000,0.912764
E1_none,0,fixed_6bps,5020,6.0000,0.0000,6.0000,6.0000,0.3993,0.8107,0.0370,0.7736,0.4113,1281.4537,61.4237,1342.8775,1440,251,0.889898,0.244716,1.000000,0.0000,1.005615
