policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,0,2000.145261,1999.344723,-0.7263,-0.000036,0.00000000,6.0000,fund,999836.1672,500.0819,0.381718,-0.0387
fixed_6bps,1,2000.424448,1999.623798,-5.3975,-0.000270,0.00003347,6.0000,fund,999905.9450,500.0470,0.521918,-0.0059
fixed_6bps,2,2000.977090,2000.176219,-6.7632,-0.000338,0.00008473,6.0000,fund,1000044.0537,499.9780,0.562983,0.0684
fixed_6bps,3,2000.500827,1999.700146,-1.6226,-0.000081,0.00018845,6.0000,fund,999925.0337,500.0375,0.408648,0.0350
fixed_6bps,4,1999.099547,1998.299427,3.0043,0.000150,0.00034876,6.0000,fund,999574.7664,500.2127,0.269732,0.0175
fixed_6bps,5,1998.644610,1997.844672,-1.7271,-0.000086,0.00032247,6.0000,fund,999461.0228,500.2696,0.411591,-0.0151
fixed_6bps,6,1999.052090,1998.251989,-6.0400,-0.000302,0.00031847,6.0000,fund,999562.9018,500.2186,0.541014,0.0360
fixed_6bps,7,2002.164486,2001.363139,-19.5413,-0.000978,0.00061401,6.0000,arb+fund,1000340.7267,499.8297,0.946955,0.9530
fixed_6bps,8,1999.400487,1998.600247,9.8162,0.000491,0.00074987,6.0000,fund,999650.0005,500.1751,0.414436,1.1536
fixed_6bps,9,1994.324757,1993.526548,21.4383,0.001071,0.00103558,6.0000,arb+fund,998380.3253,500.8112,0.761805,2.2585
fixed_6bps,10,1998.167733,1997.367986,-23.2272,-0.001163,0.00117402,6.0000,arb+fund,999341.7799,500.3293,1.056653,3.5697
fixed_6bps,11,1998.242637,1997.442860,-4.3771,-0.000219,0.00112453,6.0000,fund,999360.5106,500.3199,0.491028,3.5776
fixed_6bps,12,1997.380249,1996.580817,0.3135,0.000016,0.00108463,6.0000,fund,999144.8387,500.4279,0.350283,3.5378
fixed_6bps,13,1996.044885,1995.245988,2.6850,0.000134,0.00105536,6.0000,fund,998810.7898,500.5953,0.279096,3.5157
