fee_bps,amm_fee,total_fee,tracking_error,hedged_pnl
1,0.000100,263.1609,411.6921,-148.5311
2,0.000200,471.6868,410.8759,60.8110
3,0.000300,627.9503,410.0546,217.8957
4,0.000400,734.6127,409.2282,325.3845
5,0.000500,795.2658,408.3968,386.8690
6,0.000600,814.7525,407.5602,407.1923
7,0.000700,797.7919,406.7186,391.0733
8,0.000800,753.5521,405.8719,347.6802
9,0.000900,685.8879,405.0201,280.8678
10,0.001000,603.7900,404.1631,199.6269
11,0.001100,592.5888,402.7489,189.8398
12,0.001200,579.1797,400.8242,178.3554
13,0.001300,562.0902,397.6447,164.4455
14,0.001400,546.5008,395.4253,151.0755
15,0.001500,530.5365,392.1428,138.3937
16,0.001600,515.9236,388.5545,127.3691
17,0.001700,502.2692,385.0302,117.2390
18,0.001800,489.2730,380.5671,108.7059
19,0.001900,476.3513,375.6846,100.6667
20,0.002000,465.4122,371.0371,94.3751
21,0.002100,455.9043,367.2864,88.6179
22,0.002200,447.9190,364.2489,83.6700
23,0.002300,439.8262,361.2470,78.5793
24,0.002400,432.1273,358.3254,73.8019
25,0.002500,424.5768,354.8376,69.7392
26,0.002600,417.0695,350.6470,66.4224
27,0.002700,411.0842,347.9516,63.1327
28,0.002800,404.6934,344.5018,60.1915
29,0.002900,397.7745,340.9130,56.8614
30,0.003000,390.7836,337.1621,53.6214
31,0.003100,384.3741,333.8580,50.5160
32,0.003200,380.0242,331.9474,48.0768
33,0.003300,377.5701,331.8172,45.7530
34,0.003400,375.9001,331.8910,44.0091
35,0.003500,373.4588,330.8897,42.5691
36,0.003600,370.6857,329.5705,41.1152
37,0.003700,367.9974,328.2395,39.7578
38,0.003800,365.5656,327.2932,38.2724
39,0.003900,362.4823,325.4838,36.9984
40,0.004000,358.7475,322.8562,35.8912
41,0.004100,354.8405,320.1403,34.7003
42,0.004200,351.4965,317.9061,33.5905
43,0.004300,347.5811,315.4482,32.1329
44,0.004400,343.8161,312.8920,30.9241
45,0.004500,340.5814,310.6078,29.9735
46,0.004600,336.8556,307.9637,28.8918
47,0.004700,332.6387,304.9175,27.7211
48,0.004800,329.0814,302.3059,26.7755
49,0.004900,325.8714,299.9379,25.9335
50,0.005000,322.5598,297.3022,25.2576
51,0.005100,320.0531,295.5417,24.5114
52,0.005200,317.7354,294.0380,23.6974
53,0.005300,315.0871,292.1222,22.9649
54,0.005400,312.1083,289.5888,22.5196
55,0.005500,308.7989,286.7800,22.0190
56,0.005600,305.1590,283.7839,21.3751
57,0.005700,301.1885,280.3576,20.8309
58,0.005800,296.8874,276.7288,20.1586
59,0.005900,292.2557,272.8148,19.4408
60,0.006000,287.3675,268.7935,18.5741
61,0.006100,283.2930,265.4406,17.8524
62,0.006200,278.9278,261.9291,16.9987
63,0.006300,274.3693,258.3722,15.9972
64,0.006400,271.3543,256.0783,15.2760
65,0.006500,268.3174,253.6546,14.6627
66,0.006600,266.1676,251.9721,14.1956
67,0.006700,263.8276,250.2315,13.5961
68,0.006800,261.2973,248.0642,13.2331
69,0.006900,258.5767,245.6290,12.9477
70,0.007000,255.6658,243.0653,12.6005
71,0.007100,252.5646,240.4547,12.1099
72,0.007200,249.2731,237.5265,11.7465
73,0.007300,245.7912,234.4147,11.3765
74,0.007400,242.1191,231.2044,10.9147
75,0.007500,238.2566,227.6583,10.5984
76,0.007600,234.2038,223.8678,10.3361
77,0.007700,229.9607,219.8109,10.1498
78,0.007800,225.5273,215.6085,9.9188
79,0.007900,220.9035,211.2737,9.6299
80,0.008000,217.1331,207.7434,9.3897
81,0.008100,213.7594,204.6261,9.1333
82,0.008200,210.2353,201.3909,8.8444
83,0.008300,206.5608,198.0614,8.4994
84,0.008400,202.7360,194.6732,8.0628
85,0.008500,198.7607,191.1803,7.5804
86,0.008600,194.6350,187.1025,7.5325
87,0.008700,190.3590,182.8931,7.4659
88,0.008800,186.9891,179.5150,7.4740
89,0.008900,184.2109,176.8041,7.4067
90,0.009000,181.3224,174.0449,7.2775
91,0.009100,178.3236,171.2278,7.0958
92,0.009200,175.9561,169.0204,6.9357
93,0.009300,174.6028,167.7957,6.8071
94,0.009400,173.1792,166.4746,6.7046
95,0.009500,171.6853,165.1340,6.5513
96,0.009600,170.1211,163.7883,6.3328
97,0.009700,168.4865,162.4020,6.0845
98,0.009800,166.7816,160.9326,5.8491
99,0.009900,165.0064,159.3865,5.6199
100,0.010000,163.1609,157.5180,5.6429
