scenario,policy,seed,hedged_pnl,fee_revenue,lvr,volume,arb_volume,fund_volume,avg_fee_bps
campbell_rl_normal,fixed_1bps,5000,-0.147083,0.262677,0.409760,2601.957300,249.131389,2352.825911,1.0000
campbell_rl_normal,fixed_1bps,5001,-0.132546,0.267608,0.400154,2591.107428,242.088940,2349.018488,1.0000
campbell_rl_normal,fixed_1bps,5002,-0.127382,0.255871,0.383253,2639.336689,244.138551,2395.198138,1.0000
campbell_rl_normal,fixed_1bps,5003,-0.151921,0.259465,0.411386,2634.424111,250.881433,2383.542677,1.0000
campbell_rl_normal,fixed_1bps,5004,-0.139435,0.260311,0.399747,2637.062026,249.708794,2387.353231,1.0000
campbell_rl_normal,fixed_1bps,5005,-0.136983,0.258540,0.395523,2627.467796,243.362046,2384.105750,1.0000
campbell_rl_normal,fixed_1bps,5006,-0.124514,0.261618,0.386133,2628.199039,236.577036,2391.622003,1.0000
campbell_rl_normal,fixed_1bps,5007,-0.124811,0.257825,0.382636,2612.178548,238.056082,2374.122466,1.0000
campbell_rl_normal,fixed_1bps,5008,-0.133163,0.263357,0.396520,2616.017703,238.405270,2377.612434,1.0000
campbell_rl_normal,fixed_1bps,5009,-0.118442,0.262671,0.381114,2590.075906,233.242718,2356.833188,1.0000
campbell_rl_normal,fixed_1bps,5010,-0.122708,0.259234,0.381942,2632.847632,239.419766,2393.427866,1.0000
campbell_rl_normal,fixed_1bps,5011,-0.143206,0.263619,0.406825,2615.010173,247.611548,2367.398625,1.0000
campbell_rl_normal,fixed_1bps,5012,-0.149303,0.262416,0.411719,2608.392911,246.525915,2361.866996,1.0000
campbell_rl_normal,fixed_1bps,5013,-0.105522,0.261103,0.366626,2612.294710,227.772731,2384.521979,1.0000
campbell_rl_normal,fixed_1bps,5014,-0.116564,0.258315,0.374879,2631.680285,236.081642,2395.598643,1.0000
campbell_rl_normal,fixed_1bps,5015,-0.088046,0.256120,0.344166,2632.247566,225.229576,2407.017990,1.0000
campbell_rl_normal,fixed_1bps,5016,-0.140508,0.259801,0.400309,2621.259027,243.853512,2377.405515,1.0000
campbell_rl_normal,fixed_1bps,5017,-0.148375,0.261864,0.410239,2611.238824,248.878813,2362.360011,1.0000
campbell_rl_normal,fixed_1bps,5018,-0.137121,0.263248,0.400368,2596.360746,241.794631,2354.566115,1.0000
campbell_rl_normal,fixed_1bps,5019,-0.098744,0.250977,0.349721,2648.945279,231.543092,2417.402187,1.0000
campbell_rl_normal,fixed_1bps,5020,-0.150206,0.262675,0.412880,2610.913002,249.301957,2361.611045,1.0000
campbell_rl_normal,fixed_1bps,5021,-0.150236,0.266788,0.417024,2571.342868,245.075808,2326.267060,1.0000
campbell_rl_normal,fixed_1bps,5022,-0.127370,0.261287,0.388657,2622.471882,239.937054,2382.534829,1.0000
campbell_rl_normal,fixed_1bps,5023,-0.153793,0.258620,0.412413,2632.415257,252.503753,2379.911504,1.0000
campbell_rl_normal,fixed_1bps,5024,-0.134946,0.260703,0.395648,2597.336213,244.466741,2352.869472,1.0000
campbell_rl_normal,fixed_1bps,5025,-0.158084,0.263580,0.421664,2642.406192,256.901093,2385.505099,1.0000
campbell_rl_normal,fixed_1bps,5026,-0.154647,0.265923,0.420570,2616.899078,249.214735,2367.684343,1.0000
campbell_rl_normal,fixed_1bps,5027,-0.126266,0.260395,0.386661,2606.542970,239.972039,2366.570931,1.0000
campbell_rl_normal,fixed_1bps,5028,-0.142912,0.265411,0.408323,2593.711636,242.956094,2350.755542,1.0000
campbell_rl_normal,fixed_1bps,5029,-0.137952,0.262711,0.400663,2610.341297,241.635789,2368.705507,1.0000
campbell_rl_normal,fixed_1bps,5030,-0.119325,0.261090,0.380415,2617.789426,239.123269,2378.666157,1.0000
campbell_rl_normal,fixed_1bps,5031,-0.095688,0.255801,0.351488,2632.498041,225.286666,2407.211375,1.0000
campbell_rl_normal,fixed_1bps,5032,-0.113328,0.264257,0.377585,2592.360964,231.657287,2360.703676,1.0000
campbell_rl_normal,fixed_1bps,5033,-0.170554,0.266508,0.437062,2616.108381,256.366835,2359.741546,1.0000
campbell_rl_normal,fixed_1bps,5034,-0.105943,0.259525,0.365468,2601.540723,230.757615,2370.783108,1.0000
campbell_rl_normal,fixed_1bps,5035,-0.110940,0.256639,0.367578,2627.575519,236.528583,2391.046935,1.0000
campbell_rl_normal,fixed_1bps,5036,-0.105615,0.259207,0.364822,2618.827505,233.118808,2385.708697,1.0000
