policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,lp_vs_hold_pct,fee_revenues,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price
fixed_6bps,5000,6.0000,0.3952,-0.0659,-0.0033,0.8088,0.4136,1335.2036,234,1440,0.983827,0.983433
fixed_6bps,5001,6.0000,0.4287,-0.6403,-0.0320,0.8158,0.3871,1316.5611,201,1440,1.051250,1.050830
fixed_6bps,5002,6.0000,0.3936,-0.3686,-0.0184,0.7863,0.3927,1351.8556,230,1440,0.961971,0.961586
fixed_6bps,5003,6.0000,0.3889,-0.0431,-0.0022,0.8039,0.4150,1360.2520,231,1440,0.986914,0.986519
fixed_6bps,5004,6.0000,0.4042,-0.0012,-0.0001,0.8050,0.4008,1359.0513,234,1440,0.997765,0.997366
fixed_6bps,5005,6.0000,0.3985,-0.3187,-0.0159,0.8035,0.4050,1361.0879,231,1440,0.964613,0.964227
fixed_6bps,5006,6.0000,0.4166,-0.0755,-0.0038,0.7986,0.3820,1337.2054,212,1440,1.017455,1.017048
fixed_6bps,5007,6.0000,0.4033,-0.8147,-0.0407,0.8005,0.3971,1351.6072,214,1440,0.943726,0.943348
fixed_6bps,5008,6.0000,0.4220,-0.0707,-0.0035,0.8140,0.3920,1347.5295,223,1440,1.016892,1.016485
fixed_6bps,5009,6.0000,0.4209,-0.0182,-0.0009,0.8040,0.3831,1321.4633,203,1440,0.991477,0.991080
fixed_6bps,5010,6.0000,0.4154,-0.0124,-0.0006,0.7990,0.3836,1352.4203,207,1440,0.992961,0.992564
fixed_6bps,5011,6.0000,0.4080,-0.0916,-0.0046,0.8100,0.4020,1339.2966,216,1440,1.019242,1.018834
fixed_6bps,5012,6.0000,0.4052,0.0000,0.0000,0.8171,0.4119,1353.7098,224,1440,1.000221,0.999821
fixed_6bps,5013,6.0000,0.4287,-0.0275,-0.0014,0.7978,0.3691,1330.1841,210,1440,0.989538,0.989142
fixed_6bps,5014,6.0000,0.4163,-0.0353,-0.0018,0.7941,0.3778,1348.4388,200,1440,0.988141,0.987746
fixed_6bps,5015,6.0000,0.4327,-0.4005,-0.0200,0.7871,0.3543,1348.4666,192,1440,0.960374,0.959990
fixed_6bps,5016,6.0000,0.3978,-0.1156,-0.0058,0.8036,0.4058,1351.2765,228,1440,0.978609,0.978217
fixed_6bps,5017,6.0000,0.4056,-0.0060,-0.0003,0.8148,0.4092,1354.1388,228,1440,1.004941,1.004539
fixed_6bps,5018,6.0000,0.4125,-0.0685,-0.0034,0.8173,0.4048,1343.5086,225,1440,0.983510,0.983117
fixed_6bps,5019,6.0000,0.4017,-1.9903,-0.0995,0.7745,0.3728,1362.8475,216,1440,0.912764,0.912399
fixed_6bps,5020,6.0000,0.3993,-0.0078,-0.0004,0.8107,0.4113,1342.8775,251,1440,1.005615,1.005213
