gap_bucket,vol_bucket,flow_bucket,action_fee_bps,value_estimate,visit_count
0,0,0,1,0.734330,125
0,0,0,3,0.925498,283
0,0,0,6,0.966286,130
0,0,0,10,0.383573,162
0,0,0,20,0.883530,61
0,0,0,30,0.983289,116
0,0,0,50,0.727472,99
0,0,0,100,0.891153,252
0,0,2,1,0.291242,2746
0,0,2,3,0.072029,2907
0,0,2,6,0.494249,2848
0,0,2,10,0.370262,2886
0,0,2,20,0.304450,2480
0,0,2,30,0.390840,2702
0,0,2,50,0.441643,2102
0,0,2,100,0.443482,2526
0,0,3,1,-0.167765,85
0,0,3,3,0.594825,101
0,0,3,6,-0.221639,72
0,0,3,10,-0.585178,77
0,0,3,20,-0.215857,143
0,0,3,30,-0.158924,36
0,0,3,50,-0.134324,133
0,0,3,100,0.014589,143
0,1,0,1,-0.679561,167
0,1,0,3,-0.753748,278
0,1,0,6,-0.713087,257
0,1,0,10,-0.652826,377
0,1,0,20,-1.314654,344
0,1,0,30,-0.897349,190
0,1,0,50,-0.094832,202
0,1,0,100,-0.768877,136
0,1,2,1,0.339932,104774
0,1,2,3,-0.205043,119300
0,1,2,6,-0.199860,118455
0,1,2,10,0.399367,88211
0,1,2,20,0.126433,77016
0,1,2,30,-0.208939,77850
0,1,2,50,0.381611,72534
0,1,2,100,0.123841,83775
0,1,3,1,-0.684230,6273
0,1,3,3,-0.665931,7508
0,1,3,6,-0.642442,6216
0,1,3,10,-0.006971,6923
0,1,3,20,-0.198180,6804
0,1,3,30,-0.844199,6126
0,1,3,50,-1.087199,7205
0,1,3,100,-0.812960,6071
0,2,0,1,0.000000,0
0,2,0,3,0.000000,0
0,2,0,6,0.245974,1
0,2,0,10,0.000000,0
0,2,0,20,0.000000,0
0,2,0,30,0.000000,0
0,2,0,50,0.000000,0
0,2,0,100,0.000000,0
0,2,2,1,0.767129,12
0,2,2,3,1.088458,18
0,2,2,6,1.068973,16
0,2,2,10,2.237968,228
0,2,2,20,0.741618,12
0,2,2,30,0.574384,13
0,2,2,50,0.738136,9
0,2,2,100,0.734264,11
0,2,3,1,1.135402,86
0,2,3,3,0.159622,5
0,2,3,6,0.110892,6
0,2,3,10,-0.096584,6
0,2,3,20,0.047704,4
0,2,3,30,0.354102,10
0,2,3,50,0.056491,2
0,2,3,100,0.059481,9
1,0,0,1,0.991380,147
1,0,0,3,0.919442,85
1,0,0,6,0.595063,311
1,0,0,10,0.795242,294
1,0,0,20,1.000029,293
1,0,0,30,1.053853,196
1,0,0,50,1.037298,342
1,0,0,100,0.640046,126
1,0,2,1,0.022790,3665
1,0,2,3,-0.119072,3843
1,0,2,6,0.321612,3776
1,0,2,10,0.305860,3792
1,0,2,20,0.190438,3746
1,0,2,30,0.244589,3478
1,0,2,50,0.337848,4268
1,0,2,100,0.332286,3893
1,0,3,1,-0.114856,119
1,0,3,3,-0.005730,323
1,0,3,6,-0.520339,171
1,0,3,10,-0.058950,86
1,0,3,20,-0.258213,125
1,0,3,30,0.889013,157
1,0,3,50,-0.219730,97
1,0,3,100,-0.323159,70
1,1,0,1,-1.327685,264
1,1,0,3,-0.834138,310
1,1,0,6,-0.009255,836
1,1,0,10,-0.710930,320
1,1,0,20,-0.813858,217
1,1,0,30,-1.373980,252
1,1,0,50,-1.080436,253
1,1,0,100,-0.644210,455
1,1,2,1,-0.040178,149955
1,1,2,3,0.489107,156658
1,1,2,6,0.427947,175377
1,1,2,10,-0.175661,133266
1,1,2,20,-0.205410,114346
1,1,2,30,0.123839,126709
1,1,2,50,0.402560,115379
1,1,2,100,0.331641,107698
1,1,3,1,-0.545568,9103
1,1,3,3,-0.173103,8833
1,1,3,6,-0.563076,10317
1,1,3,10,-0.312869,10406
1,1,3,20,-0.544636,9739
1,1,3,30,-0.560527,10617
1,1,3,50,-0.252231,9243
1,1,3,100,-0.618714,9586
1,2,0,1,0.000000,0
1,2,0,3,0.000000,0
1,2,0,6,0.144121,2
1,2,0,10,0.000000,0
1,2,0,20,0.000000,0
1,2,0,30,0.000000,0
1,2,0,50,0.000000,0
1,2,0,100,0.000000,0
1,2,2,1,1.254291,18
1,2,2,3,1.194417,166
1,2,2,6,0.927243,18
1,2,2,10,1.122227,20
1,2,2,20,2.519783,208
1,2,2,30,0.854424,19
1,2,2,50,0.812321,13
1,2,2,100,0.848476,19
1,2,3,1,1.109350,54
1,2,3,3,0.032532,12
1,2,3,6,0.461962,52
1,2,3,10,0.102601,16
1,2,3,20,0.280628,8
1,2,3,30,0.361672,17
1,2,3,50,0.279224,29
1,2,3,100,0.141930,7
2,0,0,1,0.706419,543
2,0,0,3,0.613698,326
2,0,0,6,0.508083,129
2,0,0,10,0.623654,294
2,0,0,20,0.645751,526
2,0,0,30,0.299834,216
2,0,0,50,0.261611,220
2,0,0,100,0.483848,281
2,0,2,1,0.361543,5459
2,0,2,3,0.379938,5750
2,0,2,6,0.404192,5620
2,0,2,10,0.381689,6352
2,0,2,20,0.261095,5516
2,0,2,30,0.421906,5649
2,0,2,50,-0.185033,5504
2,0,2,100,0.021235,5033
2,0,3,1,0.413547,379
2,0,3,3,-0.065562,172
2,0,3,6,-0.161159,200
