gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
0,0,0,0,1,3,0.040594,554
0,0,0,0,1,6,0.020974,62
0,0,0,0,1,10,0.011304,40
0,0,0,0,1,20,0.004579,51
0,0,0,0,1,30,0.008345,40
0,0,0,0,2,3,0.000000,0
0,0,0,0,2,6,0.000025,1
0,0,0,0,2,10,0.000000,0
0,0,0,0,2,20,0.000000,0
0,0,0,0,2,30,0.000000,0
0,0,0,0,3,3,0.001792,2
0,0,0,0,3,6,0.012359,20
0,0,0,0,3,10,0.000605,4
0,0,0,0,3,20,0.000001,2
0,0,0,0,3,30,0.000463,3
0,0,0,0,4,3,0.019827,27
0,0,0,0,4,6,0.000000,0
0,0,0,0,4,10,0.001412,4
0,0,0,0,4,20,0.000108,4
0,0,0,0,4,30,0.000468,2
0,0,2,0,0,3,0.040795,350
0,0,2,0,0,6,0.019465,26
0,0,2,0,0,10,0.011444,25
0,0,2,0,0,20,0.011504,21
0,0,2,0,0,30,0.006268,35
0,0,2,0,1,3,0.004047,6
0,0,2,0,1,6,0.029067,47
0,0,2,0,1,10,0.001136,5
0,0,2,0,1,20,0.001941,15
0,0,2,0,1,30,0.001217,10
0,0,2,0,2,3,0.031172,48
0,0,2,0,2,6,0.006391,12
0,0,2,0,2,10,0.001107,10
0,0,2,0,2,20,0.003256,13
0,0,2,0,2,30,0.001664,16
0,0,2,0,3,3,0.027064,38
0,0,2,0,3,6,0.005477,18
0,0,2,0,3,10,0.003027,4
0,0,2,0,3,20,0.000625,3
0,0,2,0,3,30,0.000118,3
0,0,2,0,4,3,0.003869,4
0,0,2,0,4,6,0.013777,27
0,0,2,0,4,10,0.000010,1
0,0,2,0,4,20,0.001683,8
0,0,2,0,4,30,0.001427,7
0,0,2,1,0,3,0.029685,52
0,0,2,1,0,6,0.040896,569
0,0,2,1,0,10,0.026955,59
0,0,2,1,0,20,0.030743,51
0,0,2,1,0,30,0.024159,51
0,0,2,1,1,3,0.023343,31
0,0,2,1,1,6,0.040900,269
0,0,2,1,1,10,0.018353,49
0,0,2,1,1,20,0.018628,59
0,0,2,1,1,30,0.015544,35
0,0,2,1,2,3,0.038587,112
0,0,2,1,2,6,0.012257,42
0,0,2,1,2,10,0.011675,40
0,0,2,1,2,20,0.011394,35
0,0,2,1,2,30,0.012659,38
0,0,2,1,3,3,0.040784,166
0,0,2,1,3,6,0.021168,53
0,0,2,1,3,10,0.011378,38
0,0,2,1,3,20,0.017120,39
0,0,2,1,3,30,0.014643,41
0,0,2,1,4,3,0.040242,119
0,0,2,1,4,6,0.016332,30
0,0,2,1,4,10,0.010535,37
0,0,2,1,4,20,0.010346,22
0,0,2,1,4,30,0.021201,46
0,0,2,2,0,3,0.041223,5594
0,0,2,2,0,6,0.041100,467
0,0,2,2,0,10,0.040815,371
0,0,2,2,0,20,0.040762,412
0,0,2,2,0,30,0.040746,417
0,0,2,2,1,3,0.041217,7189
0,0,2,2,1,6,0.041124,549
0,0,2,2,1,10,0.040803,389
0,0,2,2,1,20,0.040775,421
0,0,2,2,1,30,0.040765,426
0,0,2,2,2,3,0.041217,1745
0,0,2,2,2,6,0.040958,171
0,0,2,2,2,10,0.040496,185
0,0,2,2,2,20,0.040528,169
0,0,2,2,2,30,0.040590,190
0,0,2,2,3,3,0.041182,904
0,0,2,2,3,6,0.040098,115
0,0,2,2,3,10,0.039506,129
0,0,2,2,3,20,0.039977,126
0,0,2,2,3,30,0.039843,117
0,0,2,2,4,3,0.041195,671
0,0,2,2,4,6,0.040214,117
0,0,2,2,4,10,0.038330,96
0,0,2,2,4,20,0.038840,110
0,0,2,2,4,30,0.038213,95
0,0,3,0,0,3,0.030971,65
0,0,3,0,0,6,0.000612,3
0,0,3,0,0,10,0.000321,3
0,0,3,0,0,20,0.000071,3
