scenario,policy,seed,delta_hedged_pnl,delta_fee_revenue,delta_lvr,delta_volume,delta_normal_hedged_pnl,delta_toxic_hedged_pnl
campbell_rl_normal,fixed_6bps,5000,-0.0160,-0.0177,-0.0017,183.2166,-0.0160,0.0000
campbell_rl_normal,fixed_6bps,5001,-0.0135,-0.0114,0.0021,181.7034,-0.0135,0.0000
campbell_rl_normal,fixed_6bps,5002,-0.0139,-0.0158,-0.0019,184.1871,-0.0139,0.0000
campbell_rl_normal,fixed_6bps,5003,-0.0179,-0.0167,0.0012,188.1582,-0.0179,0.0000
campbell_rl_normal,fixed_6bps,5004,-0.0143,-0.0171,-0.0028,184.9343,-0.0143,0.0000
campbell_rl_normal,fixed_6bps,5005,-0.0159,-0.0176,-0.0017,184.4498,-0.0159,0.0000
campbell_rl_normal,fixed_6bps,5006,-0.0118,-0.0130,-0.0012,182.1948,-0.0118,0.0000
campbell_rl_normal,fixed_6bps,5007,-0.0158,-0.0168,-0.0010,182.1958,-0.0158,0.0000
campbell_rl_normal,fixed_6bps,5008,-0.0151,-0.0123,0.0028,185.9254,-0.0151,0.0000
campbell_rl_normal,fixed_6bps,5009,-0.0130,-0.0125,0.0005,180.1845,-0.0130,0.0000
campbell_rl_normal,fixed_6bps,5010,-0.0124,-0.0129,-0.0005,185.6701,-0.0124,0.0000
campbell_rl_normal,fixed_6bps,5011,-0.0171,-0.0142,0.0029,184.7501,-0.0171,0.0000
campbell_rl_normal,fixed_6bps,5012,-0.0170,-0.0169,0.0001,185.8775,-0.0170,0.0000
campbell_rl_normal,fixed_6bps,5013,-0.0107,-0.0132,-0.0025,177.7684,-0.0107,0.0000
campbell_rl_normal,fixed_6bps,5014,-0.0124,-0.0120,0.0004,184.7639,-0.0124,0.0000
campbell_rl_normal,fixed_6bps,5015,-0.0095,-0.0110,-0.0016,181.0113,-0.0095,0.0000
campbell_rl_normal,fixed_6bps,5016,-0.0171,-0.0181,-0.0010,182.6086,-0.0171,0.0000
campbell_rl_normal,fixed_6bps,5017,-0.0159,-0.0173,-0.0014,184.9646,-0.0159,0.0000
campbell_rl_normal,fixed_6bps,5018,-0.0151,-0.0163,-0.0012,183.6152,-0.0151,0.0000
campbell_rl_normal,fixed_6bps,5019,-0.0120,-0.0171,-0.0051,179.6155,-0.0120,0.0000
campbell_rl_normal,fixed_6bps,5020,-0.0168,-0.0171,-0.0003,184.0822,-0.0168,0.0000
campbell_rl_normal,fixed_6bps,5021,-0.0163,-0.0143,0.0020,184.0790,-0.0163,0.0000
campbell_rl_normal,fixed_6bps,5022,-0.0130,-0.0134,-0.0004,184.5897,-0.0130,0.0000
campbell_rl_normal,fixed_6bps,5023,-0.0169,-0.0201,-0.0032,186.2012,-0.0169,0.0000
campbell_rl_normal,fixed_6bps,5024,-0.0146,-0.0180,-0.0034,180.2596,-0.0146,0.0000
campbell_rl_normal,fixed_6bps,5025,-0.0166,-0.0155,0.0011,190.1571,-0.0166,0.0000
