episode,seed,episode_reward,avg_fee_bps,epsilon
0,0,0.3644,27.0493,1.000000
1,1,0.2062,26.9986,0.999400
2,2,0.3661,28.2118,0.998800
3,3,0.3002,27.4986,0.998201
4,4,-0.0388,27.8035,0.997602
5,5,0.3185,26.8653,0.997004
6,6,0.3523,27.2924,0.996405
7,7,0.3444,26.5660,0.995808
8,8,0.2579,27.1201,0.995210
9,9,0.4260,29.6507,0.994613
10,10,0.0846,27.9465,0.994016
11,11,0.5340,26.8514,0.993420
12,12,0.4973,27.4007,0.992824
13,13,0.3130,27.8903,0.992228
14,14,0.0233,27.3618,0.991633
15,15,0.3600,27.8451,0.991038
16,16,0.2553,27.9826,0.990443
17,17,0.3349,27.7236,0.989849
18,18,0.3791,27.5569,0.989255
19,19,0.3327,26.8944,0.988661
20,20,0.4562,26.8090,0.988068
21,21,0.4092,25.4819,0.987475
22,22,0.5536,28.3410,0.986883
23,23,0.3432,27.8264,0.986291
24,24,0.2627,27.7007,0.985699
25,25,0.4069,26.4062,0.985108
26,26,0.5206,25.5903,0.984516
27,27,0.1419,26.1208,0.983926
28,28,0.2792,28.2396,0.983335
29,29,0.4503,27.2188,0.982745
30,30,0.3737,26.5278,0.982156
31,31,0.4056,28.1660,0.981566
32,32,0.4473,26.3389,0.980977
33,33,0.2509,27.9632,0.980389
34,34,0.5603,27.4090,0.979801
35,35,0.4261,26.8604,0.979213
36,36,0.3762,27.5854,0.978625
37,37,0.1080,27.8514,0.978038
38,38,0.4530,26.5083,0.977451
39,39,0.2050,28.1611,0.976865
40,40,0.4958,26.6951,0.976279
41,41,0.4271,27.0694,0.975693
42,42,0.0448,28.1757,0.975107
43,43,0.3749,27.7118,0.974522
44,44,0.1028,27.5083,0.973938
45,45,0.1225,28.1674,0.973353
46,46,0.2222,27.0882,0.972769
47,47,0.0527,29.1090,0.972186
48,48,0.3210,27.0222,0.971602
49,49,0.3577,27.0667,0.971019
50,50,0.3410,28.0382,0.970437
51,51,-0.0657,26.9639,0.969855
52,52,0.0158,26.4354,0.969273
53,53,0.2945,26.4833,0.968691
54,54,0.3346,26.1264,0.968110
55,55,0.3590,27.3014,0.967529
56,56,0.1815,28.1354,0.966948
57,57,0.3594,26.7035,0.966368
58,58,0.2863,28.4764,0.965788
59,59,0.3333,28.3785,0.965209
60,60,0.4351,26.8431,0.964630
61,61,0.3376,27.1042,0.964051
62,62,0.1022,28.8375,0.963473
63,63,0.4984,26.7611,0.962895
64,64,0.2708,27.5111,0.962317
65,65,0.3658,27.8250,0.961739
66,66,0.0420,28.1438,0.961162
67,67,0.1380,28.2715,0.960586
68,68,0.4208,27.4417,0.960009
69,69,0.1313,26.7194,0.959433
70,70,0.3125,24.8687,0.958858
71,71,0.3079,26.3646,0.958282
72,72,0.4784,27.0153,0.957707
73,73,0.6446,26.5958,0.957133
74,74,0.2780,27.7764,0.956559
75,75,0.2477,28.2861,0.955985
76,76,0.5401,26.9632,0.955411
77,77,0.4931,27.7208,0.954838
78,78,0.3250,29.1646,0.954265
79,79,0.5422,27.3583,0.953692
80,80,0.3550,26.8229,0.953120
81,81,0.0761,28.2167,0.952548
82,82,0.4081,26.3722,0.951977
83,83,0.2582,29.2549,0.951405
84,84,0.3068,26.6486,0.950835
85,85,0.3540,26.2451,0.950264
86,86,0.3449,28.3507,0.949694
87,87,0.4390,27.7868,0.949124
88,88,0.4434,27.2403,0.948555
89,89,-0.2245,27.7882,0.947986
90,90,0.5342,26.1562,0.947417
91,91,0.5372,25.9208,0.946848
92,92,0.6210,26.7243,0.946280
93,93,0.5034,27.5576,0.945712
94,94,0.5230,26.4958,0.945145
95,95,0.3509,26.2854,0.944578
96,96,0.1209,26.2806,0.944011
97,97,0.0164,28.6285,0.943445
98,98,0.3921,27.2549,0.942879
99,99,0.3460,25.0167,0.942313
100,100,0.3610,27.5993,0.941748
101,101,0.3634,29.8833,0.941183
102,102,0.4199,28.2604,0.940618
103,103,0.2810,29.6486,0.940053
104,104,0.3748,28.7271,0.939489
105,105,0.3158,25.6632,0.938926
106,106,-0.1392,28.4917,0.938362
107,107,0.0522,28.7160,0.937799
108,108,0.0491,28.3958,0.937237
109,109,0.2174,29.2299,0.936674
110,110,0.3147,27.7299,0.936112
111,111,0.5623,27.6139,0.935551
112,112,0.5289,28.2701,0.934989
113,113,0.2975,26.4160,0.934428
114,114,0.2115,27.8764,0.933868
115,115,0.4409,26.8806,0.933307
116,116,0.3829,26.5674,0.932747
117,117,0.3742,26.7243,0.932188
118,118,0.0741,28.1479,0.931628
119,119,0.0826,28.1597,0.931069
120,120,0.2311,27.8194,0.930511
121,121,0.3771,27.0486,0.929952
122,122,0.2850,26.4993,0.929395
123,123,0.1955,28.4181,0.928837
124,124,0.2267,25.8681,0.928280
125,125,0.2188,24.5556,0.927723
126,126,0.4973,26.4556,0.927166
127,127,-0.0153,29.6660,0.926610
128,128,-0.0033,25.4458,0.926054
129,129,0.3446,27.0139,0.925498
130,130,0.6304,27.1556,0.924943
131,131,0.4547,27.9799,0.924388
132,132,0.3574,26.9139,0.923833
133,133,0.3496,28.4618,0.923279
134,134,0.2911,28.3146,0.922725
135,135,0.4519,26.6694,0.922171
136,136,0.4674,26.1250,0.921618
137,137,0.4914,25.6250,0.921065
138,138,0.7182,25.3403,0.920512
139,139,0.1137,27.4278,0.919960
140,140,0.4236,28.9090,0.919408
141,141,0.4758,26.3993,0.918856
142,142,0.3857,27.9528,0.918305
143,143,0.2193,25.5764,0.917754
144,144,0.4716,29.3847,0.917203
145,145,0.4662,29.0799,0.916653
146,146,0.1798,29.3250,0.916103
147,147,0.3535,26.2771,0.915554
148,148,0.1906,25.8583,0.915004
149,149,0.3964,29.1118,0.914455
150,150,0.4603,28.3687,0.913906
151,151,0.3612,29.8569,0.913358
152,152,0.3332,26.4354,0.912810
153,153,0.3952,30.1965,0.912262
154,154,0.3699,29.0444,0.911715
155,155,0.1633,27.2667,0.911168
156,156,0.2662,29.1042,0.910621
157,157,0.5975,26.5764,0.910075
158,158,0.4274,27.5979,0.909529
159,159,0.6237,26.9681,0.908983
160,160,0.5320,27.2778,0.908438
161,161,0.3203,26.6486,0.907893
162,162,0.1935,26.6215,0.907348
163,163,0.4985,26.8438,0.906804
164,164,0.1711,28.0736,0.906260
165,165,0.4800,27.6944,0.905716
166,166,0.6487,27.2153,0.905172
167,167,0.5533,25.8062,0.904629
168,168,0.1104,26.3813,0.904086
169,169,0.1949,29.3764,0.903544
170,170,0.0312,27.7201,0.903002
171,171,0.5881,29.3889,0.902460
172,172,0.3151,28.8111,0.901919
173,173,0.3454,28.2292,0.901377
174,174,0.2738,26.4764,0.900837
175,175,0.4368,28.3785,0.900296
176,176,-0.0708,28.2993,0.899756
177,177,0.5281,26.8410,0.899216
178,178,0.4734,28.2861,0.898677
179,179,0.4080,27.2625,0.898137
180,180,0.0692,29.0215,0.897599
181,181,0.0962,25.8715,0.897060
182,182,0.1267,26.6187,0.896522
183,183,0.2103,27.9875,0.895984
184,184,0.3170,27.7931,0.895446
185,185,-0.0265,28.0861,0.894909
186,186,0.7173,24.9021,0.894372
187,187,0.2213,27.6938,0.893835
188,188,-0.0035,26.4736,0.893299
189,189,0.3882,26.2618,0.892763
190,190,0.3188,26.3229,0.892227
191,191,0.2936,27.7201,0.891692
192,192,0.1272,27.7333,0.891157
193,193,0.1078,28.5139,0.890622
194,194,0.5781,27.6201,0.890088
195,195,0.4732,27.1479,0.889554
196,196,0.5369,27.1139,0.889020
197,197,0.2386,29.0875,0.888487
198,198,0.6178,26.4535,0.887954
199,199,0.0954,27.4438,0.887421
200,200,0.1310,25.6701,0.886888
201,201,0.2780,29.0979,0.886356
202,202,0.5676,26.5097,0.885825
203,203,0.2291,27.5090,0.885293
204,204,0.1886,25.5083,0.884762
205,205,0.7378,26.9993,0.884231
206,206,0.8864,25.5681,0.883700
207,207,0.8298,25.1639,0.883170
208,208,0.4860,27.1910,0.882640
209,209,0.0258,26.1215,0.882111
210,210,0.4646,28.6736,0.881582
211,211,0.4507,28.4229,0.881053
212,212,0.3604,29.4715,0.880524
213,213,0.4420,24.5069,0.879996
214,214,0.2959,25.9271,0.879468
215,215,0.5333,29.1819,0.878940
216,216,0.5057,26.8604,0.878413
217,217,0.3699,28.9493,0.877886
218,218,0.4844,26.2201,0.877359
219,219,0.5293,25.3201,0.876832
220,220,0.4241,25.8368,0.876306
221,221,0.4033,26.8597,0.875780
222,222,0.0849,27.2125,0.875255
223,223,0.3831,28.9632,0.874730
224,224,0.1360,27.3799,0.874205
225,225,0.1707,30.1743,0.873681
226,226,0.0890,31.3417,0.873156
227,227,0.3729,26.3403,0.872632
228,228,0.1756,27.1271,0.872109
229,229,0.3435,26.9479,0.871586
230,230,0.6937,24.9958,0.871063
231,231,0.4435,26.2458,0.870540
232,232,0.7335,24.8062,0.870018
233,233,0.5279,25.2069,0.869496
234,234,0.7315,28.6868,0.868974
235,235,0.3968,29.0444,0.868453
236,236,0.4021,27.4146,0.867931
237,237,0.1213,25.4326,0.867411
238,238,0.3718,32.3354,0.866890
239,239,0.4294,29.7812,0.866370
