episode,seed,episode_reward,avg_fee_bps,epsilon
0,0,0.1349,14.1757,1.0000
1,1,0.1293,13.8569,0.9994
2,2,0.1500,13.9639,0.9989
3,3,0.1457,13.9632,0.9983
4,4,0.1445,13.6104,0.9977
5,5,0.1596,13.7688,0.9972
6,6,0.1528,13.4826,0.9966
7,7,0.1480,14.0465,0.9960
8,8,0.1589,13.2007,0.9954
9,9,0.1534,13.7431,0.9949
10,10,0.1289,14.1694,0.9943
11,11,0.1597,13.7194,0.9937
12,12,0.1733,13.3903,0.9932
13,13,0.1648,13.6889,0.9926
14,14,0.1667,13.2903,0.9921
15,15,0.1434,13.8313,0.9915
16,16,0.1545,13.3556,0.9909
17,17,0.1513,13.7785,0.9904
18,18,0.1769,13.5069,0.9898
19,19,0.1598,13.6139,0.9892
20,20,0.1329,14.1514,0.9887
21,21,0.1479,13.7917,0.9881
22,22,0.1727,13.6285,0.9875
23,23,0.1546,13.7292,0.9870
24,24,0.1545,13.3826,0.9864
25,25,0.1341,13.4292,0.9859
26,26,0.1497,13.6604,0.9853
27,27,0.1543,13.8639,0.9847
28,28,0.1628,13.3132,0.9842
29,29,0.1590,13.6944,0.9836
30,30,0.1520,13.7993,0.9830
31,31,0.1715,13.4014,0.9825
32,32,0.1410,13.9049,0.9819
33,33,0.1506,13.9965,0.9814
34,34,0.1607,13.8688,0.9808
35,35,0.1475,13.6937,0.9803
36,36,0.1480,13.4681,0.9797
37,37,0.1497,13.8049,0.9791
38,38,0.1609,13.9069,0.9786
39,39,0.1514,13.7604,0.9780
40,40,0.1669,13.9569,0.9775
41,41,0.1857,13.3708,0.9769
42,42,0.1518,14.0132,0.9764
43,43,0.1568,13.7236,0.9758
44,44,0.1361,13.6250,0.9752
45,45,0.1469,13.5083,0.9747
46,46,0.1496,13.4410,0.9741
47,47,0.1665,13.4681,0.9736
48,48,0.1536,13.9208,0.9730
49,49,0.1702,13.3854,0.9725
50,50,0.1632,13.4542,0.9719
51,51,0.1507,13.7049,0.9714
52,52,0.1416,13.5229,0.9708
53,53,0.1393,13.4090,0.9703
54,54,0.1574,13.8806,0.9697
55,55,0.1479,13.3771,0.9692
56,56,0.1516,13.8688,0.9686
57,57,0.1558,13.6389,0.9680
58,58,0.1356,14.1771,0.9675
59,59,0.1477,13.9694,0.9669
60,60,0.1623,13.4993,0.9664
61,61,0.1632,13.0382,0.9658
62,62,0.1677,13.7000,0.9653
63,63,0.1720,12.9854,0.9647
64,64,0.1330,13.7806,0.9642
65,65,0.1523,13.6222,0.9637
66,66,0.1560,13.3375,0.9631
67,67,0.1449,13.4868,0.9626
68,68,0.1760,13.3132,0.9620
69,69,0.1629,13.6674,0.9615
70,70,0.1539,13.2736,0.9609
71,71,0.1548,13.6493,0.9604
72,72,0.1533,13.1813,0.9598
73,73,0.1662,13.3007,0.9593
74,74,0.1643,14.0743,0.9587
75,75,0.1592,13.3646,0.9582
76,76,0.1722,13.1438,0.9576
77,77,0.1748,13.2694,0.9571
78,78,0.1560,13.7743,0.9566
79,79,0.1787,13.0486,0.9560
