step,cex_price,amm_price,arb_delta,buy_delta,sell_delta,step_fee,pool_value,hedging_portfolio
0,2000.145261,2000.000000,0.000000,0.000000,0.000000,0.000000,2000072.6305,2000072.6305
1,2000.424448,2000.000000,0.000000,0.000000,0.000000,0.000000,2000212.2239,2000212.2239
2,2000.977090,2000.000000,0.000000,0.000000,0.000000,0.000000,2000488.5450,2000488.5450
3,2000.500827,2000.000000,0.000000,0.000000,0.000000,0.000000,2000250.4135,2000250.4135
4,1999.099547,2000.000000,0.000000,0.000000,0.000000,0.000000,1999549.7735,1999549.7735
5,1998.644610,2000.000000,0.000000,0.000000,0.000000,0.000000,1999322.3051,1999322.3051
6,1999.052090,2000.000000,0.000000,0.000000,0.000000,0.000000,1999526.0450,1999526.0450
7,2002.164486,2000.000000,0.000000,0.000000,0.000000,0.000000,2001082.2428,2001082.2428
8,1999.400487,2000.000000,0.000000,0.000000,0.000000,0.000000,1999700.2436,1999700.2436
9,1994.324757,1998.325408,0.000000,0.000000,-0.209456,1.256207,1997161.3650,1997162.3783
10,1998.167733,1998.325408,0.000000,0.000000,0.000000,0.000000,1999083.6582,1999084.6715
11,1998.242637,1998.325408,0.000000,0.000000,0.000000,0.000000,1999121.1258,1999122.1391
12,1997.380249,1998.325408,0.000000,0.000000,0.000000,0.000000,1998689.7512,1998690.7645
13,1996.044885,1998.325408,0.000000,0.000000,0.000000,0.000000,1998021.7895,1998022.8028
14,1996.080144,1998.325408,0.000000,0.000000,0.000000,0.000000,1998039.4265,1998040.4398
15,1994.389607,1998.325408,0.000000,0.000000,0.000000,0.000000,1997193.8039,1997194.8172
16,1992.300787,1996.297378,0.000000,0.000000,-0.254016,1.522046,1996147.6834,1996149.9694
17,1992.346945,1996.297378,0.000000,0.000000,0.000000,0.000000,1996170.7840,1996173.0700
18,1990.868062,1994.861779,0.000000,0.000000,-0.180047,1.077891,1995429.8085,1995432.9428
19,1992.349487,1994.861779,0.000000,0.000000,0.000000,0.000000,1996171.4748,1996174.6091
20,1993.951812,1994.861779,0.000000,0.000000,0.000000,0.000000,1996973.6684,1996976.8027
21,1993.930000,1994.861779,0.000000,0.000000,0.000000,0.000000,1996962.7484,1996965.8826
22,1993.955868,1994.861779,0.000000,0.000000,0.000000,0.000000,1996975.6990,1996978.8333
23,1989.645687,1993.636952,0.000000,0.000000,-0.153766,0.919943,1994817.1269,1994820.9691
24,1988.466079,1992.454978,0.000000,0.000000,-0.148521,0.888026,1994225.7020,1994230.2244
25,1988.053912,1992.041984,0.000000,0.000000,-0.051926,0.310347,1994019.0111,1994023.7512
26,1989.197766,1992.041984,0.000000,0.000000,0.000000,0.000000,1994592.0792,1994596.8194
27,1987.871857,1991.859564,0.000000,0.000000,-0.022941,0.137091,1993927.7083,1993932.5420
28,1987.623173,1991.610381,0.000000,0.000000,-0.031342,0.187274,1993802.9838,1993807.9464
29,1988.234391,1991.610381,0.000000,0.000000,0.000000,0.000000,1994109.2354,1994114.1980
30,1987.973853,1991.610381,0.000000,0.000000,0.000000,0.000000,1993978.6925,1993983.6551
31,1989.092850,1991.610381,0.000000,0.000000,0.000000,0.000000,1994539.3682,1994544.3308
32,1991.321671,1991.610381,0.000000,0.000000,0.000000,0.000000,1995656.1235,1995661.0861
33,1995.561727,1991.610381,0.000000,0.000000,0.000000,0.000000,1997780.6118,1997785.5744
34,1996.152680,1992.172315,0.000000,0.070671,0.000000,0.422307,1998076.4088,1998081.6726
35,1993.619957,1992.172315,0.000000,0.000000,0.000000,0.000000,1996807.5621,1996812.8258
36,1993.997329,1992.172315,0.000000,0.000000,0.000000,0.000000,1996996.6186,1997001.8823
37,1993.544128,1992.172315,0.000000,0.000000,0.000000,0.000000,1996769.5731,1996774.8368
38,1990.431882,1992.172315,0.000000,0.000000,0.000000,0.000000,1995210.3960,1995215.6598
39,1989.872747,1992.172315,0.000000,0.000000,0.000000,0.000000,1994930.2798,1994935.5435
40,1992.244786,1992.172315,0.000000,0.000000,0.000000,0.000000,1996118.6269,1996123.8906
41,1993.431748,1992.172315,0.000000,0.000000,0.000000,0.000000,1996713.2727,1996718.5364
42,1993.153027,1992.172315,0.000000,0.000000,0.000000,0.000000,1996573.6390,1996578.9027
43,1989.432217,1992.172315,0.000000,0.000000,0.000000,0.000000,1994709.5825,1994714.8462
44,1986.337815,1990.322444,0.000000,0.000000,-0.232760,1.390449,1993158.2021,1993164.6085
45,1985.474554,1989.457452,0.000000,0.000000,-0.108949,0.650391,1992725.0424,1992731.9299
46,1985.420927,1989.403717,0.000000,0.000000,-0.006770,0.040408,1992698.1307,1992705.0453
47,1987.115108,1989.403717,0.000000,0.000000,0.000000,0.000000,1993547.4741,1993554.3887
