policy,seed,shortfall_bps,completion_rate
twap,90000,122.3133,1.0000
lookahead,90000,121.3227,1.0000
two_step,90000,132.4773,1.0000
three_step,90000,121.7918,1.0000
q_learner,90000,119.0308,1.0000
q_learner_fine,90000,115.0129,1.0000
clairvoyant,90000,106.7134,1.0000
twap,90001,116.3612,1.0000
lookahead,90001,127.9903,1.0000
two_step,90001,158.5547,1.0000
three_step,90001,135.5131,1.0000
q_learner,90001,108.7725,1.0000
q_learner_fine,90001,105.7344,1.0000
clairvoyant,90001,105.1027,1.0000
twap,90002,121.3247,1.0000
lookahead,90002,126.4684,1.0000
two_step,90002,151.6844,1.0000
three_step,90002,138.8972,1.0000
q_learner,90002,114.9269,1.0000
q_learner_fine,90002,107.1614,1.0000
clairvoyant,90002,102.4957,1.0000
twap,90003,112.9871,1.0000
lookahead,90003,128.5477,1.0000
two_step,90003,140.1986,1.0000
three_step,90003,112.1504,1.0000
q_learner,90003,112.4878,1.0000
q_learner_fine,90003,105.0626,1.0000
clairvoyant,90003,83.5266,1.0000
twap,90004,113.4110,1.0000
lookahead,90004,137.1189,1.0000
two_step,90004,131.7652,1.0000
three_step,90004,143.9084,1.0000
q_learner,90004,113.7524,1.0000
q_learner_fine,90004,103.1631,1.0000
clairvoyant,90004,90.6023,1.0000
twap,90005,95.7893,1.0000
lookahead,90005,120.4452,1.0000
two_step,90005,134.7354,1.0000
three_step,90005,110.6974,1.0000
q_learner,90005,91.5759,1.0000
q_learner_fine,90005,91.3655,1.0000
clairvoyant,90005,103.3650,1.0000
twap,90006,104.6016,1.0000
lookahead,90006,84.5203,1.0000
two_step,90006,82.7431,1.0000
three_step,90006,71.7241,1.0000
q_learner,90006,96.2622,1.0000
q_learner_fine,90006,88.3475,1.0000
clairvoyant,90006,55.5462,1.0000
twap,90007,96.7242,1.0000
lookahead,90007,101.1796,1.0000
two_step,90007,113.7224,1.0000
three_step,90007,105.4863,1.0000
q_learner,90007,90.7169,1.0000
q_learner_fine,90007,81.0060,1.0000
clairvoyant,90007,79.8249,1.0000
twap,90008,88.7326,1.0000
lookahead,90008,33.7709,1.0000
two_step,90008,41.8340,1.0000
three_step,90008,40.2897,1.0000
q_learner,90008,82.7083,1.0000
q_learner_fine,90008,64.9223,1.0000
clairvoyant,90008,17.0507,1.0000
twap,90009,124.7584,1.0000
lookahead,90009,109.3099,1.0000
two_step,90009,113.9799,1.0000
three_step,90009,112.5050,1.0000
q_learner,90009,122.8087,1.0000
q_learner_fine,90009,109.0820,1.0000
clairvoyant,90009,101.9016,1.0000
twap,90010,126.7149,1.0000
lookahead,90010,134.2982,1.0000
two_step,90010,132.9789,1.0000
three_step,90010,126.3649,1.0000
q_learner,90010,121.9304,1.0000
q_learner_fine,90010,122.7439,1.0000
clairvoyant,90010,105.6746,1.0000
twap,90011,106.6144,1.0000
lookahead,90011,108.5789,1.0000
two_step,90011,97.9694,1.0000
three_step,90011,91.8147,1.0000
q_learner,90011,99.8923,1.0000
q_learner_fine,90011,92.1351,1.0000
clairvoyant,90011,74.2008,1.0000
twap,90012,109.5626,1.0000
lookahead,90012,114.3977,1.0000
two_step,90012,139.3891,1.0000
three_step,90012,106.2973,1.0000
q_learner,90012,109.3838,1.0000
q_learner_fine,90012,98.4417,1.0000
clairvoyant,90012,96.3910,1.0000
twap,90013,112.9845,1.0000
lookahead,90013,94.9934,1.0000
two_step,90013,127.7857,1.0000
three_step,90013,102.6606,1.0000
q_learner,90013,111.6082,1.0000
q_learner_fine,90013,101.3044,1.0000
clairvoyant,90013,90.6035,1.0000
twap,90014,80.3824,1.0000
lookahead,90014,65.6869,1.0000
two_step,90014,65.7245,1.0000
three_step,90014,56.5648,1.0000
q_learner,90014,73.6573,1.0000
q_learner_fine,90014,75.6056,1.0000
clairvoyant,90014,28.7879,1.0000
twap,90015,98.9107,1.0000
lookahead,90015,103.1826,1.0000
two_step,90015,131.9085,1.0000
three_step,90015,107.3535,1.0000
q_learner,90015,88.3016,1.0000
q_learner_fine,90015,78.3222,1.0000
clairvoyant,90015,81.9831,1.0000
twap,90016,111.9316,1.0000
lookahead,90016,98.4790,1.0000
two_step,90016,116.9150,1.0000
three_step,90016,110.6039,1.0000
q_learner,90016,115.1556,1.0000
q_learner_fine,90016,101.7999,1.0000
clairvoyant,90016,82.5475,1.0000
twap,90017,114.4752,1.0000
lookahead,90017,90.2118,1.0000
two_step,90017,109.7039,1.0000
three_step,90017,90.1741,1.0000
q_learner,90017,110.3383,1.0000
q_learner_fine,90017,100.6489,1.0000
clairvoyant,90017,83.8017,1.0000
twap,90018,128.9386,1.0000
lookahead,90018,141.3170,1.0000
two_step,90018,147.7391,1.0000
three_step,90018,142.9794,1.0000
q_learner,90018,121.8405,1.0000
q_learner_fine,90018,121.5860,1.0000
clairvoyant,90018,111.9082,1.0000
twap,90019,124.8347,1.0000
lookahead,90019,106.6055,1.0000
two_step,90019,101.5368,1.0000
three_step,90019,101.2449,1.0000
q_learner,90019,122.8866,1.0000
q_learner_fine,90019,110.1889,1.0000
clairvoyant,90019,81.7845,1.0000
twap,90020,118.9230,1.0000
lookahead,90020,111.3232,1.0000
two_step,90020,123.3097,1.0000
three_step,90020,115.2468,1.0000
q_learner,90020,121.2981,1.0000
q_learner_fine,90020,103.3096,1.0000
clairvoyant,90020,91.6869,1.0000
twap,90021,83.0729,1.0000
lookahead,90021,80.4083,1.0000
two_step,90021,94.1456,1.0000
three_step,90021,76.6915,1.0000
q_learner,90021,82.7860,1.0000
q_learner_fine,90021,82.3895,1.0000
clairvoyant,90021,51.7574,1.0000
twap,90022,117.3670,1.0000
lookahead,90022,105.3181,1.0000
two_step,90022,105.3942,1.0000
three_step,90022,101.2212,1.0000
q_learner,90022,117.1394,1.0000
q_learner_fine,90022,104.3465,1.0000
clairvoyant,90022,76.3030,1.0000
twap,90023,127.0998,1.0000
lookahead,90023,139.1467,1.0000
two_step,90023,151.4578,1.0000
three_step,90023,146.1097,1.0000
q_learner,90023,126.0108,1.0000
q_learner_fine,90023,115.0184,1.0000
clairvoyant,90023,122.5108,1.0000
twap,90024,133.7959,1.0000
lookahead,90024,138.3889,1.0000
two_step,90024,141.9355,1.0000
three_step,90024,111.2898,1.0000
q_learner,90024,132.6718,1.0000
q_learner_fine,90024,121.7347,1.0000
clairvoyant,90024,112.9022,1.0000
twap,90025,103.4876,1.0000
lookahead,90025,103.4114,1.0000
two_step,90025,106.5238,1.0000
three_step,90025,107.1073,1.0000
q_learner,90025,92.2303,1.0000
q_learner_fine,90025,93.3101,1.0000
clairvoyant,90025,96.7422,1.0000
twap,90026,106.8724,1.0000
lookahead,90026,93.2618,1.0000
two_step,90026,122.7387,1.0000
three_step,90026,105.3030,1.0000
q_learner,90026,102.9749,1.0000
q_learner_fine,90026,98.9874,1.0000
clairvoyant,90026,74.9506,1.0000
twap,90027,116.5473,1.0000
lookahead,90027,115.8900,1.0000
two_step,90027,128.1132,1.0000
three_step,90027,120.1163,1.0000
q_learner,90027,118.3913,1.0000
q_learner_fine,90027,100.7163,1.0000
clairvoyant,90027,93.6166,1.0000
twap,90028,101.5648,1.0000
lookahead,90028,107.1133,1.0000
two_step,90028,155.4861,1.0000
three_step,90028,116.1186,1.0000
q_learner,90028,93.0776,1.0000
q_learner_fine,90028,93.2468,1.0000
clairvoyant,90028,81.1901,1.0000
twap,90029,105.4128,1.0000
lookahead,90029,84.0191,1.0000
two_step,90029,89.9074,1.0000
three_step,90029,89.1427,1.0000
q_learner,90029,96.2807,1.0000
q_learner_fine,90029,91.0827,1.0000
clairvoyant,90029,72.3825,1.0000
twap,90030,132.5179,1.0000
lookahead,90030,125.5437,1.0000
two_step,90030,137.3968,1.0000
three_step,90030,124.1039,1.0000
q_learner,90030,140.2603,1.0000
q_learner_fine,90030,119.0272,1.0000
clairvoyant,90030,108.8343,1.0000
twap,90031,128.1583,1.0000
lookahead,90031,110.4709,1.0000
two_step,90031,115.4406,1.0000
three_step,90031,114.8574,1.0000
q_learner,90031,131.0614,1.0000
q_learner_fine,90031,114.2730,1.0000
clairvoyant,90031,94.9390,1.0000
twap,90032,114.9712,1.0000
lookahead,90032,76.5009,1.0000
two_step,90032,105.8885,1.0000
three_step,90032,82.6661,1.0000
q_learner,90032,105.1109,1.0000
q_learner_fine,90032,93.7449,1.0000
clairvoyant,90032,62.3839,1.0000
twap,90033,96.0076,1.0000
lookahead,90033,74.5360,1.0000
two_step,90033,63.7330,1.0000
three_step,90033,55.4117,1.0000
q_learner,90033,92.5590,1.0000
q_learner_fine,90033,83.2951,1.0000
clairvoyant,90033,32.9063,1.0000
twap,90034,123.7774,1.0000
lookahead,90034,123.3629,1.0000
two_step,90034,118.5119,1.0000
three_step,90034,124.4455,1.0000
q_learner,90034,140.4342,1.0000
q_learner_fine,90034,118.1694,1.0000
clairvoyant,90034,92.1402,1.0000
twap,90035,120.5062,1.0000
lookahead,90035,123.9101,1.0000
two_step,90035,123.2327,1.0000
three_step,90035,122.1265,1.0000
q_learner,90035,119.3873,1.0000
q_learner_fine,90035,118.4586,1.0000
clairvoyant,90035,104.6350,1.0000
twap,90036,93.8635,1.0000
lookahead,90036,48.7512,1.0000
two_step,90036,57.6734,1.0000
three_step,90036,60.2983,1.0000
q_learner,90036,87.0461,1.0000
q_learner_fine,90036,80.2412,1.0000
clairvoyant,90036,19.9328,1.0000
twap,90037,117.8320,1.0000
lookahead,90037,102.2867,1.0000
two_step,90037,99.3722,1.0000
three_step,90037,99.5493,1.0000
q_learner,90037,116.1412,1.0000
q_learner_fine,90037,104.9186,1.0000
clairvoyant,90037,85.9472,1.0000
twap,90038,115.2682,1.0000
lookahead,90038,128.2241,1.0000
two_step,90038,140.8183,1.0000
three_step,90038,121.4033,1.0000
q_learner,90038,104.2884,1.0000
q_learner_fine,90038,104.7037,1.0000
clairvoyant,90038,85.7927,1.0000
twap,90039,137.3912,1.0000
lookahead,90039,128.3550,1.0000
two_step,90039,128.8906,1.0000
three_step,90039,121.7728,1.0000
q_learner,90039,139.2813,1.0000
q_learner_fine,90039,130.6070,1.0000
clairvoyant,90039,109.1511,1.0000
twap,90040,115.9654,1.0000
lookahead,90040,125.1356,1.0000
two_step,90040,133.2184,1.0000
three_step,90040,134.0471,1.0000
q_learner,90040,112.1438,1.0000
q_learner_fine,90040,108.3856,1.0000
clairvoyant,90040,96.7749,1.0000
twap,90041,119.7713,1.0000
lookahead,90041,86.9999,1.0000
two_step,90041,87.7544,1.0000
three_step,90041,91.4154,1.0000
q_learner,90041,127.5470,1.0000
q_learner_fine,90041,98.7080,1.0000
clairvoyant,90041,67.7272,1.0000
twap,90042,102.4887,1.0000
lookahead,90042,63.4387,1.0000
two_step,90042,65.1415,1.0000
three_step,90042,62.2459,1.0000
q_learner,90042,102.6045,1.0000
q_learner_fine,90042,86.8434,1.0000
clairvoyant,90042,36.1323,1.0000
twap,90043,105.1557,1.0000
lookahead,90043,73.1337,1.0000
two_step,90043,89.6972,1.0000
three_step,90043,79.6868,1.0000
q_learner,90043,98.6170,1.0000
q_learner_fine,90043,94.3251,1.0000
clairvoyant,90043,55.2664,1.0000
twap,90044,146.3115,1.0000
lookahead,90044,167.1217,1.0000
two_step,90044,162.7562,1.0000
three_step,90044,157.1742,1.0000
q_learner,90044,149.8207,1.0000
q_learner_fine,90044,139.7839,1.0000
clairvoyant,90044,132.9177,1.0000
twap,90045,118.2498,1.0000
lookahead,90045,111.2356,1.0000
two_step,90045,110.7876,1.0000
three_step,90045,114.8730,1.0000
q_learner,90045,111.6443,1.0000
q_learner_fine,90045,108.6028,1.0000
clairvoyant,90045,91.9671,1.0000
twap,90046,106.3069,1.0000
lookahead,90046,119.1509,1.0000
two_step,90046,119.2939,1.0000
three_step,90046,105.6325,1.0000
q_learner,90046,101.9286,1.0000
q_learner_fine,90046,89.2602,1.0000
clairvoyant,90046,85.4869,1.0000
twap,90047,90.1013,1.0000
lookahead,90047,57.1967,1.0000
two_step,90047,74.0249,1.0000
three_step,90047,54.6742,1.0000
q_learner,90047,87.3523,1.0000
q_learner_fine,90047,78.1750,1.0000
clairvoyant,90047,33.2223,1.0000
twap,90048,111.0169,1.0000
lookahead,90048,86.8854,1.0000
two_step,90048,106.6128,1.0000
three_step,90048,94.7541,1.0000
q_learner,90048,106.3154,1.0000
q_learner_fine,90048,92.9758,1.0000
clairvoyant,90048,78.2678,1.0000
twap,90049,99.8069,1.0000
lookahead,90049,104.2848,1.0000
two_step,90049,109.3727,1.0000
three_step,90049,87.7311,1.0000
q_learner,90049,92.1243,1.0000
q_learner_fine,90049,88.4063,1.0000
clairvoyant,90049,101.2571,1.0000
twap,90050,110.8305,1.0000
lookahead,90050,91.2871,1.0000
two_step,90050,100.6758,1.0000
three_step,90050,95.2792,1.0000
q_learner,90050,108.3042,1.0000
q_learner_fine,90050,99.0706,1.0000
clairvoyant,90050,78.9828,1.0000
twap,90051,126.3042,1.0000
lookahead,90051,130.4881,1.0000
two_step,90051,148.2207,1.0000
three_step,90051,125.4407,1.0000
q_learner,90051,125.2171,1.0000
q_learner_fine,90051,114.4527,1.0000
clairvoyant,90051,100.0745,1.0000
twap,90052,133.6197,1.0000
lookahead,90052,128.9581,1.0000
two_step,90052,125.8178,1.0000
three_step,90052,120.3892,1.0000
q_learner,90052,128.9873,1.0000
q_learner_fine,90052,128.3945,1.0000
clairvoyant,90052,88.4604,1.0000
twap,90053,123.6450,1.0000
lookahead,90053,103.5335,1.0000
two_step,90053,94.0680,1.0000
three_step,90053,98.2761,1.0000
q_learner,90053,121.8055,1.0000
q_learner_fine,90053,116.3356,1.0000
clairvoyant,90053,93.6908,1.0000
twap,90054,109.0485,1.0000
lookahead,90054,81.2437,1.0000
two_step,90054,87.5046,1.0000
three_step,90054,97.2008,1.0000
q_learner,90054,106.2215,1.0000
q_learner_fine,90054,94.7804,1.0000
clairvoyant,90054,62.3727,1.0000
twap,90055,98.9197,1.0000
lookahead,90055,82.1394,1.0000
two_step,90055,91.7832,1.0000
three_step,90055,92.5953,1.0000
q_learner,90055,92.8770,1.0000
q_learner_fine,90055,92.7753,1.0000
clairvoyant,90055,67.1758,1.0000
twap,90056,115.3552,1.0000
lookahead,90056,112.1367,1.0000
two_step,90056,109.4072,1.0000
three_step,90056,105.8924,1.0000
q_learner,90056,109.0824,1.0000
q_learner_fine,90056,106.9256,1.0000
clairvoyant,90056,107.8140,1.0000
twap,90057,101.3596,1.0000
lookahead,90057,76.5739,1.0000
two_step,90057,98.4556,1.0000
three_step,90057,100.6378,1.0000
q_learner,90057,105.6101,1.0000
q_learner_fine,90057,90.0240,1.0000
clairvoyant,90057,65.0497,1.0000
twap,90058,130.6581,1.0000
lookahead,90058,137.1821,1.0000
two_step,90058,143.6180,1.0000
three_step,90058,135.8072,1.0000
q_learner,90058,127.1643,1.0000
q_learner_fine,90058,121.2339,1.0000
clairvoyant,90058,99.1081,1.0000
twap,90059,128.6259,1.0000
lookahead,90059,111.4277,1.0000
two_step,90059,102.5632,1.0000
three_step,90059,101.1597,1.0000
q_learner,90059,144.5695,1.0000
q_learner_fine,90059,106.9122,1.0000
clairvoyant,90059,103.7772,1.0000
twap,90060,108.3712,1.0000
