step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1003.8933473276899,1005.4718159683335,0.004676610776479004,0.001323389223520996,0.005477196805740282,0.0005228031942597178,exec_10_B,0.0,5.0,5040.24636724243,15.12073910172694,2.0,45.0,0.0,100.75503143860033,1.9561910346006846,0.012406687161536055,0.015183298407980949,2.2876755386685597,0.0,0.0,-0.0008449273448486019
1,1000.5471344207538,1002.8748753577628,1002.0715677716823,0.004608150084339686,0.0013918499156603142,0.004200357613479994,0.0017996423865200063,exec_10_A,4.5,0.0,4559.302774806882,21.322084489892404,2.0,40.5,124.53604532151068,49.21988558221021,0.05610211586664586,1.651761376433047,2.3366300064362373,0.08170870889489909,-2.7261341008110094,-3.2606064295060833,-0.001226055496137633
2,999.679562223462,1002.0739783679622,1006.599831583493,0.004355179462824629,0.0016448205371753712,0.006653360549011951,0.0001,exec_10_B,0.0,4.05,4092.0985988802545,17.18827750491755,2.0,36.45,31.96337361538015,105.70255279853762,2.48155606525022,0.0748225575519968,0.058328458868062254,1.875328998781389,-2.8221944043074245,0.0,-0.0008819719776050897
3,999.3564162089647,1005.6510222411633,1000.9246693070717,0.0062611308776873344,0.0001,0.0038607067866431276,0.0021392932133568725,wait,0.0,0.0,0.0,0.0,0.0,36.45,27.19312264293629,72.4808012141062,1.9168611783754896,0.06090336833073855,0.13864815799311186,2.882560043224072,0.0,0.0,-0.0
4,999.1897821933601,1000.289000875641,1002.3332567091531,0.003983139954487019,0.002016860045512981,0.0050222939750740984,0.0009777060249259021,exec_10_B,0.0,3.6450000000000005,3675.915202156749,14.191630768090818,2.0,32.805,64.66479304482003,90.82486369240505,0.7727119735507465,0.7037158438233361,0.8181088693216332,1.080335307145324,-2.6237259467014837,-2.565804023651026,-0.0006583040431349672
5,998.3256296761945,1003.2096798072891,1004.3710426472143,0.005883575246952235,0.00011642475304776516,0.006474401008127477,0.0001,exec_10_A,3.2805,0.0,3305.4157872299857,13.165933688308087,2.0,29.5245,85.74017290091376,40.14348539021831,0.23463344645915518,1.3712826851690816,2.0586156300153102,0.3574909017240233,0.0,0.0,-0.0005383157445997131
6,997.4798601370226,998.5936010105521,998.5771977169311,0.003952306454569462,0.002047693545430538,0.003943954493316699,0.0020560455066833015,exec_10_A,2.9524500000000002,0.0,2988.2932084313948,17.581847951762484,2.0,26.57205,117.19128754166982,69.08593131138572,0.15592968221741133,1.301260239312257,1.1563936463609539,0.10563073775404612,-4.256915076498217,-4.086173248550381,-0.0007568641686278898
7,996.7047812382849,1001.891111124944,1002.2629432567372,0.006326347994508839,0.0001,0.00651592479417348,0.0001,exec_10_A,2.6572050000000003,0.0,2671.0894810016107,10.5569641964953,2.0,23.914845,72.37067874214844,18.78606899346802,0.1292928632968611,1.9202404893889773,1.1383392044028948,0.07852440877272829,0.0,0.0,-0.0003176896200322062
8,995.3006751904109,996.3956154271439,996.3956154271439,0.0034356993692978293,0.002564300630702171,0.0034356993692978293,0.002564300630702171,exec_10_A,2.3914845000000002,0.0,2417.047336851758,15.291082572125106,2.0,21.5233605,114.58102062137749,69.95140503641699,0.15465613986655835,1.3307347295012528,2.5381600467215617,0.27349599530495966,-2.7592759642606097,-3.993872446317255,-0.0005512567370351553
9,995.5324238165541,1000.0774737704849,997.0125125609659,0.005083564541789542,0.0009164354582104585,0.0035218515300565203,0.00247814846994348,exec_10_B,0.0,2.15233605,2156.6050971034597,7.409446771942839,2.0,19.37102445,8.670652908325678,51.81597614671101,2.088614725160348,0.23896183788365974,0.2428012789692494,2.0813180554322828,0.0,0.0,-0.00012538094206918687
