diagnostic,variant,policy,seed,shortfall_bps,completion_rate,total_reward,gas_paid_bps,fee_paid_bps
priority,before,q_learner,30000,130.2535,1.0000,-0.013025,14.0000,41.2639
priority,before,q_learner,30001,122.5258,0.9999,-0.012253,11.6000,40.1805
priority,before,q_learner,30002,125.9081,1.0000,-0.012591,12.4000,41.1489
priority,before,q_learner,30003,93.0426,0.9999,-0.009304,11.6000,41.0250
priority,before,q_learner,30004,90.9311,1.0000,-0.009093,12.8000,41.2769
priority,before,q_learner,30005,118.3424,1.0000,-0.011834,13.2000,39.5269
priority,before,q_learner,30006,130.4311,1.0000,-0.013043,12.0000,40.4641
priority,before,q_learner,30007,75.2064,0.9999,-0.007521,13.2000,39.9614
priority,before,q_learner,30008,97.6905,0.9999,-0.009769,12.0000,41.7852
priority,before,q_learner,30009,144.1758,0.9999,-0.014418,10.8000,41.5732
priority,before,q_learner,30010,99.5758,1.0000,-0.009958,12.8000,42.6659
priority,before,q_learner,30011,112.6013,0.9999,-0.011260,10.0000,38.5841
priority,before,q_learner,30012,118.0262,0.9999,-0.011803,12.0000,40.2701
priority,before,q_learner,30013,111.5937,0.9996,-0.011159,11.6000,39.8510
priority,before,q_learner,30014,103.1444,1.0000,-0.010314,11.6000,41.3414
priority,before,q_learner,30015,122.2103,0.9995,-0.012221,10.4000,41.3007
priority,before,q_learner,30016,104.2701,1.0000,-0.010427,12.8000,40.2067
priority,before,q_learner,30017,119.1766,1.0000,-0.011918,11.6000,40.6462
priority,before,q_learner,30018,103.6994,0.9999,-0.010370,12.8000,43.6462
priority,before,q_learner,30019,107.9621,0.9999,-0.010796,12.8000,41.0529
priority,before,q_learner,30020,127.5051,0.9998,-0.012751,10.8000,42.3822
priority,before,q_learner,30021,81.7015,1.0000,-0.008170,12.4000,40.8697
priority,before,q_learner,30022,85.7709,1.0000,-0.008577,12.4000,42.1741
priority,before,q_learner,30023,117.6998,1.0000,-0.011770,12.4000,45.1811
priority,before,q_learner,30024,106.0405,1.0000,-0.010604,13.6000,40.6168
priority,before,q_learner,30025,107.1303,0.9997,-0.010713,11.2000,39.2890
priority,before,q_learner,30026,115.3668,0.9999,-0.011537,12.8000,41.6429
priority,before,q_learner,30027,115.4825,1.0000,-0.011548,13.6000,43.1000
priority,before,q_learner,30028,95.5355,0.9994,-0.009554,11.6000,41.8800
priority,before,q_learner,30029,103.1921,0.9995,-0.010319,11.2000,41.4332
priority,before,q_learner,30030,116.8361,0.9999,-0.011684,10.8000,41.6175
priority,before,q_learner,30031,97.2923,0.9999,-0.009729,11.6000,41.2498
priority,before,q_learner,30032,123.1540,0.9997,-0.012315,10.8000,40.4389
priority,before,q_learner,30033,116.0769,0.9999,-0.011608,11.2000,43.5196
priority,before,q_learner,30034,129.4330,0.9996,-0.012943,12.8000,41.5879
priority,before,q_learner,30035,123.3158,1.0000,-0.012332,11.6000,41.5510
priority,before,q_learner,30036,115.3357,0.9997,-0.011534,11.6000,39.6630
priority,before,q_learner,30037,99.5504,0.9994,-0.009955,10.8000,40.5499
priority,before,q_learner,30038,82.1101,0.9999,-0.008211,11.6000,41.0452
priority,before,q_learner,30039,114.1038,0.9997,-0.011410,11.6000,42.7099
priority,before,q_learner,30040,95.0994,0.9999,-0.009510,12.0000,44.2975
priority,before,q_learner,30041,125.1742,0.9992,-0.012517,11.2000,42.6641
priority,before,q_learner,30042,123.5876,1.0000,-0.012359,13.2000,43.2085
priority,before,q_learner,30043,67.0303,0.9997,-0.006703,10.8000,42.3716
priority,before,q_learner,30044,87.5736,0.9997,-0.008757,11.2000,40.7899
priority,before,q_learner,30045,105.8024,1.0000,-0.010580,12.4000,39.2795
priority,before,q_learner,30046,93.6817,0.9999,-0.009368,10.0000,41.6570
priority,before,q_learner,30047,104.8938,0.9999,-0.010489,11.2000,40.0499
priority,before,q_learner,30048,86.4944,0.9999,-0.008649,11.6000,43.3363
priority,before,q_learner,30049,91.3063,0.9993,-0.009131,11.2000,40.6759
priority,before,q_learner,30050,128.0248,1.0000,-0.012802,12.0000,40.8519
priority,before,q_learner,30051,120.9514,0.9999,-0.012095,10.8000,40.4874
priority,before,q_learner,30052,138.5238,0.9999,-0.013852,11.6000,40.7422
priority,before,q_learner,30053,94.1521,0.9999,-0.009415,11.2000,40.9221
priority,before,q_learner,30054,118.7864,1.0000,-0.011879,11.6000,40.2747
priority,before,q_learner,30055,96.7287,0.9995,-0.009673,12.0000,42.5230
priority,before,q_learner,30056,110.2957,1.0000,-0.011030,12.0000,40.4485
priority,before,q_learner,30057,101.7918,0.9999,-0.010179,13.2000,40.6128
priority,before,q_learner,30058,101.3982,1.0000,-0.010140,12.4000,42.0958
priority,before,q_learner,30059,107.5543,1.0000,-0.010755,14.0000,40.9189
priority,before,q_learner,30060,126.5335,0.9997,-0.012653,11.2000,41.1677
priority,before,q_learner,30061,103.4662,0.9991,-0.010347,10.0000,40.4756
