episode,val_shortfall_bps,eps
500,200.0,0.9341597222222222
1000,200.0,0.8681875
1500,200.0,0.8022152777777778
2000,200.0,0.7362430555555556
2500,200.0,0.6702708333333334
3000,200.0,0.6042986111111112
3500,200.0,0.538326388888889
4000,200.0,0.47235416666666674
4500,200.0,0.4063819444444444
5000,200.0,0.3404097222222222
5500,200.0,0.2744375
6000,200.0,0.2084652777777778
6500,200.0,0.1424930555555557
7000,163.13934868619566,0.07652083333333348
7500,150.2800986390681,0.05
8000,112.74128093102549,0.05
8500,117.7089100997607,0.05
9000,120.57502042749354,0.05
9500,114.40128623057561,0.05
10000,117.65243088800976,0.05
10500,117.0227678729021,0.05
11000,114.88921423192406,0.05
11500,111.69697970248406,0.05
12000,119.36761376640436,0.05
