episode,val_shortfall_bps,eps
500,190.1348546117878,0.9341597222222222
1000,181.01921559278796,0.8681875
1500,193.766851735446,0.8022152777777778
2000,181.42055906196478,0.7362430555555556
2500,189.18560957414974,0.6702708333333334
3000,181.35694338326445,0.6042986111111112
3500,165.80858072339132,0.538326388888889
4000,174.4239523720559,0.47235416666666674
4500,180.0444989458451,0.4063819444444444
5000,191.5598492654161,0.3404097222222222
5500,164.71048542054712,0.2744375
6000,163.66610976777795,0.2084652777777778
6500,153.04953975580705,0.1424930555555557
7000,153.38976269447613,0.07652083333333348
7500,104.44803770515426,0.05
8000,94.3199314645176,0.05
8500,95.1237226915023,0.05
9000,96.06469570352972,0.05
9500,93.17379887570176,0.05
10000,92.08393992078923,0.05
10500,90.96888120212041,0.05
11000,97.36669377068745,0.05
11500,97.0557567035339,0.05
12000,103.94046064646749,0.05
