diagnostic,variant,policy,seed,shortfall_bps,completion_rate
priority,before,dqn,30000,109.1719,0.9835
priority,before,dqn,30001,99.5645,0.9818
priority,before,dqn,30002,122.1256,0.9801
priority,before,dqn,30003,86.2527,0.9745
priority,before,dqn,30004,39.8648,0.9877
priority,before,dqn,30005,104.0013,0.9872
priority,before,dqn,30006,128.7612,0.9327
priority,before,dqn,30007,46.0039,0.9851
priority,before,dqn,30008,77.212,0.9787
priority,before,dqn,30009,149.3362,0.9395
priority,before,dqn,30010,42.5571,0.9872
priority,before,dqn,30011,106.266,0.9655
priority,before,dqn,30012,90.9468,0.9876
priority,before,dqn,30013,84.555,0.977
priority,before,dqn,30014,92.6186,0.9828
priority,before,dqn,30015,94.4778,0.9879
priority,before,dqn,30016,53.5387,0.9901
priority,before,dqn,30017,89.2104,0.9872
priority,before,dqn,30018,41.6976,0.9821
priority,before,dqn,30019,93.899,0.9724
priority,before,dqn,30020,127.8435,0.9628
priority,before,dqn,30021,54.4735,0.9908
priority,before,dqn,30022,58.1836,0.9862
priority,before,dqn,30023,87.8887,0.9847
priority,before,dqn,30024,74.3636,0.9876
priority,before,dqn,30025,108.7745,0.9874
priority,before,dqn,30026,105.5454,0.9751
priority,before,dqn,30027,75.6653,0.9816
priority,before,dqn,30028,62.3354,0.9811
priority,before,dqn,30029,72.6996,0.9847
priority,before,dqn,30030,96.4243,0.9814
priority,before,dqn,30031,55.4817,0.9816
priority,before,dqn,30032,94.441,0.9877
priority,before,dqn,30033,69.8927,0.9862
priority,before,dqn,30034,109.55,0.9612
priority,before,dqn,30035,115.3331,0.9655
priority,before,dqn,30036,85.5547,0.9898
priority,before,dqn,30037,90.7458,0.9835
priority,before,dqn,30038,37.9995,0.9908
priority,before,dqn,30039,70.9349,0.9849
priority,before,dqn,30040,58.7824,0.983
priority,before,dqn,30041,104.6121,0.9866
priority,before,dqn,30042,85.9293,0.9864
priority,before,dqn,30043,46.7356,0.9857
priority,before,dqn,30044,53.3217,0.9915
priority,before,dqn,30045,97.8211,0.9808
priority,before,dqn,30046,88.3276,0.9816
priority,before,dqn,30047,112.4453,0.9748
priority,before,dqn,30048,48.848,0.9835
priority,before,dqn,30049,102.3797,0.9886
priority,before,dqn,30050,83.8951,0.9853
priority,before,dqn,30051,128.5577,0.9019
priority,before,dqn,30052,116.1626,0.9149
priority,before,dqn,30053,75.7073,0.9814
priority,before,dqn,30054,112.3807,0.9858
priority,before,dqn,30055,83.9724,0.983
priority,before,dqn,30056,110.8301,0.9489
priority,before,dqn,30057,89.5833,0.9828
priority,before,dqn,30058,86.5192,0.983
priority,before,dqn,30059,52.7388,0.9877
priority,before,dqn,30060,97.349,0.9847
priority,before,dqn,30061,121.7284,0.9764
priority,before,dqn,30062,131.9313,0.9285
priority,before,dqn,30063,69.1027,0.9847
priority,before,dqn,30064,64.1977,0.9881
priority,before,dqn,30065,102.7884,0.9617
priority,before,dqn,30066,33.8171,0.9782
priority,before,dqn,30067,112.538,0.9816
priority,before,dqn,30068,119.1462,0.9173
priority,before,dqn,30069,91.5296,0.9828
priority,before,dqn,30070,115.0089,0.931
priority,before,dqn,30071,71.6767,0.9816
priority,before,dqn,30072,111.2464,0.954
priority,before,dqn,30073,114.5172,0.9319
priority,before,dqn,30074,63.5963,0.9614
priority,before,dqn,30075,75.4904,0.9885
priority,before,dqn,30076,92.0367,0.9724
priority,before,dqn,30077,109.5368,0.9724
priority,before,dqn,30078,74.7825,0.9876
priority,before,dqn,30079,67.4565,0.983
priority,before,dqn,30080,118.6342,0.9598
priority,before,dqn,30081,74.0279,0.983
priority,before,dqn,30082,89.4484,0.9864
priority,before,dqn,30083,50.631,0.9868
priority,before,dqn,30084,36.8657,0.989
priority,before,dqn,30085,86.3814,0.9828
priority,before,dqn,30086,123.8622,0.9395
priority,before,dqn,30087,50.2084,0.9898
priority,before,dqn,30088,82.5994,0.9728
priority,before,dqn,30089,81.5979,0.9721
priority,before,dqn,30090,69.2331,0.9816
priority,before,dqn,30091,63.291,0.9868
priority,before,dqn,30092,80.8686,0.9832
priority,before,dqn,30093,132.3756,0.9773
priority,before,dqn,30094,77.1201,0.9862
priority,before,dqn,30095,77.9606,0.9808
priority,before,dqn,30096,42.9754,0.9895
priority,before,dqn,30097,90.1974,0.9862
priority,before,dqn,30098,39.1079,0.9876
priority,before,dqn,30099,114.6817,0.977
priority,before,dqn,30100,111.2857,0.9628
priority,before,dqn,30101,51.7622,0.9908
priority,before,dqn,30102,128.689,0.9517
priority,before,dqn,30103,95.8867,0.9813
priority,before,dqn,30104,77.9632,0.983
priority,before,dqn,30105,80.7476,0.9745
priority,before,dqn,30106,106.4583,0.9741
priority,before,dqn,30107,90.4531,0.9773
priority,before,dqn,30108,91.8998,0.9796
priority,before,dqn,30109,72.9528,0.989
priority,before,dqn,30110,54.7395,0.9898
priority,before,dqn,30111,61.1411,0.9835
priority,before,dqn,30112,74.4077,0.9816
priority,before,dqn,30113,86.1859,0.9877
priority,before,dqn,30114,76.0361,0.9851
priority,before,dqn,30115,75.3262,0.9877
priority,before,dqn,30116,65.5031,0.9886
priority,before,dqn,30117,90.1094,0.9853
priority,before,dqn,30118,79.0372,0.9886
priority,before,dqn,30119,97.1317,0.9632
priority,before,dqn,30120,90.043,0.9832
priority,before,dqn,30121,36.4468,0.9891
priority,before,dqn,30122,83.0696,0.9881
priority,before,dqn,30123,124.097,0.9448
priority,before,dqn,30124,95.3594,0.9816
priority,before,dqn,30125,30.2094,0.9881
priority,before,dqn,30126,123.5709,0.9497
priority,before,dqn,30127,110.1148,0.977
priority,before,dqn,30128,112.1926,0.9828
priority,before,dqn,30129,113.8701,0.9798
priority,before,dqn,30130,58.086,0.9909
priority,before,dqn,30131,108.6614,0.9741
priority,before,dqn,30132,67.6339,0.989
priority,before,dqn,30133,97.4825,0.9832
priority,before,dqn,30134,113.9901,0.9721
priority,before,dqn,30135,109.1177,0.9724
priority,before,dqn,30136,99.909,0.9586
priority,before,dqn,30137,95.6217,0.9724
priority,before,dqn,30138,73.0191,0.9849
priority,before,dqn,30139,53.533,0.9735
priority,before,dqn,30140,90.1691,0.9793
priority,before,dqn,30141,57.9555,0.9837
priority,before,dqn,30142,126.9225,0.877
priority,before,dqn,30143,95.4147,0.9569
priority,before,dqn,30144,102.0936,0.977
priority,before,dqn,30145,105.1956,0.9626
priority,before,dqn,30146,77.4859,0.989
priority,before,dqn,30147,129.6638,0.9626
priority,before,dqn,30148,81.9143,0.9773
priority,before,dqn,30149,71.4601,0.9816
priority,before,dqn,30150,119.5818,0.9694
priority,before,dqn,30151,134.0622,0.9395
priority,before,dqn,30152,26.9738,0.9694
priority,before,dqn,30153,94.5874,0.9862
priority,before,dqn,30154,86.9866,0.9845
priority,before,dqn,30155,96.2494,0.9793
priority,before,dqn,30156,111.2888,0.983
priority,before,dqn,30157,93.9853,0.9773
priority,before,dqn,30158,70.8647,0.9899
priority,before,dqn,30159,55.7332,0.989
priority,before,dqn,30160,90.2317,0.9905
priority,before,dqn,30161,61.6522,0.9877
priority,before,dqn,30162,74.4936,0.9816
priority,before,dqn,30163,94.9767,0.9818
priority,before,dqn,30164,59.9675,0.9864
priority,before,dqn,30165,68.1157,0.9862
priority,before,dqn,30166,111.1721,0.969
priority,before,dqn,30167,93.4168,0.954
priority,before,dqn,30168,82.9389,0.9876
priority,before,dqn,30169,31.5775,0.9909
priority,before,dqn,30170,105.0766,0.983
priority,before,dqn,30171,116.7488,0.9483
priority,before,dqn,30172,105.4022,0.9777
priority,before,dqn,30173,37.5261,0.9886
priority,before,dqn,30174,107.7337,0.977
priority,before,dqn,30175,38.7613,0.9899
priority,before,dqn,30176,102.9192,0.9669
priority,before,dqn,30177,106.2074,0.983
priority,before,dqn,30178,129.9739,0.9081
priority,before,dqn,30179,87.6496,0.9885
priority,before,dqn,30180,92.8419,0.9694
priority,before,dqn,30181,70.2386,0.9898
priority,before,dqn,30182,67.1078,0.9898
priority,before,dqn,30183,80.6047,0.9877
priority,before,dqn,30184,108.9942,0.9755
priority,before,dqn,30185,132.7614,0.933
priority,before,dqn,30186,104.9719,0.9681
priority,before,dqn,30187,86.7896,0.9847
priority,before,dqn,30188,54.4724,0.9849
priority,before,dqn,30189,113.7133,0.9799
priority,before,dqn,30190,84.6182,0.9659
priority,before,dqn,30191,57.541,0.9901
priority,before,dqn,30192,87.1823,0.9816
priority,before,dqn,30193,104.8075,0.9721
priority,before,dqn,30194,65.1922,0.9851
priority,before,dqn,30195,112.2021,0.9173
priority,before,dqn,30196,90.2033,0.9835
priority,before,dqn,30197,97.1101,0.9818
priority,before,dqn,30198,121.1561,0.8928
priority,before,dqn,30199,91.6249,0.9864
priority,before,dqn,30200,107.6438,0.9853
priority,before,dqn,30201,74.7575,0.9853
priority,before,dqn,30202,103.9713,0.9847
priority,before,dqn,30203,77.8014,0.9801
priority,before,dqn,30204,60.9952,0.989
priority,before,dqn,30205,54.2065,0.9872
priority,before,dqn,30206,100.9239,0.9694
priority,before,dqn,30207,89.9463,0.9881
priority,before,dqn,30208,54.755,0.9837
priority,before,dqn,30209,98.2395,0.9814
priority,before,dqn,30210,92.8517,0.9832
priority,before,dqn,30211,111.9252,0.9796
priority,before,dqn,30212,108.8471,0.9818
priority,before,dqn,30213,29.0836,0.9902
priority,before,dqn,30214,71.3966,0.989
priority,before,dqn,30215,64.0049,0.9862
priority,before,dqn,30216,91.1987,0.9828
priority,before,dqn,30217,94.8777,0.9828
priority,before,dqn,30218,86.7821,0.9876
priority,before,dqn,30219,109.2031,0.9741
priority,before,dqn,30220,64.6073,0.9779
priority,before,dqn,30221,84.3671,0.983
priority,before,dqn,30222,91.4346,0.9877
priority,before,dqn,30223,97.7759,0.977
priority,before,dqn,30224,86.614,0.9885
priority,before,dqn,30225,114.0422,0.9553
priority,before,dqn,30226,117.8922,0.9117
priority,before,dqn,30227,85.6566,0.9845
priority,before,dqn,30228,83.6232,0.984
priority,before,dqn,30229,63.6856,0.9847
priority,before,dqn,30230,58.5006,0.9847
priority,before,dqn,30231,55.6601,0.9881
priority,before,dqn,30232,122.1692,0.9796
priority,before,dqn,30233,78.6636,0.9877
priority,before,dqn,30234,128.0136,0.9779
priority,before,dqn,30235,137.7597,0.857
priority,before,dqn,30236,89.2678,0.9745
priority,before,dqn,30237,24.063,0.9149
priority,before,dqn,30238,111.5648,0.9835
priority,before,dqn,30239,70.9192,0.9876
priority,before,dqn,30240,82.3746,0.9845
priority,before,dqn,30241,73.2225,0.9741
priority,before,dqn,30242,87.7994,0.9728
priority,before,dqn,30243,100.8316,0.9847
priority,before,dqn,30244,56.2223,0.9816
priority,before,dqn,30245,117.1849,0.983
priority,before,dqn,30246,31.5332,0.9908
priority,before,dqn,30247,125.9317,0.9517
priority,before,dqn,30248,52.9836,0.9868
priority,before,dqn,30249,78.472,0.9886
priority,before,dqn,30250,124.4629,0.9837
priority,before,dqn,30251,86.3558,0.9847
priority,before,dqn,30252,44.4376,0.9835
priority,before,dqn,30253,136.3102,0.8676
priority,before,dqn,30254,77.4861,0.9864
priority,before,dqn,30255,99.5992,0.9816
priority,before,dqn,30256,88.9762,0.9864
