policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,50.78006592726342,17,0.00482465237593371,0.004834879082324173,36.31298475835338,36.51440604320785,75.87808748612089,0.9834513943468162,24.43972819054949,33.84319466347099,169.21597331735495,49.17256971734081,6.800000000000001,34.0,72.97471963736369,DynamicDuopoly,50,0.6511837352462108,0.7749397527152183,0.22506024728478158,30000,109.17186025978499,40.7792162751243,3.3097211306367176,-0.010917186025978132,0.66
rl,test,38.76521900415537,11,0.004244840391294799,0.004333405218546632,24.781976252367286,26.52706764123043,67.5192284958447,0.9818396645781249,24.039415891550313,28.073005930315343,140.36502965157672,49.091983228906244,5.6,28.0,73.00356623456891,DynamicDuopoly,50,0.5990627928816804,0.7225565016817981,0.277443498318202,30001,99.56453963485983,38.220050728618595,3.632067084375,-0.009956453963485936,0.72
rl,test,33.90625515710917,18,0.004625666834487398,0.004574511201455541,32.34694002501199,31.338857356600034,87.3358424298468,0.9801416732161795,25.352387058861016,37.92548274799837,189.62741373999188,49.00708366080897,7.2,36.0,74.33184920113952,DynamicDuopoly,50,0.7054423215600505,0.8205014208705248,0.1794985791294752,30002,122.1255511465617,47.67601598293627,3.971665356764063,-0.012212555114655984,0.66
rl,test,76.58507419203352,17,0.004485372322274219,0.004636711716880201,29.574819814794974,32.55695721571349,82.48139361503696,0.9744620283129883,-5.229851457825627,32.27862144749927,161.39310723749634,48.72310141564942,5.999999999999999,30.0,81.70523366727019,DynamicDuopoly,50,0.5743796960516404,0.6928466956569912,0.30715330434300886,30003,86.25272899976619,48.09636467269163,5.107594337402343,-0.008625272899976756,0.7
rl,test,40.80418717321254,18,0.0047079394389717534,0.00486458745177244,34.00453720241615,37.091344142387605,80.42889482712386,0.9877417735902343,-48.429836356693116,34.503579199950764,172.51789599975382,49.38708867951171,6.4,32.0,76.0974237200552,DynamicDuopoly,50,0.839073793079931,0.911748584138386,0.08825141586161406,30004,39.86478814970618,44.939400024494965,2.4516452819531254,-0.003986478814970571,0.68
rl,test,87.34985408638431,19,0.0047375210448927455,0.004701545036177656,34.57438695719721,33.86554250249683,83.28611189419239,0.9872310141564943,12.824866402111851,34.7411005004624,173.70550250231202,49.36155070782471,6.4,32.0,82.10438285146189,DynamicDuopoly,50,0.6273785458260981,0.7523673372547427,0.2476326627452573,30005,104.00129628126632,47.4815322099924,2.5537971687011716,-0.010400129628126779,0.68
rl,test,48.669058295572995,10,0.0042073205195548805,0.004108828701426959,24.01703911630897,22.076074765230207,71.62186172395747,0.9327394984375,43.30454901726382,28.24926560715562,141.2463280357781,46.636974921875,5.199999999999999,26.0,79.6311577682527,DynamicDuopoly,50,0.6748608228922589,0.7956863396339598,0.2043136603660401,30006,128.76118871132905,38.55527377440844,13.452100312500002,-0.01287611887113278,0.78
rl,test,53.369501354570275,15,0.004758532533546654,0.004793001226776952,34.99953084775274,35.67860867681664,78.05869236999811,0.9851062549121348,-41.07099073380319,34.90189954918385,174.50949774591925,49.25531274560674,7.2,36.0,71.44303741945212,DynamicDuopoly,50,0.7903729716951438,0.8810334445262933,0.11896655547370678,30007,46.00386438771957,41.99420655476342,2.978749017573046,-0.0046003864387717,0.64
rl,test,32.71332609250658,9,0.0047745218769336744,0.004791282039993293,35.31597265111699,35.646113827934535,77.5854190580047,0.9787183569274902,-8.978601618005737,32.55095934048327,162.75479670241634,48.93591784637451,5.999999999999999,30.0,77.20173636329541,DynamicDuopoly,50,0.7021231578924552,0.8179018385386086,0.18209816146139138,30008,77.21200085847869,43.38331452149787,4.256328614501953,-0.007721200085847704,0.7
rl,test,85.49821342394398,12,0.004023112657349622,0.0040245951035893165,20.360823592606945,20.390049395430854,88.50324960283618,0.93946554859375,48.48352211323209,34.48676999510246,172.43384997551232,46.9732774296875,5.6,28.0,79.98726259485436,DynamicDuopoly,50,0.5010161671154958,0.47745929109926083,0.5225407089007392,30009,149.3361663349375,48.65898394535561,12.10689028125,-0.014933616633493962,0.76
