policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,92.55318007795358,16,0.004583297974130763,0.004668569733270187,31.517066524327443,33.19745739773004,86.32680799983982,0.9918278490601563,15.743674317355877,37.18010829157707,185.90054145788537,49.59139245300781,0.0,6.800000000000001,34.0,75.27760528075801,DynamicDuopoly,50,0.5396736386024624,0.6408432437187928,0.35915675628120713,30000,109.79943680003538,48.44122400313315,1.63443018796875,-0.010979943680003462,0.68
rl,test,33.47596840936512,12,0.004309669759521322,0.00435363619026461,26.067609027909757,26.934093807433193,65.44725873876683,0.9924331935742188,22.81438542754108,29.364966040653055,146.82483020326526,49.62165967871094,0.0,6.4,32.0,69.06687463866291,DynamicDuopoly,50,0.5013812312540342,0.5262795667204992,0.4737204332795007,30001,95.67977871349078,35.58706596013951,1.51336128515625,-0.00956797787134896,0.7
rl,test,92.87706375779817,13,0.004531037481691368,0.004595798757000228,30.475011139173798,31.751227772576144,99.24485953894495,0.95017740625,22.842576739489353,35.94971885595433,179.74859427977162,47.5088703125,0.0,4.4,22.0,98.73211960452315,DynamicDuopoly,50,0.5700965894773266,0.6872118979623444,0.3127881020376557,30002,131.50731870984836,58.35050436440597,9.96451875,-0.013150731870984988,0.8
rl,test,79.44223432138051,17,0.004400165194380707,0.004464177490012089,27.870573854351097,29.13199362084405,74.20306206718064,0.9997162447590331,-9.385831848358267,32.84609905028372,164.23049525141857,49.985812237951656,0.0,8.4,42.0,61.323612221176816,DynamicDuopoly,50,0.5088981450984287,0.5667013684208525,0.4332986315791476,30003,73.25292575925802,41.33590750913957,0.056751048193359376,-0.0073252925759258215,0.6
rl,test,82.32009053187721,15,0.004905327081547223,0.004728664778780655,37.90015722846622,34.41893812267197,92.4289258714381,0.9975483547180468,-56.188841460803985,39.52811506110934,197.6405753055467,49.87741773590234,0.0,7.6000000000000005,38.0,78.90068634746756,DynamicDuopoly,50,0.6043604495489028,0.2715700878289987,0.7284299121710013,30004,44.10381052699552,52.67420787030005,0.49032905639062496,-0.0044103810526996065,0.64
rl,test,80.7022299445166,18,0.004851702362724346,0.0048219433048957185,36.84730937451302,36.26094769170822,81.89831961636192,0.9918278490601563,9.236035277709899,35.690947785054185,178.45473892527093,49.59139245300781,0.0,6.800000000000001,34.0,76.57043036734187,DynamicDuopoly,50,0.5042948545404072,0.5463403417143593,0.45365965828564075,30005,98.8994996524159,45.538086401683266,1.63443018796875,-0.00988994996524157,0.68
rl,test,76.60063364140069,10,0.004236287788168526,0.004152870905859816,24.594947199329955,22.95115093762205,77.79781705824763,0.9818396645781249,51.54478515248939,33.31301454848117,166.56507274240585,49.091983228906244,0.0,5.999999999999999,30.0,75.87665862059454,DynamicDuopoly,50,0.5077982477027381,0.5624429647868276,0.4375570352131724,30006,137.561834842246,43.071968056899,3.632067084375,-0.013756183484224471,0.72
rl,test,55.46734429604339,16,0.0046285801099242825,0.004612106734986659,32.40825273316601,32.08370977485597,83.4532923196791,0.9988507912740846,-44.99281762518948,36.580542811750306,182.9027140587515,49.94253956370423,0.0,8.0,40.0,68.13263531360981,DynamicDuopoly,50,0.5531397733145931,0.3369972802150329,0.6630027197849672,30007,46.59441118792997,46.77684425618865,0.2298417451831055,-0.004659441118793252,0.6
rl,test,27.848087201802628,12,0.00471711448666549,0.004606471813235552,34.16106115581433,31.980705195897645,79.35079292557752,0.9966902788693633,-10.284905163231256,35.00112007779154,175.0056003889577,49.83451394346817,0.0,7.6000000000000005,38.0,66.3911274468401,DynamicDuopoly,50,0.5113094391221132,0.42480213060826366,0.5751978693917363,30008,77.06520299239473,44.08704385170741,0.6619442261273438,-0.007706520299239479,0.62
rl,test,88.23197821621443,13,0.004271991067495018,0.004330832833275324,25.319315010208744,26.478735178624508,82.91177296252377,0.9818396645781249,54.278280623289234,33.17786244701826,165.88931223509132,49.091983228906244,0.0,5.6,28.0,78.33849755324137,DynamicDuopoly,50,0.6719025373324486,0.7931744679644261,0.2068255320355738,30009,144.91641506276645,48.22820490808372,3.632067084375,-0.014491641506276623,0.72
