policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,64.25154619316481,18,0.0047320579827748385,0.0046584055142128815,34.46209602320624,33.010771568894164,92.82898214552594,0.9841133385729437,27.684173324427952,46.01697799549866,230.08488997749328,49.20566692864718,0.0,7.2,36.0,69.94875914656332,DynamicDuopoly,50,0.5009731553691124,0.47794149405430714,0.5220585059456928,30000,129.41574514540494,45.33726154006306,3.17733228541125,-0.012941574514540116,0.66
rl,test,57.4429831507091,12,0.004383576104543301,0.004113462617256711,27.507766981279477,22.185246810864424,76.27012929734977,0.9823481539699374,27.606958321666227,39.513144372963986,197.56572186481992,49.11740769849687,0.0,6.800000000000001,34.0,65.276146086107,DynamicDuopoly,50,0.5143692645690587,0.5847622102385805,0.41523778976141956,30001,112.8611482459785,35.41067634533599,3.5303692060125,-0.011286114824597852,0.68
rl,test,77.71452798878317,15,0.004711566829617934,0.004980077366359234,34.08763212724691,39.378961440699406,86.59612187570056,0.9841133385729437,24.66727372918643,42.23247212315391,211.16236061576956,49.20566692864718,0.0,7.2,36.0,72.55659539687501,DynamicDuopoly,50,0.5740493731177347,0.3075820004290988,0.6924179995709012,30002,120.26500462116469,42.98792648341127,3.17733228541125,-0.012026500462116306,0.66
rl,test,80.85614781755112,16,0.0045085160351148006,0.005135952076239857,30.08163474622938,42.446114668921965,98.72767495251529,0.9878931097187501,0.45131790045612147,45.75309918054734,228.7654959027367,49.394655485937506,0.0,6.4,32.0,82.59029004723341,DynamicDuopoly,50,0.6914103984024691,0.19063743083360177,0.8093625691663983,30003,106.80508578084894,51.77929064359494,2.42137805625,-0.010680508578084816,0.72
rl,test,62.29181308881607,16,0.004795462440413785,0.005402133999885207,35.79019325195755,47.74530241054139,100.11022649975882,0.9839147553051055,-60.09307054798235,51.440247918713155,257.2012395935658,49.195737765255274,0.0,7.6000000000000005,38.0,75.70433140858346,DynamicDuopoly,50,0.81738963173559,0.10163482096473964,0.8983651790352604,30004,49.223907401045054,47.05968109133573,3.217048938978891,-0.004922390740104533,0.62
rl,test,123.47516326110599,16,0.004613917217506669,0.005156439275939122,32.171034504434765,42.86200018342204,93.23387853497705,0.9911740769849686,10.548602923201972,45.05023022491587,225.25115112457934,49.55870384924843,0.0,7.6000000000000005,38.0,75.478428046309,DynamicDuopoly,50,0.6805301740359048,0.19955851315447048,0.8004414868455294,30005,112.32479102684349,47.36077327571868,1.76518460300625,-0.01123247910268427,0.66
rl,test,23.872124883583183,11,0.004156128170792046,0.004712956917530267,23.062121138058195,34.03492795595389,88.89571015184802,0.9364533542917749,35.25474672740689,43.88118827433559,219.40594137167795,46.822667714588746,0.0,5.999999999999999,30.0,70.00879529605436,DynamicDuopoly,50,0.6696767509865384,0.20872972088922423,0.7912702791107757,30006,137.2107618229004,39.36549767951187,12.709329141645,-0.013721076182289942,0.7
rl,test,68.025262804857,14,0.004685111256490587,0.005372437930685616,33.60200783960022,47.14638852277641,96.12503971803633,0.9928510023578246,-46.4977850599879,46.3954195160227,231.97709758011348,49.64255011789123,0.0,8.0,40.0,75.70069176265167,DynamicDuopoly,50,0.8914288123601721,0.05760379049986641,0.9423962095001336,30007,58.369856504184085,49.04242251971539,1.4297995284350624,-0.005836985650418515,0.62
rl,test,42.52518461190766,11,0.0041258706887664295,0.004932042685762896,22.48432077976169,38.37056049362868,87.24448243972562,0.9857020047156493,-13.5544353345026,46.2929466462868,231.46473323143402,49.285100235782465,0.0,7.6000000000000005,38.0,68.51907941244242,DynamicDuopoly,50,0.8906898593026302,0.05802157331910974,0.9419784266808903,30008,82.90222496358729,39.704114594930005,2.859599056870125,-0.008290222496358432,0.64
rl,test,68.17443267755516,12,0.004275487161317157,0.0045703909903216,25.411926893806413,31.223284625914594,87.33036104293299,0.9564151949875,46.799512610291096,41.20363865246477,206.01819326232385,47.820759749375,0.0,5.6,28.0,75.93366941904527,DynamicDuopoly,50,0.5515520120394133,0.3394509233296352,0.6605490766703648,30009,144.64055789799633,42.32044563274076,8.7169610025,-0.014464055789799606,0.74
