policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,130.3715123705192,12,0.003794767132566967,0.003804145167397717,15.817555754660312,16.002323151502175,102.5087459493614,0.973095799375,13.730027434527774,36.68888014252673,183.44440071263364,48.65478996875,0.0,6.4,32.0,98.15260363137878,DynamicDuopoly,50,0.5083344826152948,0.4354458265667714,0.5645541734332287,30000,125.26169764205076,63.061949939995905,5.380840124999999,-0.012526169764205038,0.76
rl,test,130.5228820741777,8,0.0034589658627097947,0.0035419486845368227,9.141404853948222,10.685710375305419,70.58841030867056,0.9750887031250001,32.98878063190124,21.566369158847394,107.83184579423698,48.754435156250004,0.0,5.999999999999999,30.0,82.43522308509087,DynamicDuopoly,50,0.5234892306417325,0.3916274235755828,0.6083725764244173,30001,112.80100147043892,47.26359230468957,4.982259375,-0.011280100147043847,0.78
rl,test,114.06157282452523,14,0.003973868454405908,0.0041136430101388136,19.394627083950322,22.148715892811467,79.67546262804204,0.9564151949875,24.152964912925494,30.88198492653071,154.40992463265354,47.820759749375,0.0,6.4,32.0,89.0876250757586,DynamicDuopoly,50,0.5242183624140053,0.3899582751543637,0.6100417248456362,30002,115.4727490405453,45.3208381985874,8.7169610025,-0.01154727490405437,0.74
rl,test,113.55040565932086,14,0.004668767815070029,0.004742947500759361,33.21689615503505,34.67875434053884,88.58922930586401,0.97010644375,9.315130144798067,34.14889591283977,170.74447956419885,48.5053221875,0.0,5.999999999999999,30.0,95.17119515090853,DynamicDuopoly,50,0.5009196537924033,0.47855642529330433,0.5214435747066957,30003,107.23482359126118,51.79208628362525,5.978711250000001,-0.010723482359126303,0.78
rl,test,61.746867977574766,16,0.004687487451543167,0.004635042861638446,33.57739267147749,32.543632820060694,91.09825956020833,0.9928510023578246,-58.17490352766161,38.217911070850015,191.08955535425008,49.64255011789123,0.0,9.200000000000001,46.0,80.83922132376193,DynamicDuopoly,50,0.5326221149155879,0.6277147503532537,0.37228524964674625,30004,42.90189431817907,52.22908724655612,1.4297995284350624,-0.004290189431817921,0.62
rl,test,134.6657322071169,15,0.0038266651112828236,0.003883113296461442,16.456881545481618,17.569047183153838,92.53230046091826,0.97010644375,9.338213248092961,34.52002491058829,172.60012455294145,48.5053221875,0.0,5.999999999999999,30.0,88.30038323338927,DynamicDuopoly,50,0.5235377902559593,0.39151546134135246,0.6084845386586476,30005,111.08310543023887,55.246156021559614,5.978711250000001,-0.011108310543024061,0.78
rl,test,49.44126292308556,8,0.0037272230497198276,0.0037242233943430543,14.472074535539466,14.412999002773827,84.85177476777511,0.8923831975000001,55.11184391306266,29.956413398681345,149.78206699340672,44.619159875,0.0,4.8,24.0,94.79188077014764,DynamicDuopoly,50,0.5067502151112003,0.5580956758769543,0.4419043241230458,30006,157.15550249388164,45.76388468213563,21.523360499999995,-0.015715550249388012,0.8
rl,test,89.94424165214332,13,0.004310856591868526,0.004450658893627123,26.100602862355178,28.855680848874364,89.1647325540551,0.9798218495312502,-45.80250234874266,34.18016312398982,170.90081561994913,48.99109247656251,0.0,6.800000000000001,34.0,88.6272946371212,DynamicDuopoly,50,0.5230303666925183,0.39269117768673867,0.6073088223132614,30007,52.39868090907919,53.185390040083725,4.03563009375,-0.0052398680909080805,0.74
rl,test,43.12350019582891,9,0.004253152194172814,0.004392360523382999,24.952316392446907,27.695534200017963,68.60511081772383,0.973095799375,-8.176444779914407,26.925196665022735,134.62598332511368,48.65478996875,0.0,6.4,32.0,81.83641010149343,DynamicDuopoly,50,0.5403144542346767,0.358023850181313,0.6419761498186871,30008,70.3637404974677,39.83414848736069,5.380840124999999,-0.007036374049746939,0.76
rl,test,113.99987030802367,8,0.0037275622655907285,0.0037201763323619864,14.474102399022653,14.29717585655889,80.44680731341386,0.8923831975000001,56.93416548791531,26.398489357291236,131.99244678645618,44.619159875,0.0,4.8,24.0,96.24350126813269,DynamicDuopoly,50,0.5012464306626523,0.5249642811097415,0.4750357188902585,30009,155.046905126926,45.390889781719395,21.523360499999995,-0.015504690512692548,0.8
