step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1000.1242375456418,1000.1242375456418,0.003221675717505784,0.002778324282494216,0.003221675717505784,0.002778324282494216,wait,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.7109848068799127,0.7109848068799127,0.6488718215727111,0.6488718215727111,0.0,0.0,-0.0
1,999.68323109656,999.3258902101259,999.3258902101259,0.0026512397931221293,0.003348760206877871,0.0026512397931221293,0.003348760206877871,wait,0.0,0.0,0.0,0.0,0.0,50.0,4.411461904767972,4.411461904767972,0.8416427893844516,0.8416427893844516,1.2409811744171195,1.2409811744171195,0.0,0.0,-0.0
2,1000.0199530227571,1000.0534681564981,1000.0534681564981,0.0034103535502901733,0.002589646449709827,0.0034103535502901733,0.002589646449709827,wait,0.0,0.0,0.0,0.0,0.0,50.0,-6.940489642564947,-6.940489642564947,1.4225571867565263,1.4225571867565263,1.058598780800558,1.058598780800558,0.0,0.0,-0.0
3,999.2374652230485,998.7237641999194,998.7237641999194,0.0023919518822023743,0.003608048117797626,0.0023919518822023743,0.003608048117797626,wait,0.0,0.0,0.0,0.0,0.0,50.0,8.166256388989783,8.166256388989783,0.7201897191555757,0.7201897191555757,1.3856520674292072,1.3856520674292072,0.0,0.0,-0.0
4,999.9337263670838,1002.412288160672,1002.8490432235938,0.004392260959652643,0.0016077390403473567,0.004613984102457553,0.0013860158975424475,exec_10_A,5.0,0.0,5030.729547721781,12.033263010524024,2.0,45.0,88.46796939270493,-12.100423610675996,0.01336704144936853,2.0815192579782993,3.17067141692668,0.02130498802334672,0.0,0.0,-0.0006545909544356255
5,999.6404303143582,1005.0846096331353,1003.994706046114,0.005809454161917749,0.0001905458380822519,0.005256093430667883,0.0007439065693321174,wait,0.0,0.0,0.0,0.0,0.0,45.0,27.7285488087161,32.09767044162565,1.8991170102968364,1.3624722006538128,0.570432549525391,0.7925683828416572,0.0,0.0,-0.0
6,999.5017595390057,1005.1104771020246,1001.2460948460188,0.006296984259619584,0.0001,0.004333150102126497,0.001666849897873503,wait,0.0,0.0,0.0,0.0,0.0,45.0,55.85633082531625,44.95186190748219,0.9261426041253807,2.1250918224582738,0.9133071386595214,0.40146695176526304,0.0,-3.092547871554075,-0.0
7,998.577678043711,1001.2416241287266,1001.2451811497001,0.003950831637803016,0.002049168362196984,0.003952637948465736,0.0020473620515342643,wait,0.0,0.0,0.0,0.0,0.0,45.0,65.42104036525048,26.72217556009668,0.12926875317003975,2.460490995137657,2.0545204114373163,0.1358046727964768,0.0,-2.32514231822654,-0.0
8,999.3506240593218,1001.2678288974045,1001.2618975621372,0.003670830391432885,0.002329169608567115,0.003667820096161941,0.0023321799038380593,wait,0.0,0.0,0.0,0.0,0.0,45.0,18.922288372859448,18.957881696042342,0.8867329546800683,0.8843398950580771,0.8736551915830515,0.8759973802601047,0.0,0.0,-0.0
9,999.9329575844657,1001.4852216972976,1001.4964242707233,0.004301108213773232,0.0016988917862267678,0.004306799569899301,0.0016932004301006992,wait,0.0,0.0,0.0,0.0,0.0,45.0,13.349608119362065,13.290290789912099,1.0078252291114436,1.0123717334244147,0.8993528778261551,0.8953505481439553,0.0,0.0,-0.0
